rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.32496899909523,80.49614422242261,601717,中创智领,bottom_area,2024-07-15,13.26,2024-07-15,13.09,1.298701298701298,1.757066462948819,27.679558011049732,False,-0.2257,1.1852,2,2,2,100.0,29.124640771298786,35.43478260869567,18.7012987012987,1.298701298701298,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
2,91.90424386232911,77.62346488987369,000065,北方国际,bottom_area,2024-07-15,9.61,2024-07-09,9.54,0.7337526205450764,4.088050314465415,28.000000000000007,False,-1.4359,0.4985,3,3,3,100.0,29.926993896325044,41.48061104582843,19.266247379454924,0.7337526205450764,历史3/3次成功; 当前距低点0.73%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
3,91.76003171339471,78.91629957149436,600295,鄂尔多斯,bottom_area,2024-07-15,9.45,2024-07-15,9.29,1.7222820236813794,2.691065662002153,31.03192279138828,False,0.4251,0.2568,1,1,1,100.0,20.016680567139286,20.016680567139286,18.277717976318623,1.7222820236813794,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
4,87.46810701677093,74.13317597287045,600973,宝胜股份,bottom_area,2024-07-15,3.28,2024-07-15,3.25,0.9230769230769171,4.307692307692312,29.805615550755938,False,-3.2448,0.9395,2,2,2,100.0,40.36446966390223,46.551724137931025,19.076923076923084,0.9230769230769171,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
5,87.43578598550543,75.4600450478736,603215,比依股份,bottom_area,2024-07-15,11.72,2024-07-09,11.5,1.913043478260875,6.956521739130441,32.70918665886483,False,-1.6779,1.3503,3,4,3,75.0,30.412818162948412,36.01562499999999,18.086956521739125,1.913043478260875,历史3/4次成功; 当前距低点1.91%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
6,87.28311045196682,76.47603229100771,001218,丽臣实业,bottom_area,2024-07-15,14.62,2024-07-09,14.23,2.7406886858749036,6.60576247364722,28.131313131313128,False,-2.2727,0.8299,2,2,2,100.0,25.18711018711019,29.999999999999993,17.259311314125096,2.7406886858749036,历史2/2次成功; 当前距低点2.74%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
7,86.46975868031552,76.23796729949362,300480,光力科技,bottom_area,2024-07-15,13.71,2024-07-09,13.3,3.082706766917294,7.4436090225563785,28.108108108108105,True,-2.2111,1.2165,4,5,4,80.0,28.906122193898153,39.69465648854962,16.91729323308271,3.082706766917294,历史4/5次成功; 当前距低点3.08%; 最新日涨幅-2.21%; 状态bottom_area; 底部已确认
8,86.24543954647211,75.89566159184741,688303,大全能源,bottom_area,2024-07-15,18.67,2024-07-09,18.13,2.9784886927744223,8.2184225041368,30.74866310160428,True,-2.8616,0.7356,1,1,1,100.0,32.45492371705965,32.45492371705965,17.02151130722558,2.9784886927744223,历史1/1次成功; 当前距低点2.98%; 最新日涨幅-2.86%; 状态bottom_area; 底部已确认
9,86.01210093854397,77.45289919679632,600155,华创云信,bottom_area,2024-07-15,5.9,2024-07-08,5.66,4.240282685512371,7.59717314487632,27.806122448979586,True,-1.1725,0.6961,2,2,2,100.0,39.627654407336166,46.19883040935671,15.75971731448763,4.240282685512371,历史2/2次成功; 当前距低点4.24%; 最新日涨幅-1.17%; 状态bottom_area; 底部已确认
10,85.87368708958567,74.50411792663431,002367,康力电梯,bottom_area,2024-07-15,5.57,2024-07-09,5.45,2.201834862385323,5.321100917431193,29.036458333333325,False,-1.7637,0.4664,1,1,1,100.0,24.646781789638936,24.646781789638936,17.798165137614678,2.201834862385323,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
11,85.39743964224726,77.3200014906934,600161,天坛生物,bottom_area,2024-07-15,23.95,2024-07-05,22.91,4.539502400698382,8.07507638585771,29.42082563154652,True,2.3504,0.9231,1,1,1,100.0,36.77455357142857,36.77455357142857,15.46049759930162,4.539502400698382,历史1/1次成功; 当前距低点4.54%; 最新日涨幅2.35%; 状态bottom_area; 底部已确认
12,84.84763984270091,75.71132169576057,002687,乔治白,bottom_area,2024-07-15,4.16,2024-07-09,4.01,3.740648379052378,6.733167082294276,31.45299145299145,False,-0.9524,0.6042,1,1,1,100.0,64.00000000000001,64.00000000000001,16.259351620947623,3.740648379052378,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
13,84.68243848933744,71.73561057932572,603325,博隆技术,bottom_area,2024-07-15,60.86,2024-07-09,60.32,0.8952254641909799,6.26657824933686,30.41070604522382,False,-2.8571,1.4591,1,1,1,100.0,33.584541062801925,33.584541062801925,19.10477453580902,0.8952254641909799,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
14,84.42653607343209,75.33373141637803,603218,日月股份,bottom_area,2024-07-15,9.71,2024-07-05,9.36,3.7393162393162545,6.623931623931635,27.216174183514774,False,-2.0182,0.4613,1,1,1,100.0,47.95361527967258,47.95361527967258,16.260683760683747,3.7393162393162545,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
15,83.23694589553931,73.23163596168015,000629,钒钛股份,bottom_area,2024-07-15,2.43,2024-07-10,2.36,2.9661016949152663,6.779661016949159,28.484848484848484,False,-1.2195,0.3854,1,1,1,100.0,27.173913043478265,27.173913043478265,17.033898305084737,2.9661016949152663,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
16,82.865198763973,69.93315720343011,600389,江山股份,bottom_area,2024-07-15,13.13,2024-07-09,13.04,0.6901840490797672,5.061349693251535,28.74316939890711,False,-1.9417,0.8442,1,1,1,100.0,21.380520620064356,21.380520620064356,19.309815950920235,0.6901840490797672,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
