rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.5318081021843,82.03832061068704,002687,乔治白,bottom_area,2024-08-19,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,0.0,0.465,1,1,1,100.0,64.00000000000001,64.00000000000001,17.201017811704837,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.72498901840437,73.66689070824718,002563,森马服饰,bottom_area,2024-08-19,4.8,2024-07-30,4.78,0.41841004184099523,7.531380753138063,29.080118694362017,True,-0.8264,0.8144,1,1,1,100.0,28.929384965831446,28.929384965831446,19.581589958159007,0.41841004184099523,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-0.83%; 状态bottom_area; 底部已确认
3,86.60470578316888,76.10651512179814,001218,丽臣实业,bottom_area,2024-08-19,14.18,2024-07-25,13.78,2.902757619738755,6.603773584905662,30.404040404040412,False,-0.2111,0.5714,2,2,2,100.0,25.18711018711019,29.999999999999993,17.097242380261246,2.902757619738755,历史2/2次成功; 当前距低点2.90%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
4,86.47189250156559,73.68654496465238,603368,柳药集团,bottom_area,2024-08-19,16.61,2024-07-31,16.41,1.2187690432662968,8.470444850700796,31.908713692946062,True,-1.8322,1.7707,2,3,2,66.66666666666666,37.89608449802624,42.85714285714285,18.781230956733705,1.2187690432662968,历史2/3次成功; 当前距低点1.22%; 最新日涨幅-1.83%; 状态bottom_area; 底部已确认
5,85.40008796374018,76.64110458284374,000629,钒钛股份,bottom_area,2024-08-19,2.31,2024-07-25,2.22,4.054054054054047,10.360360360360358,32.72727272727272,True,0.4348,0.3832,1,1,1,100.0,27.173913043478265,27.173913043478265,15.945945945945954,4.054054054054047,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
6,83.50400026381337,69.63240655401945,301606,绿联科技,bottom_area,2024-08-19,27.91,2024-08-19,27.9,0.03584229390681564,2.6881720430107525,32.754880694143175,False,-3.6922,15.0378,1,1,1,100.0,21.957671957671955,21.957671957671955,19.964157706093186,0.03584229390681564,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
7,81.33754882845531,69.665690515807,600058,五矿发展,bottom_area,2024-08-19,6.1,2024-07-25,6.01,1.4975041597337746,8.153078202995012,31.85941043083901,True,0.3289,0.3312,1,2,1,50.0,99.54954954954954,99.54954954954954,18.502495840266224,1.4975041597337746,历史1/2次成功; 当前距低点1.50%; 最新日涨幅0.33%; 状态bottom_area; 底部已确认
8,81.09879697235532,70.38763510808197,600343,航天动力,bottom_area,2024-08-19,7.82,2024-08-19,7.65,2.2222222222222214,2.614379084967311,31.696428571428566,False,0.128,1.971,2,4,2,50.0,38.62527835886361,55.72413793103447,17.777777777777782,2.2222222222222214,历史2/4次成功; 当前距低点2.22%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
9,76.22110043079387,64.76645134914148,300424,航新科技,bottom_area,2024-08-19,12.36,2024-08-19,12.23,1.0629599345870728,2.2894521668029384,29.873853211009177,False,-0.3226,4.9518,1,2,1,50.0,52.29885057471265,52.29885057471265,18.937040065412926,1.0629599345870728,历史1/2次成功; 当前距低点1.06%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
10,74.69352695415917,63.592422062350096,002651,利君股份,bottom_area,2024-08-19,5.19,2024-08-19,5.13,1.1695906432748635,2.1442495126705716,29.338842975206607,False,0.0,2.4438,1,3,1,33.33333333333333,41.96642685851319,41.96642685851319,18.830409356725138,1.1695906432748635,历史1/3次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,73.2544372395149,63.210093599108596,001203,大中矿业,bottom_area,2024-08-19,8.03,2024-08-16,7.88,1.903553299492379,2.6649746192893398,32.244196044711956,False,1.3889,0.466,1,2,1,50.0,29.46341463414634,29.46341463414634,18.096446700507624,1.903553299492379,历史1/2次成功; 当前距低点1.90%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
