rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.22873013634408,79.26392453433103,002715,登云股份,bottom_area,2024-08-21,10.16,2024-08-20,10.05,1.0945273631840737,4.4776119402985,28.162973552537522,False,-0.6843,1.4539,1,1,1,100.0,36.66369313113291,36.66369313113291,18.90547263681593,1.0945273631840737,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
2,91.48686590863988,81.6714734123688,000789,万年青,bottom_area,2024-08-21,4.41,2024-07-09,4.25,3.7647058823529442,9.88235294117647,29.752066115702476,True,0.0,0.3988,2,2,2,100.0,34.00539152759949,47.599999999999994,16.235294117647054,3.7647058823529442,历史2/2次成功; 当前距低点3.76%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,89.78998294886618,74.82498579072183,002219,新里程,bottom_area,2024-08-21,1.71,2024-08-21,1.71,0.0,2.9239766081871372,28.451882845188294,False,-2.8409,0.9938,2,2,2,100.0,34.81175156302061,45.685279187817265,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
4,88.85595801526719,75.08954198473283,002687,乔治白,bottom_area,2024-08-21,3.96,2024-07-25,3.93,0.7633587786259493,5.852417302798981,32.82051282051282,False,-1.0,0.5343,1,1,1,100.0,64.00000000000001,64.00000000000001,19.23664122137405,0.7633587786259493,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
5,88.79256675527077,74.48751657317693,001218,丽臣实业,bottom_area,2024-08-21,13.83,2024-07-25,13.78,0.3628447024673491,6.603773584905662,30.404040404040412,False,-0.2165,0.5418,2,2,2,100.0,25.18711018711019,29.999999999999993,19.63715529753265,0.3628447024673491,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
6,87.48248794937668,75.20644917103981,600011,华能国际,bottom_area,2024-08-21,7.18,2024-08-21,7.06,1.6997167138810214,2.266288951841362,28.686868686868692,False,-0.8287,0.5182,1,1,1,100.0,22.267759562841515,22.267759562841515,18.30028328611898,1.6997167138810214,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
7,87.41352616360281,73.49871995796808,300411,金盾股份,bottom_area,2024-08-21,10.3,2024-08-21,10.25,0.4878048780487874,3.9024390243902474,29.794520547945204,False,-3.4677,6.4351,2,2,2,100.0,31.617823010318947,33.550488599348526,19.512195121951216,0.4878048780487874,历史2/2次成功; 当前距低点0.49%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
8,84.2067342756934,70.60519783632174,000906,浙商中拓,bottom_area,2024-08-21,5.98,2024-08-21,5.96,0.33557046979866545,2.0134228187919483,27.050183598531213,False,-1.157,0.4435,1,1,1,100.0,20.646766169154233,20.646766169154233,19.664429530201335,0.33557046979866545,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
9,83.10128020955513,75.01685023369235,002674,兴业科技,bottom_area,2024-08-21,8.11,2024-08-21,7.77,4.375804375804374,5.534105534105531,31.72231985940247,False,1.8844,1.6415,1,1,1,100.0,31.578947368421055,31.578947368421055,15.624195624195627,4.375804375804374,历史1/1次成功; 当前距低点4.38%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
10,82.40816020215901,73.68022980336413,603367,辰欣药业,bottom_area,2024-08-21,13.22,2024-07-30,12.73,3.849175176747841,9.112333071484683,27.048710601719193,True,-1.4169,0.3565,1,1,1,100.0,31.216931216931226,31.216931216931226,16.15082482325216,3.849175176747841,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
11,80.55566083942777,68.59194883357216,600343,航天动力,bottom_area,2024-08-21,7.74,2024-08-19,7.65,1.1764705882352922,2.875816993464049,31.696428571428566,False,-1.1494,1.2095,2,4,2,50.0,38.62527835886361,55.72413793103447,18.82352941176471,1.1764705882352922,历史2/4次成功; 当前距低点1.18%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
