rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.89675179569214,83.90188912779288,300355,蒙草生态,bottom_area,2024-12-26,5.4,2024-12-10,7.47,2024-12-25,5.26,2.6615969581749157,7.604562737642592,29.58500669344043,27.710843373493972,False,-1.279707495429605,3.8391501865337374,5,5,5,100.0,30.80822684103059,52.17762596071732,2012-12-04; 2015-06-23; 2016-03-01; 2022-04-27; 2024-02-06,17.338403041825085,2.6615969581749157,历史5/5次成功; 当前距低点2.66%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
2,90.97281757623321,82.54812448514149,301113,雅艺科技,bottom_area,2024-12-26,23.81,2024-12-18,31.35,2024-12-25,22.75,4.6593406593406534,7.208791208791212,27.432216905901118,24.05103668261564,True,2.27663230240549,0.9363113065030129,3,3,3,100.0,33.01839348622666,40.21840873634946,2022-04-18; 2022-04-29; 2024-04-16,15.340659340659347,4.6593406593406534,历史3/3次成功; 当前距低点4.66%; 最新日涨幅2.28%; 状态bottom_area; 底部已确认
3,86.6853021436701,75.16402161101624,002453,华软科技,bottom_area,2024-12-26,5.18,2024-12-12,7.13,2024-12-25,5.07,2.169625246548312,6.903353057199204,28.89200561009817,27.349228611500703,False,0.19342359767891004,2.0948629912787586,4,6,4,66.66666666666666,27.54892745419206,35.23573200992555,2015-06-30; 2018-06-22; 2020-02-04; 2022-09-29,17.83037475345169,2.169625246548312,历史4/6次成功; 当前距低点2.17%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
4,84.60394800194214,74.09581433291112,002766,索菱股份,bottom_area,2024-12-26,6.05,2024-12-11,8.2,2024-12-25,5.89,2.716468590831921,5.432937181663842,28.17073170731707,26.219512195121947,False,1.680672268907557,2.622487945604117,7,11,7,63.63636363636363,35.07477513200734,55.672823218997344,2015-07-28; 2015-08-25; 2015-09-02; 2016-01-14; 2018-02-06; 2019-02-01; 2020-05-22,17.28353140916808,2.716468590831921,历史7/11次成功; 当前距低点2.72%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
5,83.18153349475385,70.78428571428572,300720,海川智能,bottom_area,2024-12-26,17.7,2024-12-16,24.13,2024-12-26,17.5,1.1428571428571388,4.857142857142866,27.476170741815164,26.647326978864484,False,-0.4499437570303799,1.886025604302425,4,8,4,50.0,52.62273265147921,75.69193742478939,2020-11-27; 2021-07-28; 2024-02-07; 2024-04-16,18.85714285714286,1.1428571428571388,历史4/8次成功; 当前距低点1.14%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
6,82.43113318906917,69.994789579313,600416,湘电股份,bottom_area,2024-12-26,10.84,2024-11-15,14.8,2024-12-25,10.73,1.025163094128606,3.168685927306616,27.500000000000004,26.75675675675676,False,0.1848428835489857,0.6636818797487393,9,19,9,47.368421052631575,27.541331987718753,35.943517329910144,2005-12-08; 2007-11-12; 2009-02-27; 2015-09-08; 2016-02-01; 2018-02-09; 2019-11-15; 2022-02-11; 2024-02-05,18.974836905871395,1.025163094128606,历史9/19次成功; 当前距低点1.03%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
7,80.52693173001414,69.32782201921745,300267,尔康制药,bottom_area,2024-12-26,2.86,2024-12-06,3.88,2024-12-25,2.81,1.7793594306049758,6.405693950177942,27.577319587628864,26.288659793814436,False,0.0,1.9190555210499016,4,8,4,50.0,27.498717854821514,33.65384615384614,2015-06-30; 2015-07-03; 2015-08-25; 2024-02-06,18.220640569395023,1.7793594306049758,历史4/8次成功; 当前距低点1.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,80.22700966604388,71.28604774543057,002652,扬子新材,bottom_area,2024-12-26,2.95,2024-12-12,3.99,2024-12-25,2.85,3.5087719298245648,6.666666666666665,28.571428571428577,26.065162907268167,False,0.6825938566553003,2.9275833601727324,4,6,4,66.66666666666666,23.114952036365093,25.60483870967742,2015-06-23; 2015-06-30; 2022-06-14; 2023-10-24,16.49122807017544,3.5087719298245648,历史4/6次成功; 当前距低点3.51%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
9,79.73298698062548,71.09947883622654,002086,东方海洋,bottom_area,2024-12-26,3.08,2024-12-11,4.33,2024-12-25,2.97,3.7037037037036993,7.407407407407399,31.408775981524244,28.868360277136258,False,0.32573289902280145,1.850052148050068,6,9,6,66.66666666666666,24.5013796451844,27.741935483870968,2007-06-05; 2012-12-04; 2013-06-25; 2015-06-30; 2015-09-02; 2018-02-12,16.296296296296305,3.7037037037036993,历史6/9次成功; 当前距低点3.70%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
10,78.62208940032507,66.78948805612566,000727,冠捷科技,bottom_area,2024-12-26,2.89,2024-12-13,3.93,2024-12-25,2.86,1.0489510489510576,5.9440559440559415,27.226463104325703,26.463104325699742,False,-0.34482758620688614,2.2934378245602125,9,18,9,50.0,27.37148627814019,52.68456375838926,1997-05-23; 1998-03-24; 2000-09-22; 2009-03-02; 2009-08-19; 2009-09-29; 2011-08-09; 2015-06-30; 2020-02-04,18.951048951048943,1.0489510489510576,历史9/18次成功; 当前距低点1.05%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
11,78.03261738180767,66.45818799593795,600851,海欣股份,bottom_area,2024-12-26,5.96,2024-12-17,8.58,2024-12-25,5.89,1.1884550084889693,6.451612903225805,31.351981351981355,30.536130536130536,False,0.1680672268907557,1.5479552521642945,8,22,8,36.36363636363637,34.37268796100718,46.14003590664273,1994-10-07; 1995-01-10; 1995-10-16; 1996-07-15; 2006-11-14; 2008-03-20; 2008-04-22; 2020-02-03,18.81154499151103,1.1884550084889693,历史8/22次成功; 当前距低点1.19%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
12,77.94441224677612,66.39128340268658,000681,视觉中国,bottom_area,2024-12-26,22.86,2024-12-20,31.82,2024-12-25,22.59,1.1952191235059741,7.52545374059318,29.006913890634824,28.158390949088624,False,0.08756567425569628,22.883045859572483,7,22,7,31.818181818181817,43.94438565351038,142.49201277955274,2008-11-07; 2013-02-18; 2015-09-02; 2016-01-12; 2019-04-17; 2019-12-13; 2022-04-27,18.804780876494025,1.1952191235059741,历史7/22次成功; 当前距低点1.20%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
