rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.21733546110897,79.29327301782915,300355,蒙草生态,bottom_area,2024-12-30,5.35,2024-12-25,5.26,1.711026615969579,7.604562737642592,29.58500669344043,False,-1.6544,3.3805,2,2,2,100.0,27.711901624945106,33.201581027668,18.28897338403042,1.711026615969579,历史2/2次成功; 当前距低点1.71%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
2,91.34748336347197,77.70068571428571,002016,世荣兆业,bottom_area,2024-12-30,6.32,2024-12-25,6.25,1.1200000000000045,3.840000000000003,28.160919540229877,False,-1.8634,0.6182,1,1,1,100.0,28.571428571428566,28.571428571428566,18.879999999999995,1.1200000000000045,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
3,87.88592912078231,74.9414899479539,002321,华英农业,bottom_area,2024-12-30,2.42,2024-12-30,2.39,1.2552301255230043,7.531380753138063,32.485875706214685,False,-5.8366,2.4732,1,1,1,100.0,25.609756097560986,25.609756097560986,18.744769874476997,1.2552301255230043,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-5.84%; 状态bottom_area; 底部未确认
4,86.27319890202705,77.04397297297298,600106,重庆路桥,bottom_area,2024-12-30,5.76,2024-12-25,5.55,3.7837837837837833,7.567567567567567,30.88418430884184,True,-2.3729,1.4368,1,1,1,100.0,48.50000000000001,48.50000000000001,16.216216216216218,3.7837837837837833,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-2.37%; 状态bottom_area; 底部已确认
5,86.11760295988641,73.95471326063384,603319,美湖股份,bottom_area,2024-12-30,20.43,2024-12-30,20.1,1.6417910447761106,6.41791044776119,28.36778332145402,False,-3.8588,4.8324,3,4,3,75.0,29.209660444749293,43.981481481481474,18.35820895522389,1.6417910447761106,历史3/4次成功; 当前距低点1.64%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
6,86.0079573461749,73.36671415230629,300536,农尚环境,bottom_area,2024-12-30,5.56,2024-12-30,5.49,1.2750455373406082,12.386156648451726,31.116687578419068,False,-9.8865,4.0986,4,6,4,66.66666666666666,39.608340380517234,60.27027027027027,18.724954462659394,1.2750455373406082,历史4/6次成功; 当前距低点1.28%; 最新日涨幅-9.89%; 状态bottom_area; 底部未确认
7,82.6182956551519,71.5784152625093,300607,拓斯达,bottom_area,2024-12-30,26.92,2024-12-30,26.36,2.124430955993939,3.945371775417296,27.542605827377685,False,-0.9566,7.5351,3,5,3,60.0,44.63504216223377,59.90836197021764,17.875569044006063,2.124430955993939,历史3/5次成功; 当前距低点2.12%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
8,82.28374089100417,74.62185714285717,300720,海川智能,bottom_area,2024-12-30,18.31,2024-12-26,17.5,4.628571428571422,9.199999999999998,27.476170741815164,True,-2.8132,2.5463,3,4,3,75.0,57.75229601757511,75.69193742478939,15.37142857142858,4.628571428571422,历史3/4次成功; 当前距低点4.63%; 最新日涨幅-2.81%; 状态bottom_area; 底部已确认
9,80.12065259446058,69.73164769194979,000692,惠天热电,bottom_area,2024-12-30,3.45,2024-12-25,3.37,2.373887240356085,8.011869436201781,30.515463917525764,True,-3.0899,2.4338,2,3,2,66.66666666666666,41.00776308223117,59.042553191489375,17.626112759643917,2.373887240356085,历史2/3次成功; 当前距低点2.37%; 最新日涨幅-3.09%; 状态bottom_area; 底部已确认
10,79.85065814028367,68.15698208119854,688165,埃夫特,bottom_area,2024-12-30,26.31,2024-12-30,25.97,1.3092029264535998,5.159799768964189,29.140518417462484,False,-0.1518,4.55,2,4,2,50.0,37.91378899738032,53.84615384615383,18.6907970735464,1.3092029264535998,历史2/4次成功; 当前距低点1.31%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
11,78.28269101856145,69.30701604362001,002836,新宏泽,bottom_area,2024-12-30,7.49,2024-12-25,7.25,3.31034482758621,7.5862068965517215,27.500000000000004,True,-2.7273,1.9284,2,3,2,66.66666666666666,39.98890098844028,59.30851063829788,16.689655172413794,3.31034482758621,历史2/3次成功; 当前距低点3.31%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
