rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.28841715027718,87.1628936931604,603185,弘元绿能,bottom_area,2025-01-07,15.55,2025-01-06,15.16,2.572559366754621,3.9577836411609475,29.651972157772622,False,0.0644,0.8847,6,6,6,100.0,24.77596263097275,43.51028702057404,7.42744063324538,2.572559366754621,历史6/6次成功; 当前距低点2.57%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
2,88.30518725046579,85.2100648689347,002777,久远银海,bottom_area,2025-01-07,15.83,2025-01-06,15.35,3.1270358306188952,3.5830618892508186,28.504890544946438,False,0.6997,1.9813,5,5,5,100.0,21.07369119755796,51.99999999999999,6.872964169381104,3.1270358306188952,历史5/5次成功; 当前距低点3.13%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
3,87.02366534915231,84.5582325448331,002761,浙江建投,bottom_area,2025-01-07,8.3,2025-01-06,8.02,3.491271820448892,3.491271820448892,28.392857142857142,False,1.0962,1.1625,7,7,7,100.0,22.034044599228856,43.73730534867976,6.508728179551109,3.491271820448892,历史7/7次成功; 当前距低点3.49%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
4,86.8617865616395,83.18120238529882,000718,苏宁环球,bottom_area,2025-01-07,2.26,2025-01-06,2.2,2.7272727272727093,3.636363636363619,28.10457516339869,False,0.8929,1.1108,3,3,3,100.0,21.932173136992418,36.111111111111114,7.272727272727292,2.7272727272727093,历史3/3次成功; 当前距低点2.73%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
5,86.0604965327641,81.24665830462465,600158,中体产业,bottom_area,2025-01-07,7.73,2025-01-06,7.58,1.9788918205804795,2.9023746701846935,30.394857667584947,False,0.7823,1.4841,2,2,2,100.0,19.024363739506168,23.955773955773946,8.021108179419521,1.9788918205804795,历史2/2次成功; 当前距低点1.98%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
6,86.01827351212134,84.25560397293856,002246,北化股份,bottom_area,2025-01-07,9.56,2025-01-06,9.2,3.913043478260883,3.913043478260883,27.38752959747435,False,2.3555,1.2626,4,4,4,100.0,25.577113458996685,31.992687385740403,6.0869565217391175,3.913043478260883,历史4/4次成功; 当前距低点3.91%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
7,85.33315886927495,80.19997248744116,688234,天岳先进,bottom_area,2025-01-07,49.59,2025-01-07,48.74,1.7439474764054195,2.5030775543701247,31.525709468951955,False,0.5678,1.3699,2,2,2,100.0,10.517057707771569,10.647803425167522,8.256052523594581,1.7439474764054195,历史2/2次成功; 当前距低点1.74%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
8,85.27488640871208,80.16339931979188,603305,旭升集团,bottom_area,2025-01-07,12.17,2025-01-06,11.96,1.7558528428093567,4.347826086956518,31.65714285714285,False,0.3298,1.0894,4,5,4,80.0,20.466364523640955,32.41061130334487,8.244147157190644,1.7558528428093567,历史4/5次成功; 当前距低点1.76%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
9,84.91687329515503,81.7254824247429,688035,德邦科技,bottom_area,2025-01-07,34.11,2025-01-07,33.12,2.989130434782615,2.989130434782615,28.015648772006084,False,2.1869,1.7761,3,3,3,100.0,17.315590408856295,26.2108262108262,7.010869565217385,2.989130434782615,历史3/3次成功; 当前距低点2.99%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
10,84.14284116325658,83.31470303290942,002819,东方中科,bottom_area,2025-01-07,24.95,2025-01-06,23.88,4.480737018425462,4.564489112227806,28.072289156626518,False,2.9715,1.8402,4,4,4,100.0,27.47733029526597,51.677148846960186,5.519262981574538,4.480737018425462,历史4/4次成功; 当前距低点4.48%; 最新日涨幅2.97%; 状态bottom_area; 底部未确认
11,83.8902552966507,80.5791833970623,601865,福莱特,bottom_area,2025-01-07,19.25,2025-01-06,18.71,2.8861571352218016,3.4206306787814036,30.2386278896346,False,0.9439,0.6898,2,2,2,100.0,26.557105727784926,39.24894003634159,7.113842864778198,2.8861571352218016,历史2/2次成功; 当前距低点2.89%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
