rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.71761030958176,89.0182953022956,605162,新中港,bottom_area,2025-02-05,6.79,2025-02-05,6.71,1.1922503725782425,1.7883755588673638,28.081457663451232,False,0.2954,1.8006,4,4,4,100.0,17.831323396634367,26.46502835538753,8.807749627421758,1.1922503725782425,历史4/4次成功; 当前距低点1.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
2,91.46494750074166,85.08367209371318,300422,博世科,bottom_area,2025-02-05,4.2,2025-02-05,4.15,1.2048192771084292,3.614457831325288,29.541595925297102,False,0.0,3.9007,2,2,2,100.0,30.164838954410644,45.4320987654321,8.79518072289157,1.2048192771084292,历史2/2次成功; 当前距低点1.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,91.0806695950478,87.11082425636673,002246,北化股份,bottom_area,2025-02-05,9.26,2025-02-05,9.02,2.660753880266078,2.660753880266078,28.808208366219418,False,2.3204,1.3206,4,4,4,100.0,25.577113458996685,31.992687385740403,7.339246119733922,2.660753880266078,历史4/4次成功; 当前距低点2.66%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
4,88.53714266039975,83.16223603656294,002358,森源电气,bottom_area,2025-02-05,4.75,2025-02-05,4.67,1.713062098501072,3.6402569593147733,27.14508580343214,False,0.211,5.3608,1,1,1,100.0,42.73127753303966,42.73127753303966,8.286937901498929,1.713062098501072,历史1/1次成功; 当前距低点1.71%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
5,82.89097913006154,80.56948548061995,002571,德力股份,bottom_area,2025-02-05,4.13,2025-01-22,3.99,3.5087719298245528,6.265664160401002,28.749999999999993,False,1.2255,3.4509,3,3,3,100.0,17.47035204634371,28.291814946619215,6.491228070175447,3.5087719298245528,历史3/3次成功; 当前距低点3.51%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
6,79.82102266714962,72.6584380869557,300563,神宇股份,confirmed_rebound,2025-02-05,44.33,2025-02-05,44.3,0.0677200902934563,10.338600451467281,30.781250000000004,False,-14.75,19.2117,3,3,3,100.0,15.499139208735405,20.477137176938378,9.932279909706544,0.0677200902934563,历史3/3次成功; 当前距低点0.07%; 最新日涨幅-14.75%; 状态confirmed_rebound; 底部未确认
7,79.15507806138024,73.99924120546092,300394,天孚通信,confirmed_rebound,2025-02-05,83.79,2025-02-05,82.58,1.4652458222329958,12.981351416807943,31.183333333333334,False,-16.875,8.6553,2,2,2,100.0,16.66667569974272,21.300481119696745,8.534754177767006,1.4652458222329958,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-16.88%; 状态confirmed_rebound; 底部未确认
8,78.84373797057209,76.37544542953799,300399,天利科技,bottom_area,2025-02-05,22.65,2025-02-05,21.92,3.330291970802905,4.744525547445251,27.894736842105257,False,2.027,7.0292,4,5,4,80.0,19.400597435315124,31.95098963242225,6.669708029197095,3.330291970802905,历史4/5次成功; 当前距低点3.33%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
9,77.40900766069224,75.78971205079637,600202,哈空调,bottom_area,2025-02-05,4.54,2025-01-24,4.37,3.89016018306636,3.89016018306636,29.967948717948715,False,1.7937,3.2623,4,5,4,80.0,23.11439391498748,41.50485436893204,6.109839816933641,3.89016018306636,历史4/5次成功; 当前距低点3.89%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
10,76.18248504363591,72.78974279472905,600693,东百集团,bottom_area,2025-02-05,5.9,2025-02-05,5.75,2.6086956521739193,6.260869565217398,31.872037914691937,False,-4.065,9.906,1,1,1,100.0,30.632090761750412,30.632090761750412,7.391304347826082,2.6086956521739193,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
11,75.59072868877125,73.59915227424212,300347,泰格医药,bottom_area,2025-02-05,49.52,2025-01-24,47.8,3.5983263598326487,4.393305439330547,30.824891461649784,False,1.0612,1.5272,3,4,3,75.0,18.593206315379337,23.423271500843175,6.401673640167352,3.5983263598326487,历史3/4次成功; 当前距低点3.60%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
12,74.77947983013412,68.4017246438506,300502,新易盛,confirmed_rebound,2025-02-05,102.51,2025-02-05,102.18,0.3229594832648251,15.482481894695626,29.08106607440311,False,-18.4941,8.4722,3,4,3,75.0,33.242324009109716,34.5909668057319,9.677040516735175,0.3229594832648251,历史3/4次成功; 当前距低点0.32%; 最新日涨幅-18.49%; 状态confirmed_rebound; 底部未确认
13,74.32361276533187,71.1268982377907,600325,华发股份,bottom_area,2025-02-05,5.34,2025-01-13,5.2,2.6923076923076863,5.961538461538454,29.539295392953925,False,0.3759,0.9796,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,7.3076923076923155,2.6923076923076863,历史2/3次成功; 当前距低点2.69%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
14,72.92167408604381,70.49677647749697,688253,英诺特,bottom_area,2025-02-05,29.45,2025-01-24,28.53,3.2246757798808208,6.62460567823344,28.09979838709677,False,-0.1695,3.926,1,1,1,100.0,15.639985245296947,15.639985245296947,6.77532422011918,3.2246757798808208,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
15,72.56074146512545,69.71888561969637,002767,先锋电子,bottom_area,2025-02-05,14.18,2025-01-27,13.78,2.902757619738755,4.354136429608138,31.442786069651753,False,2.6792,6.7339,2,4,2,50.0,43.37189781021898,52.04379562043795,7.097242380261245,2.902757619738755,历史2/4次成功; 当前距低点2.90%; 最新日涨幅2.68%; 状态bottom_area; 底部未确认
16,72.12571316375363,69.05205463430003,300601,康泰生物,bottom_area,2025-02-05,14.76,2025-01-27,14.37,2.7139874739039707,2.8531663187195555,29.316281357599607,False,2.714,1.1288,3,5,3,60.0,15.806161692478918,24.837758112094402,7.28601252609603,2.7139874739039707,历史3/5次成功; 当前距低点2.71%; 最新日涨幅2.71%; 状态bottom_area; 底部未确认
17,70.11313008973487,64.69372181141276,300570,太辰光,confirmed_rebound,2025-02-05,95.75,2025-02-05,95.01,0.7788653825913008,16.93505946742447,27.661032434901777,False,-19.3752,18.1867,1,1,1,100.0,14.728682170542637,14.728682170542637,9.2211346174087,0.7788653825913008,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-19.38%; 状态confirmed_rebound; 底部未确认
18,69.48441152548403,69.26612473730344,001219,青岛食品,confirmed_rebound,2025-02-05,13.01,2025-01-13,12.41,4.834810636583398,11.361804995970992,29.287749287749286,True,-1.8113,1.6053,5,6,5,83.33333333333334,15.893331480539011,27.212020033388985,5.165189363416603,4.834810636583398,历史5/6次成功; 当前距低点4.83%; 最新日涨幅-1.81%; 状态confirmed_rebound; 底部已确认
19,64.52192742568039,63.849603783195086,300476,胜宏科技,confirmed_rebound,2025-02-05,45.3,2025-02-05,43.37,4.450080700945354,14.134194143417114,29.226501305483033,False,-14.8976,10.9046,1,1,1,100.0,15.353697749196144,15.353697749196144,5.549919299054647,4.450080700945354,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-14.90%; 状态confirmed_rebound; 底部未确认
20,62.103010055412575,59.3878622343587,000421,南京公用,bottom_area,2025-02-05,6.19,2025-02-05,6.03,2.6533996683250436,2.6533996683250436,30.046403712296975,False,1.1438,3.2511,2,6,2,33.33333333333333,20.88322658498097,30.864197530864196,7.346600331674957,2.6533996683250436,历史2/6次成功; 当前距低点2.65%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
21,59.58625496401224,58.08479588322014,300515,三德科技,bottom_area,2025-02-05,15.01,2025-02-05,14.48,3.6602209944751336,4.972375690607727,27.016129032258064,False,2.248,9.817,1,2,1,50.0,23.441396508728182,23.441396508728182,6.339779005524868,3.6602209944751336,历史1/2次成功; 当前距低点3.66%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
