rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.61054653793444,87.58910990341363,688078,龙软科技,bottom_area,2025-03-03,34.45,2025-03-03,33.75,2.0740740740740824,4.296296296296305,30.95335515548282,False,1.4728,3.3271,4,4,4,100.0,20.95698275431473,29.719161038037694,7.9259259259259185,2.0740740740740824,历史4/4次成功; 当前距低点2.07%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
2,89.81573900711011,85.71422727230362,002313,日海智能,bottom_area,2025-03-03,10.47,2025-03-03,10.21,2.5465230166503408,5.0930460333006815,29.779917469050883,False,0.77,4.1168,4,4,4,100.0,16.66827822723863,20.08238928939237,7.453476983349661,2.5465230166503408,历史4/4次成功; 当前距低点2.55%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
3,82.98414707795104,78.65795931559339,300422,博世科,bottom_area,2025-03-03,4.2,2025-02-06,4.11,2.1897810218978067,6.5693430656934195,30.220713073005083,False,-0.2375,2.4154,2,2,2,100.0,30.164838954410644,45.4320987654321,7.810218978102195,2.1897810218978067,历史2/2次成功; 当前距低点2.19%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
4,80.72094432491726,75.77803707026835,300502,新易盛,bottom_area,2025-03-03,91.8,2025-03-03,90.28,1.6836508639787287,6.889676561807708,30.226447175206733,False,-4.4148,8.0217,4,5,4,80.0,28.69226365666591,34.5909668057319,8.316349136021273,1.6836508639787287,历史4/5次成功; 当前距低点1.68%; 最新日涨幅-4.41%; 状态bottom_area; 底部未确认
5,79.80194270350158,73.68161500546684,002522,浙江众成,bottom_area,2025-03-03,4.96,2025-03-03,4.92,0.8130081300813016,8.130081300813014,28.798842257597684,False,-9.1575,14.1519,2,2,2,100.0,36.58749216157104,37.41339491916859,9.1869918699187,0.8130081300813016,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-9.16%; 状态bottom_area; 底部未确认
6,78.75096782839806,72.06212447929433,002016,世荣兆业,bottom_area,2025-03-03,5.85,2025-03-03,5.83,0.34305317324184514,2.5728987993139,31.572769953051637,False,-0.3407,1.5614,1,1,1,100.0,28.571428571428566,28.571428571428566,9.656946826758157,0.34305317324184514,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
7,78.00972595132576,73.54059987698542,300548,长芯博创,bottom_area,2025-03-03,42.29,2025-03-03,41.5,1.9036144578313232,9.710843373493978,28.816466552315607,False,-6.2722,17.0595,1,1,1,100.0,26.026026026026024,26.026026026026024,8.096385542168678,1.9036144578313232,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-6.27%; 状态bottom_area; 底部未确认
8,77.5256111441992,71.96762917982926,600986,浙文互联,bottom_area,2025-03-03,8.3,2025-03-03,8.21,1.0962241169305706,5.359317904993903,28.234265734265723,False,-2.3529,6.6487,2,3,2,66.66666666666666,36.345986557872585,50.432276657060505,8.90377588306943,1.0962241169305706,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
9,74.05112982483432,68.12703943884759,605255,天普股份,bottom_area,2025-03-03,14.49,2025-03-03,14.4,0.624999999999999,2.7083333333333246,28.959052787370492,False,-0.8892,2.4002,3,4,3,75.0,15.037846445417172,16.069142125480155,9.375000000000002,0.624999999999999,历史3/4次成功; 当前距低点0.62%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
10,72.19149572649573,65.62863247863248,000892,欢瑞世纪,bottom_area,2025-03-03,3.92,2025-03-03,3.92,0.0,4.33673469387755,30.864197530864196,False,-9.8851,12.9063,1,1,1,100.0,12.250712250712256,12.250712250712256,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.89%; 状态bottom_area; 底部未确认
11,71.33862422829901,66.11122503915641,301486,致尚科技,bottom_area,2025-03-03,60.2,2025-03-03,59.6,1.0067114093959755,7.248322147651007,29.140411366068243,False,-5.2565,9.5735,2,3,2,66.66666666666666,13.977744010282553,17.19539300868862,8.993288590604024,1.0067114093959755,历史2/3次成功; 当前距低点1.01%; 最新日涨幅-5.26%; 状态bottom_area; 底部未确认
12,67.03926633179918,65.16510918385173,300638,广和通,bottom_area,2025-03-03,33.31,2025-03-03,32.18,3.511497824735869,6.40149160969547,27.587758775877585,False,-0.2396,11.0658,2,3,2,66.66666666666666,29.37987934184324,46.64371772805508,6.4885021752641325,3.511497824735869,历史2/3次成功; 当前距低点3.51%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
13,59.22506314615652,54.856974228139734,300478,杭州高新,bottom_area,2025-03-03,13.4,2025-02-28,13.27,0.9796533534287926,8.063300678221555,28.96145610278373,False,0.5251,7.3413,1,2,1,50.0,13.067655236329937,13.067655236329937,9.020346646571207,0.9796533534287926,历史1/2次成功; 当前距低点0.98%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
