rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.98902871890068,86.18983092009933,605208,永茂泰,bottom_area,2025-03-26,12.93,2025-03-26,12.8,1.0156249999999922,5.468749999999995,27.06552706552706,False,-0.9954,11.418,4,4,4,100.0,22.9325587102114,46.887631366208595,8.984375000000009,1.0156249999999922,历史4/4次成功; 当前距低点1.02%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
2,92.21058976107935,85.98570886572936,300720,海川智能,bottom_area,2025-03-26,21.3,2025-03-24,21.02,1.3320647002854478,7.4690770694576605,28.74576271186441,False,0.4717,3.2535,4,5,4,80.0,46.57428162569997,75.69193742478939,8.667935299714552,1.3320647002854478,历史4/5次成功; 当前距低点1.33%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
3,92.05102954772104,85.91789667207306,600203,福日电子,bottom_area,2025-03-26,9.54,2025-03-26,9.41,1.3815090329436663,2.6567481402763016,29.51310861423221,False,0.3155,4.7879,3,3,3,100.0,20.149125092390385,24.045801526717554,8.618490967056335,1.3815090329436663,历史3/3次成功; 当前距低点1.38%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
4,90.99862718791101,84.75492576041933,002173,创新医疗,bottom_area,2025-03-26,9.57,2025-03-26,9.45,1.2698412698412804,2.8571428571428714,28.893905191873593,False,-0.2086,10.5329,5,5,5,100.0,18.334214277728204,27.109266943291825,8.73015873015872,1.2698412698412804,历史5/5次成功; 当前距低点1.27%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
5,90.31925259033086,85.59029129070733,000678,襄阳轴承,bottom_area,2025-03-26,13.14,2025-03-26,12.86,2.1772939346811913,7.309486780715408,31.957671957671955,False,-4.7826,24.4808,5,5,5,100.0,44.16409388054002,121.62162162162164,7.822706065318809,2.1772939346811913,历史5/5次成功; 当前距低点2.18%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
6,88.74566429132433,83.85517904041754,002279,久其软件,bottom_area,2025-03-26,6.55,2025-03-25,6.42,2.024922118380061,3.4267912772585634,27.04545454545455,False,1.0802,2.8623,3,3,3,100.0,16.94624446410791,25.915492957746476,7.9750778816199395,2.024922118380061,历史3/3次成功; 当前距低点2.02%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
7,85.92591619038862,80.68995694636689,688031,星环科技,bottom_area,2025-03-26,50.84,2025-03-24,49.99,1.7003400680136054,8.381676335267048,27.843533487297922,False,-0.0786,2.2978,3,3,3,100.0,18.42329194321459,22.70402945387605,8.299659931986394,1.7003400680136054,历史3/3次成功; 当前距低点1.70%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
8,84.9562272799522,78.21095898335297,301366,一博科技,bottom_area,2025-03-26,54.96,2025-03-24,54.6,0.6593406593406583,6.5018315018314965,27.68211920529801,False,0.0728,4.2361,2,2,2,100.0,26.366966057256242,36.479591836734706,9.340659340659343,0.6593406593406583,历史2/2次成功; 当前距低点0.66%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
9,83.22823884730654,76.16473332779694,002093,国脉科技,bottom_area,2025-03-26,11.57,2025-03-26,11.53,0.3469210754553419,5.1170858629661735,27.39294710327457,False,-3.7438,11.1766,3,3,3,100.0,27.557598816317896,52.409638554216855,9.653078924544658,0.3469210754553419,历史3/3次成功; 当前距低点0.35%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
10,82.07402542877344,79.96477103421485,002725,跃岭股份,bottom_area,2025-03-26,11.98,2025-03-24,11.56,3.633217993079584,7.698961937716252,27.795128044971896,False,1.3536,3.0372,3,3,3,100.0,15.744666980840336,18.562874251497018,6.366782006920416,3.633217993079584,历史3/3次成功; 当前距低点3.63%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
11,81.57748431107586,78.5278587293534,301389,隆扬电子,bottom_area,2025-03-26,22.66,2025-03-25,22.0,3.0000000000000004,9.272727272727268,28.571428571428577,False,0.4878,6.4119,2,2,2,100.0,16.92397166319034,18.998628257887525,7.000000000000001,3.0000000000000004,历史2/2次成功; 当前距低点3.00%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
