rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.70999110853828,86.01050013569127,000665,湖北广电,bottom_area,2025-04-03,4.98,2025-03-31,4.9,1.632653061224491,8.367346938775494,27.83505154639175,True,-0.994,4.0794,6,6,6,100.0,20.33843610367265,43.606557377049185,8.367346938775508,1.632653061224491,历史6/6次成功; 当前距低点1.63%; 最新日涨幅-0.99%; 状态bottom_area; 底部已确认
2,86.85036820043075,80.5512079907718,300720,海川智能,bottom_area,2025-04-03,20.23,2025-04-03,20.02,1.0489510489510532,4.645354645354645,32.13559322033899,False,-3.3906,2.4462,4,5,4,80.0,46.57428162569997,75.69193742478939,8.951048951048946,1.0489510489510532,历史4/5次成功; 当前距低点1.05%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
3,85.03357148054786,81.79602238254574,300377,赢时胜,bottom_area,2025-04-03,24.33,2025-04-01,23.63,2.962336013542105,7.363520947947533,28.393939393939398,False,0.3299,5.5731,3,3,3,100.0,17.366389749579177,20.843471208434714,7.037663986457895,2.962336013542105,历史3/3次成功; 当前距低点2.96%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
4,84.30885066377233,77.99263866964333,300402,宝色股份,bottom_area,2025-04-03,17.67,2025-04-03,17.51,0.913763563677899,5.653912050256986,28.821138211382113,False,-3.3898,6.7684,5,5,5,100.0,27.666772015209297,61.64021164021163,9.086236436322102,0.913763563677899,历史5/5次成功; 当前距低点0.91%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
5,83.77069356703234,81.72750591905596,000736,中交地产,bottom_area,2025-04-03,5.32,2025-03-25,5.13,3.7037037037037113,7.992202729044837,29.822161422708614,True,1.3333,2.2075,3,3,3,100.0,16.892206255378625,19.029126213592225,6.296296296296289,3.7037037037037113,历史3/3次成功; 当前距低点3.70%; 最新日涨幅1.33%; 状态bottom_area; 底部已确认
6,83.46176338911208,76.24613316261203,002401,中远海科,bottom_area,2025-04-03,15.66,2025-03-31,15.62,0.25608194622279723,5.953905249679908,28.414298808432637,False,-2.8536,2.9064,1,1,1,100.0,68.49925705794946,68.49925705794946,9.743918053777204,0.25608194622279723,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
7,83.02458051246533,79.23344387664571,002300,太阳电缆,bottom_area,2025-04-03,6.04,2025-04-03,5.89,2.54668930390493,3.5653650254668925,32.992036405005685,False,-0.9836,8.2729,2,2,2,100.0,37.633846718005124,38.41584158415842,7.453310696095071,2.54668930390493,历史2/2次成功; 当前距低点2.55%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
8,82.42366030595534,78.17501802214319,301428,世纪恒通,bottom_area,2025-04-03,40.48,2025-03-31,39.6,2.2222222222222103,8.005050505050509,27.999999999999996,True,-1.196,4.5403,2,2,2,100.0,18.7724983269346,26.206896551724135,7.77777777777779,2.2222222222222103,历史2/2次成功; 当前距低点2.22%; 最新日涨幅-1.20%; 状态bottom_area; 底部已确认
9,81.88604837356355,77.91037492081418,300386,飞天诚信,bottom_area,2025-04-03,14.58,2025-03-31,14.24,2.387640449438201,4.6348314606741585,30.536585365853657,False,-1.2195,2.5464,8,9,8,88.88888888888889,19.31168238339282,31.195335276967924,7.612359550561799,2.387640449438201,历史8/9次成功; 当前距低点2.39%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
10,81.15844285209586,75.20026778882723,600203,福日电子,bottom_area,2025-04-03,9.1,2025-03-31,9.01,0.998890122086569,4.550499445061045,32.50936329588015,False,-1.6216,3.2551,3,3,3,100.0,20.149125092390385,24.045801526717554,9.00110987791343,0.998890122086569,历史3/3次成功; 当前距低点1.00%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
11,81.01477186225618,79.12403888327863,603289,泰瑞机器,bottom_area,2025-04-03,8.83,2025-03-31,8.51,3.76028202115159,7.873090481786134,27.512776831345832,True,-2.4309,3.1166,3,3,3,100.0,26.061730599485188,40.702947845804985,6.239717978848411,3.76028202115159,历史3/3次成功; 当前距低点3.76%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
