rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.07062112777382,81.26592451095611,688010,福光股份,bottom_area,2025-05-23,31.81,2025-05-23,31.75,0.18897637795275188,3.181102362204718,28.907299596954765,False,-2.4233,1.5393,4,4,4,100.0,26.1655411434859,42.08955223880597,9.81102362204725,0.18897637795275188,历史4/4次成功; 当前距低点0.19%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
2,88.02874980128794,81.8149941526953,688050,爱博医疗,bottom_area,2025-05-23,75.09,2025-05-19,74.23,1.1585612286137672,4.108850868920917,31.547399483585387,False,0.04,1.265,2,2,2,100.0,12.024267494272554,12.90770757525636,8.841438771386233,1.1585612286137672,历史2/2次成功; 当前距低点1.16%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
3,87.75027360308283,81.57333333333332,000565,渝三峡A,bottom_area,2025-05-23,10.38,2025-05-23,10.26,1.1695906432748635,6.725146198830405,30.39348710990502,False,-2.2599,15.5883,1,1,1,100.0,57.568807339449535,57.568807339449535,8.830409356725138,1.1695906432748635,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
4,86.91732954545452,81.80454545454543,301058,中粮科工,bottom_area,2025-05-23,10.64,2025-04-30,10.45,1.8181818181818306,8.038277511961722,29.77150537634409,True,-1.845,1.6656,1,1,1,100.0,57.794273594909875,57.794273594909875,8.181818181818171,1.8181818181818306,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
5,85.87526486881895,80.96934731059015,688280,精进电动,bottom_area,2025-05-23,7.46,2025-05-21,7.32,1.9125683060109244,7.923497267759563,27.236580516898606,False,-0.2674,4.1464,3,3,3,100.0,22.526898109113223,32.37518910741301,8.087431693989076,1.9125683060109244,历史3/3次成功; 当前距低点1.91%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
6,84.83574067901057,77.12340061728233,002819,东方中科,bottom_area,2025-05-23,29.5,2025-05-23,29.5,0.0,8.101694915254239,27.62512266928361,False,-6.5864,11.9481,5,5,5,100.0,24.050540953130696,51.677148846960186,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-6.59%; 状态bottom_area; 底部未确认
7,84.58329768695623,80.34438980981953,300727,润禾材料,bottom_area,2025-05-23,28.45,2025-05-23,27.81,2.3013304566702644,6.076950737144917,30.82089552238807,False,0.815,2.1881,6,7,6,85.71428571428571,15.744979076186002,26.812499999999993,7.6986695433297365,2.3013304566702644,历史6/7次成功; 当前距低点2.30%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
8,81.85161970209488,75.12769132821926,002490,山东墨龙,bottom_area,2025-05-23,4.0,2025-05-23,3.98,0.5025125628140708,4.271356783919607,28.28828828828829,False,-2.439,4.5534,3,3,3,100.0,13.674300921695417,14.885496183206094,9.49748743718593,0.5025125628140708,历史3/3次成功; 当前距低点0.50%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
9,80.65577411500222,78.43443001763917,001299,美能能源,bottom_area,2025-05-23,10.84,2025-04-29,10.47,3.5339063992359048,7.163323782234957,31.11842105263157,True,0.3704,6.0595,2,2,2,100.0,13.772777461812025,15.247322794492616,6.466093600764096,3.5339063992359048,历史2/2次成功; 当前距低点3.53%; 最新日涨幅0.37%; 状态bottom_area; 底部已确认
10,80.04363038297076,73.41221644534164,002304,洋河股份,bottom_area,2025-05-23,67.33,2025-04-29,67.02,0.46254849298717143,5.147717099373326,29.452631578947376,False,-0.6199,0.2986,2,2,2,100.0,20.62810220081931,20.781426953567394,9.537451507012829,0.46254849298717143,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
11,78.9096093626225,71.73600851147499,002041,登海种业,bottom_area,2025-05-23,9.81,2025-05-23,9.81,0.0,2.4464831804281366,27.654867256637168,False,-1.8018,1.207,2,2,2,100.0,18.2043468358871,21.395106715252467,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
12,77.88168304442624,75.95055390397019,301038,深水规院,bottom_area,2025-05-23,14.08,2025-05-19,13.58,3.6818851251840945,8.983799705449194,27.379679144385022,True,0.7153,3.2414,1,1,1,100.0,18.89920424403183,18.89920424403183,6.3181148748159055,3.6818851251840945,历史1/1次成功; 当前距低点3.68%; 最新日涨幅0.72%; 状态bottom_area; 底部已确认
13,77.34208814005287,72.25720728534257,002813,路畅科技,bottom_area,2025-05-23,23.39,2025-05-23,23.06,1.4310494362532604,8.36947094535993,28.385093167701875,False,-6.1773,11.7303,3,5,3,60.0,53.266653128562695,85.16388729154689,8.56895056374674,1.4310494362532604,历史3/5次成功; 当前距低点1.43%; 最新日涨幅-6.18%; 状态bottom_area; 底部未确认
14,75.47946603039853,75.13792998501212,603221,爱丽家居,bottom_area,2025-05-23,10.78,2025-04-24,10.29,4.7619047619047645,8.64917395529641,29.761092150170654,True,-1.5525,2.576,3,3,3,100.0,16.908993775026747,17.92336217552533,5.238095238095236,4.7619047619047645,历史3/3次成功; 当前距低点4.76%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
15,65.0256614420733,59.83956574423921,601022,宁波远洋,bottom_area,2025-05-23,9.45,2025-05-23,9.39,0.6389776357827339,4.259850905218302,29.977628635346754,False,-4.6418,23.618,2,3,2,66.66666666666666,15.590151006221337,17.53424657534247,9.361022364217266,0.6389776357827339,历史2/3次成功; 当前距低点0.64%; 最新日涨幅-4.64%; 状态bottom_area; 底部未确认
