rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,107.76466395751818,91.62261265016353,002779,中坚科技,bottom_area,2025-06-04,97.9,2025-06-04,96.84,1.0945890128046285,1.5386204047914032,28.94563064054589,False,0.772,2.774,4,4,4,100.0,30.635890319129533,38.253119429590015,18.905410987195374,1.0945890128046285,历史4/4次成功; 当前距低点1.09%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
2,97.3543262414587,83.25301291844202,000811,冰轮环境,bottom_area,2025-06-04,9.34,2025-06-03,9.21,1.4115092290987947,2.497285559174795,28.54926299456943,False,0.4301,1.5609,4,5,4,80.0,32.856204090254195,47.451868629671566,18.588490770901206,1.4115092290987947,历史4/5次成功; 当前距低点1.41%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
3,94.83725784437894,81.21587235604956,688018,乐鑫科技,bottom_area,2025-06-04,136.3,2025-06-04,134.3,1.4892032762472076,1.7498138495904647,32.3766364551863,False,-1.0598,1.3415,2,2,2,100.0,35.32933239727525,36.02954531694619,18.510796723752794,1.4892032762472076,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
4,93.01144927324201,80.83036547089087,002304,洋河股份,bottom_area,2025-06-04,66.49,2025-05-29,65.0,2.2923076923076846,2.5999999999999965,31.57894736842105,False,0.6967,0.2866,2,2,2,100.0,20.62810220081931,20.781426953567394,17.707692307692316,2.2923076923076846,历史2/2次成功; 当前距低点2.29%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
5,91.55961551057916,79.17398259048369,688448,磁谷科技,bottom_area,2025-06-04,29.29,2025-06-03,28.71,2.020202020202014,2.577499129223262,27.113480578827115,False,1.2094,2.4818,1,1,1,100.0,25.053995680345576,25.053995680345576,17.979797979797986,2.020202020202014,历史1/1次成功; 当前距低点2.02%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
6,90.87816434791264,77.68137029739081,002889,东方嘉盛,bottom_area,2025-06-04,14.61,2025-06-04,14.41,1.3879250520471846,2.567661346287295,32.883092687470885,False,-0.273,1.7757,1,1,1,100.0,31.751824817518237,31.751824817518237,18.612074947952816,1.3879250520471846,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
7,90.54719845102372,78.82899271212911,600770,综艺股份,bottom_area,2025-06-04,5.57,2025-06-03,5.44,2.389705882352939,2.9411764705882213,27.94701986754966,False,1.2727,5.6881,1,1,1,100.0,27.72861356932153,27.72861356932153,17.61029411764706,2.389705882352939,历史1/1次成功; 当前距低点2.39%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
8,90.27712302416994,80.96636363636364,301058,中粮科工,bottom_area,2025-06-04,10.87,2025-04-30,10.45,4.019138755980861,8.038277511961722,29.77150537634409,True,1.0223,1.3113,1,1,1,100.0,57.794273594909875,57.794273594909875,15.98086124401914,4.019138755980861,历史1/1次成功; 当前距低点4.02%; 最新日涨幅1.02%; 状态bottom_area; 底部已确认
9,88.16709588906186,74.56116729505997,605377,华旺科技,bottom_area,2025-06-04,8.79,2025-06-04,8.72,0.8027522935779645,1.490825688073383,27.81456953642384,False,0.1139,0.6505,1,1,1,100.0,25.16904583020285,25.16904583020285,19.197247706422036,0.8027522935779645,历史1/1次成功; 当前距低点0.80%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
10,87.35613689703649,73.85231225986728,000096,广聚能源,bottom_area,2025-06-04,14.11,2025-06-04,14.0,0.7857142857142816,1.571428571428576,27.083333333333332,False,0.0,2.5414,1,1,1,100.0,21.149144254278735,21.149144254278735,19.21428571428572,0.7857142857142816,历史1/1次成功; 当前距低点0.79%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,85.94497860552528,71.66854246713852,688305,科德数控,bottom_area,2025-06-04,55.06,2025-06-04,55.04,0.03633720930233126,1.7441860465116297,31.86432285219114,False,-0.757,0.888,1,1,1,100.0,22.69565217391304,22.69565217391304,19.96366279069767,0.03633720930233126,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
12,85.14659941853101,74.75211419216708,688543,国科军工,bottom_area,2025-06-04,44.76,2025-06-04,43.52,2.8492647058823413,3.2858455882352935,31.604589030331603,False,-1.1921,6.3439,1,1,1,100.0,33.916331836445266,33.916331836445266,17.15073529411766,2.8492647058823413,历史1/1次成功; 当前距低点2.85%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
