rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.93546230202989,81.24835311873792,002779,中坚科技,bottom_area,2025-06-10,96.42,2025-06-10,92.88,3.8113695090439346,6.66451335055986,31.851199647809818,False,-1.9325,4.7894,4,4,4,100.0,30.635890319129533,38.253119429590015,16.188630490956065,3.8113695090439346,历史4/4次成功; 当前距低点3.81%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
2,89.47600943479272,76.47299603419906,605377,华旺科技,bottom_area,2025-06-10,8.81,2025-06-05,8.69,1.3808975834292405,5.178365937859621,28.062913907284777,False,-0.7883,0.793,1,1,1,100.0,25.16904583020285,25.16904583020285,18.619102416570758,1.3808975834292405,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
3,89.32484225481414,76.4676832244871,688682,霍莱沃,bottom_area,2025-06-10,28.31,2025-06-10,27.9,1.469534050179212,5.376344086021505,31.61764705882353,False,-0.1411,2.2296,1,1,1,100.0,26.22699386503069,26.22699386503069,18.53046594982079,1.469534050179212,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
4,88.92007433997215,77.03621162473702,002304,洋河股份,bottom_area,2025-06-10,66.38,2025-05-29,65.0,2.123076923076916,3.538461538461534,31.57894736842105,False,-0.8218,0.2522,2,2,2,100.0,20.62810220081931,20.781426953567394,17.876923076923084,2.123076923076916,历史2/2次成功; 当前距低点2.12%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
5,88.90360291826102,74.38343736690084,000811,冰轮环境,bottom_area,2025-06-10,9.18,2025-06-10,9.16,0.21834061135370714,3.2751091703056847,28.937160589604343,False,-2.2364,2.6248,4,5,4,80.0,32.856204090254195,47.451868629671566,19.781659388646293,0.21834061135370714,历史4/5次成功; 当前距低点0.22%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
6,88.53188147143982,75.68844671364879,000096,广聚能源,bottom_area,2025-06-10,13.79,2025-06-10,13.6,1.3970588235294081,2.426470588235295,29.166666666666668,False,-0.0725,2.8953,1,1,1,100.0,21.149144254278735,21.149144254278735,18.602941176470594,1.3970588235294081,历史1/1次成功; 当前距低点1.40%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
7,87.83993088788716,73.84255961844197,605005,合兴股份,bottom_area,2025-06-10,18.96,2025-06-10,18.87,0.47694753577106436,5.19342872284049,29.08680947012401,False,-4.0,3.7556,1,1,1,100.0,96.96521095484826,96.96521095484826,19.523052464228936,0.47694753577106436,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
8,87.75887221472999,75.54988645673237,688448,磁谷科技,bottom_area,2025-06-10,29.22,2025-06-03,28.71,1.7763845350052174,4.771856495994418,27.113480578827115,False,-2.4048,3.8866,1,1,1,100.0,25.053995680345576,25.053995680345576,18.223615464994783,1.7763845350052174,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
9,86.68145367996739,75.59034948628471,688543,国科军工,bottom_area,2025-06-10,44.6,2025-06-04,43.52,2.4816176470588194,6.755514705882347,31.604589030331603,False,-2.1286,3.8117,1,1,1,100.0,33.916331836445266,33.916331836445266,17.51838235294118,2.4816176470588194,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
10,83.42591710126032,70.61878205128205,603577,汇金通,bottom_area,2025-06-10,9.44,2025-06-10,9.36,0.8547008547008554,3.6324786324786316,27.216174183514774,False,-2.3785,8.171,1,1,1,100.0,27.083333333333325,27.083333333333325,19.14529914529915,0.8547008547008554,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
11,83.35215739475473,69.9367758552371,600770,综艺股份,bottom_area,2025-06-10,5.38,2025-06-10,5.36,0.373134328358201,7.835820895522386,29.006622516556284,False,-3.2374,8.412,1,1,1,100.0,27.72861356932153,27.72861356932153,19.6268656716418,0.373134328358201,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
