rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.80753820665335,90.87131843956581,000811,冰轮环境,bottom_area,2025-06-18,8.91,2025-06-17,8.8,1.2499999999999936,2.045454545454542,31.7300232738557,False,0.7919,1.5251,5,5,5,100.0,28.501712040676264,47.451868629671566,6.750000000000006,1.2499999999999936,历史5/5次成功; 当前距低点1.25%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
2,90.15899035763151,86.95437951700481,300697,电工合金,bottom_area,2025-06-18,11.57,2025-06-18,11.33,2.11827007943513,2.9126213592233015,28.38179519595449,False,0.0,2.1005,4,4,4,100.0,18.086211280198423,31.64400494437578,5.8817299205648705,2.11827007943513,历史4/4次成功; 当前距低点2.12%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,88.32522466697769,85.69464287996526,300553,集智股份,bottom_area,2025-06-18,35.86,2025-06-18,35.01,2.427877749214514,3.1133961725221466,29.00020279862098,False,0.2236,2.5715,4,4,4,100.0,15.10862445255024,17.361392148927557,5.572122250785486,2.427877749214514,历史4/4次成功; 当前距低点2.43%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
4,87.62018980567244,84.12526315789475,605005,合兴股份,bottom_area,2025-06-18,18.39,2025-06-18,18.05,1.88365650969529,1.9944598337950106,32.168357760240504,False,0.7119,1.0342,1,1,1,100.0,96.96521095484826,96.96521095484826,6.116343490304709,1.88365650969529,历史1/1次成功; 当前距低点1.88%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
5,87.61044231693549,83.1870062692831,300346,南大光电,bottom_area,2025-06-18,30.24,2025-06-13,29.85,1.3065326633165728,3.1825795644891097,27.513355998057303,False,-0.2967,1.1912,3,3,3,100.0,27.020971729273548,46.69811320754715,6.693467336683427,1.3065326633165728,历史3/3次成功; 当前距低点1.31%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
6,86.3094214632684,79.91613098450776,000605,渤海股份,bottom_area,2025-06-18,6.81,2025-06-18,6.81,0.0,2.0558002936857647,27.553191489361712,False,-2.0144,2.1518,4,4,4,100.0,28.850166583374982,56.66666666666668,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
7,86.22497018336804,80.13021729234431,000715,中兴商业,bottom_area,2025-06-18,5.28,2025-06-18,5.27,0.18975332068312478,2.087286527514238,30.657894736842106,False,-2.2222,1.8807,4,4,4,100.0,20.069112169364704,29.105691056910565,7.810246679316875,0.18975332068312478,历史4/4次成功; 当前距低点0.19%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
8,86.14342704070414,82.79915642182719,603139,康惠股份,bottom_area,2025-06-18,21.53,2025-06-18,21.12,1.9412878787878796,4.92424242424242,30.06622516556291,False,-1.6895,8.207,4,4,4,100.0,16.049961212169606,29.315476190476186,6.05871212121212,1.9412878787878796,历史4/4次成功; 当前距低点1.94%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
9,85.13670935077715,83.40957903296093,688188,柏楚电子,bottom_area,2025-06-18,140.67,2025-06-11,136.66,2.934289477535483,4.200204888043326,31.8675840063815,False,0.9328,0.2473,3,3,3,100.0,25.69762925667648,34.07281509974057,5.065710522464517,2.934289477535483,历史3/3次成功; 当前距低点2.93%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
10,84.74252486211195,80.4844307312407,001311,多利科技,bottom_area,2025-06-18,19.96,2025-06-18,19.7,1.3197969543147288,1.7258883248730958,32.13916637960731,False,-0.3992,1.7661,2,2,2,100.0,29.32025691977575,46.9244288224956,6.68020304568527,1.3197969543147288,历史2/2次成功; 当前距低点1.32%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
11,83.70243326203598,77.64576548949637,002136,安纳达,bottom_area,2025-06-18,10.42,2025-06-18,10.41,0.09606147934677989,1.4409221902017326,30.367892976588625,False,-1.6053,2.7206,3,3,3,100.0,22.230030443048534,42.29299363057326,7.90393852065322,0.09606147934677989,历史3/3次成功; 当前距低点0.10%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
