rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.34343667780088,85.13195480546463,603333,尚纬股份,bottom_area,2025-06-27,7.38,2025-06-23,7.23,2.0746887966804906,7.1922544951590535,28.838582677165352,True,-0.2703,2.8088,5,5,5,100.0,21.03357667686099,47.19626168224298,5.9253112033195094,2.0746887966804906,历史5/5次成功; 当前距低点2.07%; 最新日涨幅-0.27%; 状态bottom_area; 底部已确认
2,87.96105222026549,86.1548168916756,605136,丽人丽妆,bottom_area,2025-06-27,10.57,2025-06-26,10.27,2.9211295034079914,4.67380720545278,29.318651066758434,False,0.2846,4.0504,4,4,4,100.0,23.62899010454739,52.667814113597245,5.078870496592009,2.9211295034079914,历史4/4次成功; 当前距低点2.92%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,85.01150727656726,79.15474232674798,603139,康惠股份,bottom_area,2025-06-27,20.77,2025-06-20,20.71,0.2897151134717466,5.5528730082085875,31.42384105960264,False,-0.622,2.3387,4,4,4,100.0,16.049961212169606,29.315476190476186,7.710284886528254,0.2897151134717466,历史4/4次成功; 当前距低点0.29%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
4,84.91417110229277,86.05911512851014,603327,福蓉科技,bottom_area,2025-06-27,9.14,2025-06-23,8.73,4.696449026345935,5.154639175257723,28.148148148148145,False,0.883,0.6936,6,6,6,100.0,44.87644574504772,129.39632545931758,3.3035509736540654,4.696449026345935,历史6/6次成功; 当前距低点4.70%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
5,84.29454795436409,80.24627676790871,688059,华锐精密,bottom_area,2025-06-27,45.75,2025-06-27,45.1,1.441241685144121,2.1064301552106333,32.1498420340003,False,0.5716,1.5951,4,5,4,80.0,17.05541833353391,38.29213483146067,6.558758314855879,1.441241685144121,历史4/5次成功; 当前距低点1.44%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
6,84.10855059062922,84.12417979263437,688114,华大智造,bottom_area,2025-06-27,64.59,2025-06-23,62.1,4.009661835748796,7.004830917874398,28.20809248554913,True,1.6365,2.0733,4,4,4,100.0,16.861337516890426,27.745919717688572,3.9903381642512046,4.009661835748796,历史4/4次成功; 当前距低点4.01%; 最新日涨幅1.64%; 状态bottom_area; 底部已确认
7,83.66644992216621,79.10470657012797,300703,创源股份,bottom_area,2025-06-27,20.49,2025-06-26,20.27,1.0853478046373897,4.0947212629501815,31.404399323181053,False,-0.1462,6.4013,2,2,2,100.0,19.02849228333993,20.914127423822727,6.914652195362611,1.0853478046373897,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
8,83.49705879892383,81.85145878974774,603011,合锻智能,bottom_area,2025-06-27,15.28,2025-06-20,14.84,2.9649595687331503,7.614555256064695,28.170377541142305,True,0.7916,7.4361,2,2,2,100.0,25.169712937953285,41.201716738197426,5.03504043126685,2.9649595687331503,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.79%; 状态bottom_area; 底部已确认
9,82.44112528794584,81.05799286992722,001282,三联锻造,bottom_area,2025-06-27,20.16,2025-06-26,19.55,3.1202046035805595,7.161125319693087,30.62455642299503,True,2.4911,17.5209,2,2,2,100.0,22.80677078543491,37.31343283582089,4.879795396419441,3.1202046035805595,历史2/2次成功; 当前距低点3.12%; 最新日涨幅2.49%; 状态bottom_area; 底部已确认
10,81.92144885393458,80.34563763831851,605198,安德利,bottom_area,2025-06-27,40.3,2025-06-20,39.13,2.990033222591348,5.877843087145405,29.748653500897664,False,0.0497,0.8004,1,1,1,100.0,43.241469816272954,43.241469816272954,5.009966777408652,2.990033222591348,历史1/1次成功; 当前距低点2.99%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
11,81.76125336859832,79.62489623445506,002041,登海种业,bottom_area,2025-06-27,9.78,2025-06-23,9.53,2.623294858342078,3.147953830010501,29.719764011799416,False,0.1024,0.5509,2,2,2,100.0,18.2043468358871,21.395106715252467,5.376705141657922,2.623294858342078,历史2/2次成功; 当前距低点2.62%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
12,81.6206856512158,77.43033795037212,002155,湖南黄金,bottom_area,2025-06-27,17.68,2025-06-26,17.46,1.2600229095074391,2.978235967926687,28.995526636844243,False,-0.8969,2.3962,1,1,1,100.0,28.834355828220854,28.834355828220854,6.739977090492561,1.2600229095074391,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
13,80.63522398203824,80.8745439577253,300346,南大光电,bottom_area,2025-06-27,31.09,2025-06-13,29.85,4.154103852596309,5.862646566164154,27.513355998057303,False,0.0966,2.0786,3,3,3,100.0,27.020971729273548,46.69811320754715,3.845896147403691,4.154103852596309,历史3/3次成功; 当前距低点4.15%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
14,79.13266816787362,76.38799700935165,002896,中大力德,bottom_area,2025-06-27,57.11,2025-06-27,55.9,2.164579606440073,3.2558139534883725,27.090126516238428,False,0.4044,4.2559,1,1,1,100.0,11.84536834427426,11.84536834427426,5.835420393559927,2.164579606440073,历史1/1次成功; 当前距低点2.16%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
15,79.06975785808616,77.3257028794473,605377,华旺科技,bottom_area,2025-06-27,8.69,2025-06-23,8.45,2.840236686390535,3.6686390532544437,30.04966887417219,False,0.6952,0.9446,1,1,1,100.0,25.16904583020285,25.16904583020285,5.159763313609465,2.840236686390535,历史1/1次成功; 当前距低点2.84%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
16,78.32819629951949,78.71538461538464,001230,劲旅环境,bottom_area,2025-06-27,20.33,2025-06-23,19.5,4.256410256410248,6.9230769230769305,30.629669156883672,False,0.1478,5.4597,1,1,1,100.0,84.69119579500656,84.69119579500656,3.7435897435897516,4.256410256410248,历史1/1次成功; 当前距低点4.26%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
17,78.29299298163572,79.23490185509388,002678,珠江钢琴,bottom_area,2025-06-27,4.98,2025-06-23,4.76,4.621848739495812,5.042016806722694,29.79351032448378,False,1.0142,1.5782,3,3,3,100.0,23.939338608302766,35.5191256830601,3.378151260504188,4.621848739495812,历史3/3次成功; 当前距低点4.62%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
18,78.1120253164557,72.32594936708861,688556,高测股份,bottom_area,2025-06-27,7.0,2025-06-27,7.0,0.0,4.142857142857143,31.10236220472441,False,0.1431,2.2193,1,1,1,100.0,15.569620253164562,15.569620253164562,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
19,77.62285369712114,76.99098140486262,002811,郑中设计,bottom_area,2025-06-27,10.43,2025-06-23,10.07,3.5749751737835096,5.56107249255214,31.728813559322035,False,0.2885,1.8459,2,2,2,100.0,15.709273124134537,16.78832116788322,4.42502482621649,3.5749751737835096,历史2/2次成功; 当前距低点3.57%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
20,77.56673758706076,76.61744307251037,600770,综艺股份,bottom_area,2025-06-27,5.23,2025-06-23,5.06,3.3596837944664197,6.719367588932822,32.980132450331126,False,0.3839,3.0445,1,1,1,100.0,27.72861356932153,27.72861356932153,4.640316205533581,3.3596837944664197,历史1/1次成功; 当前距低点3.36%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
21,76.76533453807454,77.56649078088176,002575,群兴玩具,confirmed_rebound,2025-06-27,8.52,2025-06-20,8.15,4.539877300613488,8.957055214723932,27.748226950354603,True,-1.9563,4.1992,4,4,4,100.0,20.792532399357476,39.02759526938239,3.460122699386513,4.539877300613488,历史4/4次成功; 当前距低点4.54%; 最新日涨幅-1.96%; 状态confirmed_rebound; 底部已确认
22,76.4800030477112,76.94125293611374,002172,澳洋健康,bottom_area,2025-06-27,3.87,2025-06-23,3.71,4.312668463611864,7.277628032345014,27.11198428290766,True,1.3089,6.048,5,6,5,83.33333333333334,18.06883709578199,29.824561403508774,3.687331536388136,4.312668463611864,历史5/6次成功; 当前距低点4.31%; 最新日涨幅1.31%; 状态bottom_area; 底部已确认
23,76.28084325262382,71.66821243712184,301287,康力源,bottom_area,2025-06-27,39.9,2025-06-27,39.6,0.7575757575757504,1.0606060606060648,32.098765432098766,False,0.3774,9.3968,1,1,1,100.0,9.0617481956696,9.0617481956696,7.24242424242425,0.7575757575757504,历史1/1次成功; 当前距低点0.76%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
24,74.68873687781192,73.77761909635021,300871,回盛生物,bottom_area,2025-06-27,20.6,2025-06-23,19.93,3.3617661816357334,4.66633216256899,29.301170627882232,False,1.5278,4.5411,1,1,1,100.0,12.486268766019775,12.486268766019775,4.638233818364267,3.3617661816357334,历史1/1次成功; 当前距低点3.36%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
25,74.62750195991077,73.55190422076834,605189,富春染织,bottom_area,2025-06-27,12.09,2025-06-26,11.71,3.2450896669513147,4.8676345004269725,27.0404984423676,False,0.0828,1.6398,1,1,1,100.0,9.842519685039358,9.842519685039358,4.754910333048685,3.2450896669513147,历史1/1次成功; 当前距低点3.25%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
26,74.19572058377416,74.21581965477073,603681,永冠新材,bottom_area,2025-06-27,14.77,2025-06-20,14.2,4.014084507042256,5.492957746478881,29.000000000000004,False,1.0951,2.6126,1,1,1,100.0,22.83834586466165,22.83834586466165,3.9859154929577443,4.014084507042256,历史1/1次成功; 当前距低点4.01%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
27,72.63369277741164,71.4848612930069,000999,华润三九,bottom_area,2025-06-27,31.56,2025-06-23,30.59,3.1709709055246775,4.347826086956528,29.645814167433297,False,-0.9105,0.3718,1,1,1,100.0,20.293951384963254,20.293951384963254,4.829029094475323,3.1709709055246775,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
28,71.65899944267932,71.65019450326264,300640,德艺文创,bottom_area,2025-06-27,6.51,2025-06-23,6.26,3.993610223642172,6.230031948881798,27.880184331797235,False,-0.1534,5.9281,2,2,2,100.0,14.600138780466654,17.724867724867735,4.006389776357828,3.993610223642172,历史2/2次成功; 当前距低点3.99%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
29,70.81019746101518,71.99259235532782,600980,北矿科技,bottom_area,2025-06-27,22.65,2025-06-20,21.6,4.861111111111097,6.388888888888884,28.66578599735799,False,3.9945,17.6776,1,1,1,100.0,21.268417680973737,21.268417680973737,3.138888888888903,4.861111111111097,历史1/1次成功; 当前距低点4.86%; 最新日涨幅3.99%; 状态bottom_area; 底部未确认
30,65.34588471505182,66.27158301751874,002615,哈尔斯,bottom_area,2025-06-27,8.19,2025-06-23,7.82,4.731457800511499,5.24296675191816,30.673758865248217,False,0.738,8.9114,2,3,2,66.66666666666666,27.80989320439935,28.84012539184954,3.2685421994885013,4.731457800511499,历史2/3次成功; 当前距低点4.73%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
