rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.66180484994122,84.5599129341066,300849,锦盛新材,bottom_area,2025-07-01,13.21,2025-07-01,13.01,1.5372790161414378,2.8439661798616527,32.204273058884844,False,0.2276,15.4878,1,1,1,100.0,48.090909090909086,48.090909090909086,6.462720983858563,1.5372790161414378,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
2,84.17965272540577,82.44079815012232,688114,华大智造,bottom_area,2025-07-01,63.91,2025-06-23,62.1,2.9146537842189937,7.004830917874398,28.20809248554913,True,-1.4191,1.3627,4,4,4,100.0,16.861337516890426,27.745919717688572,5.085346215781007,2.9146537842189937,历史4/4次成功; 当前距低点2.91%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
3,82.44204976298957,82.37776984968374,603139,康惠股份,bottom_area,2025-07-01,21.53,2025-06-20,20.71,3.9594398841139555,5.5528730082085875,31.42384105960264,False,1.5566,4.0826,4,4,4,100.0,16.049961212169606,29.315476190476186,4.040560115886045,3.9594398841139555,历史4/4次成功; 当前距低点3.96%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
4,81.35123723699981,79.38565174337427,002041,登海种业,bottom_area,2025-07-01,9.79,2025-06-23,9.53,2.728226652675759,3.147953830010501,29.719764011799416,False,0.0,0.6153,2,2,2,100.0,18.2043468358871,21.395106715252467,5.271773347324241,2.728226652675759,历史2/2次成功; 当前距低点2.73%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,79.5661416839822,77.69436115637222,001282,三联锻造,bottom_area,2025-07-01,20.09,2025-06-26,19.55,2.7621483375959035,7.161125319693087,30.62455642299503,True,-1.3261,6.8044,2,2,2,100.0,22.80677078543491,37.31343283582089,5.237851662404097,2.7621483375959035,历史2/2次成功; 当前距低点2.76%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
6,77.08536935686725,74.1680911066715,000999,华润三九,bottom_area,2025-07-01,31.2,2025-06-23,30.59,1.9941157240928389,4.347826086956528,29.645814167433297,False,-0.2558,0.5281,1,1,1,100.0,20.293951384963254,20.293951384963254,6.005884275907161,1.9941157240928389,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
7,75.60297090251518,72.95023508137432,688556,高测股份,bottom_area,2025-07-01,7.15,2025-06-27,7.0,2.142857142857148,4.142857142857143,31.10236220472441,False,-0.4178,1.4106,1,1,1,100.0,15.569620253164562,15.569620253164562,5.857142857142852,2.142857142857148,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
8,75.53430356570182,75.87322966777104,002127,南极电商,bottom_area,2025-07-01,3.94,2025-06-20,3.78,4.232804232804237,6.878306878306885,29.34579439252336,False,-0.7557,1.5529,3,3,3,100.0,23.570017841745774,33.53658536585366,3.7671957671957634,4.232804232804237,历史3/3次成功; 当前距低点4.23%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
9,75.11395324762982,73.23523463930559,688059,华锐精密,bottom_area,2025-07-01,46.31,2025-06-27,45.1,2.682926829268294,6.430155210643012,32.1498420340003,False,-0.9624,3.1084,4,5,4,80.0,17.05541833353391,38.29213483146067,5.317073170731707,2.682926829268294,历史4/5次成功; 当前距低点2.68%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
10,75.06005053966524,70.5241699041699,603022,新通联,bottom_area,2025-07-01,10.61,2025-07-01,10.53,0.7597340930674271,4.083570750237431,29.940119760479046,False,-4.0687,17.1351,2,2,2,100.0,18.958944281524914,26.099706744868023,7.240265906932573,0.7597340930674271,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
11,74.66225709652929,75.97558908222344,605198,安德利,bottom_area,2025-07-01,41.05,2025-06-20,39.13,4.906721185790939,5.877843087145405,29.748653500897664,False,1.8358,0.984,1,1,1,100.0,43.241469816272954,43.241469816272954,3.0932788142090613,4.906721185790939,历史1/1次成功; 当前距低点4.91%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
12,73.04896270243337,70.95441917454681,301287,康力源,bottom_area,2025-07-01,40.38,2025-07-01,39.4,2.4873096446700607,3.88324873096447,32.441700960219485,False,-0.2717,18.3491,1,1,1,100.0,9.0617481956696,9.0617481956696,5.51269035532994,2.4873096446700607,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
13,72.30827268443637,72.13173612184373,002811,郑中设计,bottom_area,2025-07-01,10.46,2025-06-23,10.07,3.872889771598814,5.56107249255214,31.728813559322035,False,-0.947,2.1164,2,2,2,100.0,15.709273124134537,16.78832116788322,4.127110228401186,3.872889771598814,历史2/2次成功; 当前距低点3.87%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
14,71.91368070986357,70.4541508555055,002896,中大力德,bottom_area,2025-07-01,57.54,2025-06-27,55.9,2.933810375670842,4.114490161001797,27.090126516238428,False,-0.6389,3.09,1,1,1,100.0,11.84536834427426,11.84536834427426,5.066189624329158,2.933810375670842,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
15,71.27851825753058,70.98712299779051,605377,华旺科技,bottom_area,2025-07-01,8.77,2025-06-23,8.45,3.7869822485207134,4.852071005917162,30.04966887417219,False,-0.454,0.5418,1,1,1,100.0,25.16904583020285,25.16904583020285,4.213017751479287,3.7869822485207134,历史1/1次成功; 当前距低点3.79%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
16,68.82440469830789,70.11680625139284,300871,回盛生物,bottom_area,2025-07-01,20.92,2025-06-23,19.93,4.967385850476679,5.168088309081792,29.301170627882232,False,0.0957,4.4167,1,1,1,100.0,12.486268766019775,12.486268766019775,3.0326141495233214,4.967385850476679,历史1/1次成功; 当前距低点4.97%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
