rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.90784068787957,78.43806288748793,605198,安德利,bottom_area,2025-07-04,39.91,2025-06-20,39.13,1.9933554817275594,5.877843087145405,29.748653500897664,False,-0.3744,0.6141,1,1,1,100.0,43.241469816272954,43.241469816272954,13.00664451827244,1.9933554817275594,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
2,85.16257359094904,75.59986678358236,603193,润本股份,bottom_area,2025-07-04,30.18,2025-06-27,29.85,1.105527638190949,7.437185929648236,29.94602206054916,True,-3.7321,6.6115,1,1,1,100.0,18.120805369127517,18.120805369127517,13.89447236180905,1.105527638190949,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-3.73%; 状态bottom_area; 底部已确认
3,84.6818576754388,75.34591375074136,002141,贤丰控股,bottom_area,2025-07-04,4.12,2025-07-04,4.07,1.228501228501224,3.9312039312039344,27.9646017699115,False,-1.199,5.3551,1,1,1,100.0,17.241379310344833,17.241379310344833,13.771498771498775,1.228501228501224,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
4,84.31578305526124,75.36063769052244,000999,华润三九,bottom_area,2025-07-04,31.04,2025-06-23,30.59,1.4710689767897982,4.347826086956528,29.645814167433297,False,-0.5128,0.3613,1,1,1,100.0,20.293951384963254,20.293951384963254,13.5289310232102,1.4710689767897982,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
5,83.78214102653513,77.68275347729485,002127,南极电商,bottom_area,2025-07-04,3.91,2025-06-20,3.78,3.439153439153448,6.878306878306885,29.34579439252336,False,-1.2626,1.1349,3,3,3,100.0,23.570017841745774,33.53658536585366,11.560846560846553,3.439153439153448,历史3/3次成功; 当前距低点3.44%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
6,82.93498910103575,77.23245132364706,002041,登海种业,bottom_area,2025-07-04,9.88,2025-06-23,9.53,3.672612801678924,3.9874081846799663,29.719764011799416,False,0.3046,1.185,2,2,2,100.0,18.2043468358871,21.395106715252467,11.327387198321077,3.672612801678924,历史2/2次成功; 当前距低点3.67%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
7,82.33765548489343,73.92737793851718,688556,高测股份,bottom_area,2025-07-04,7.12,2025-06-27,7.0,1.7142857142857157,5.999999999999999,31.10236220472441,False,-1.7931,2.2322,1,1,1,100.0,15.569620253164562,15.569620253164562,13.285714285714285,1.7142857142857157,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
8,79.26981293965581,70.22700260431061,301348,蓝箭电子,bottom_area,2025-07-04,20.25,2025-07-04,20.05,0.9975062344139616,3.690773067331663,29.001416430594894,False,-1.4599,9.3052,1,1,1,100.0,26.727509778357234,26.727509778357234,14.002493765586038,0.9975062344139616,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
9,79.01131848261653,72.9610395227495,002155,湖南黄金,bottom_area,2025-07-04,17.95,2025-06-30,17.39,3.220241518113851,5.405405405405392,29.28019520130134,False,-1.4278,2.0995,1,1,1,100.0,28.834355828220854,28.834355828220854,11.779758481886148,3.220241518113851,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
10,78.24074874122579,72.43744307251036,600770,综艺股份,bottom_area,2025-07-04,5.23,2025-06-23,5.06,3.3596837944664197,6.916996047430842,32.980132450331126,False,-0.947,1.6141,1,1,1,100.0,27.72861356932153,27.72861356932153,11.64031620553358,3.3596837944664197,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
11,76.62299566618618,69.43053087205135,688114,华大智造,bottom_area,2025-07-04,63.47,2025-06-23,62.1,2.206119162640898,7.004830917874398,28.20809248554913,True,0.4272,1.3859,2,4,2,50.0,24.08861592942264,27.745919717688572,12.7938808373591,2.206119162640898,历史2/4次成功; 当前距低点2.21%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
12,76.55478116175941,71.74581965477073,603681,永冠新材,bottom_area,2025-07-04,14.77,2025-06-20,14.2,4.014084507042256,7.4647887323943705,29.000000000000004,True,-1.7299,2.2798,1,1,1,100.0,22.83834586466165,22.83834586466165,10.985915492957743,4.014084507042256,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
13,76.03419200022783,71.72887931034481,603577,汇金通,bottom_area,2025-07-04,9.08,2025-06-23,8.7,4.367816091954032,8.275862068965525,32.34836702954899,True,-1.7316,2.7952,1,1,1,100.0,27.083333333333325,27.083333333333325,10.632183908045967,4.367816091954032,历史1/1次成功; 当前距低点4.37%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
14,75.18179097332623,71.31485140992882,002371,北方华创,bottom_area,2025-07-04,335.15,2025-07-03,320.22,4.6624195865342415,6.648554119043146,28.602006688963204,False,2.1269,1.0105,1,1,1,100.0,15.189075630252091,15.189075630252091,10.337580413465759,4.6624195865342415,历史1/1次成功; 当前距低点4.66%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
15,75.15599831646433,70.44747802737632,605377,华旺科技,bottom_area,2025-07-04,8.79,2025-06-23,8.45,4.023668639053253,4.852071005917162,30.04966887417219,False,-0.453,0.6407,1,1,1,100.0,25.16904583020285,25.16904583020285,10.976331360946746,4.023668639053253,历史1/1次成功; 当前距低点4.02%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
16,73.37710791971502,69.99386672595604,688448,磁谷科技,bottom_area,2025-07-04,28.55,2025-06-23,27.2,4.963235294117652,10.11029411764706,30.946940847930946,True,-1.5857,2.1076,1,1,1,100.0,25.053995680345576,25.053995680345576,10.036764705882348,4.963235294117652,历史1/1次成功; 当前距低点4.96%; 最新日涨幅-1.59%; 状态bottom_area; 底部已确认
17,70.57809854189978,66.44151634648479,300346,南大光电,bottom_area,2025-07-04,31.12,2025-06-13,29.85,4.254606365159128,8.576214405360117,27.513355998057303,True,-1.1436,2.4861,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,10.745393634840871,4.254606365159128,历史2/3次成功; 当前距低点4.25%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
18,68.43904364518974,65.28674753286539,605136,丽人丽妆,bottom_area,2025-07-04,10.78,2025-06-26,10.27,4.9659201557935715,8.95813047711782,29.318651066758434,True,0.6536,11.4367,2,4,2,50.0,35.640029505778216,52.667814113597245,10.034079844206428,4.9659201557935715,历史2/4次成功; 当前距低点4.97%; 最新日涨幅0.65%; 状态bottom_area; 底部已确认
19,65.82477641510937,58.44730463005223,300640,德艺文创,bottom_area,2025-07-04,6.33,2025-06-23,6.26,1.1182108626198128,7.348242811501597,27.880184331797235,True,-3.211,9.1546,1,2,1,50.0,17.724867724867735,17.724867724867735,13.881789137380188,1.1182108626198128,历史1/2次成功; 当前距低点1.12%; 最新日涨幅-3.21%; 状态bottom_area; 底部已确认
20,65.08720722541636,57.73919873744327,600241,时代万恒,bottom_area,2025-07-04,8.51,2025-07-04,8.42,1.0688836104513049,4.2755344418052195,28.03418803418803,False,-3.5147,9.2705,1,2,1,50.0,22.50673854447439,22.50673854447439,13.931116389548695,1.0688836104513049,历史1/2次成功; 当前距低点1.07%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
21,63.97711909935349,60.292572973212714,002172,澳洋健康,bottom_area,2025-07-04,3.87,2025-06-23,3.71,4.312668463611864,7.547169811320761,27.11198428290766,True,-1.023,5.0631,3,6,3,50.0,23.255145538966428,29.824561403508774,10.687331536388136,4.312668463611864,历史3/6次成功; 当前距低点4.31%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
22,62.53287266757211,54.672396374196964,603022,新通联,bottom_area,2025-07-04,10.36,2025-07-04,10.33,0.2904162633107392,1.8393030009680493,31.270791749833666,False,-1.145,6.5737,1,2,1,50.0,26.099706744868023,26.099706744868023,14.709583736689261,0.2904162633107392,历史1/2次成功; 当前距低点0.29%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
23,61.13383664378377,55.578665473075326,002811,郑中设计,bottom_area,2025-07-04,10.31,2025-06-23,10.07,2.383316782522346,6.156901688182713,31.728813559322035,False,-1.7159,3.2821,1,2,1,50.0,16.78832116788322,16.78832116788322,12.616683217477654,2.383316782522346,历史1/2次成功; 当前距低点2.38%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
