rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.92143545936239,82.62917613636363,603022,新通联,bottom_area,2025-07-10,10.38,2025-07-10,10.24,1.3671875000000056,1.3671875000000056,31.869594145043244,False,0.0964,4.3401,2,2,2,100.0,18.958944281524914,26.099706744868023,6.632812499999995,1.3671875000000056,历史2/2次成功; 当前距低点1.37%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
2,82.71657903517662,77.13559207888109,002658,雪迪龙,bottom_area,2025-07-10,8.16,2025-07-10,8.13,0.3690036900368925,1.7220172201721868,29.05759162303665,False,-0.8505,9.1418,3,3,3,100.0,22.83290587185592,34.81481481481481,7.630996309963107,0.3690036900368925,历史3/3次成功; 当前距低点0.37%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
3,82.07370048910299,76.3213552704964,002826,易明医药,bottom_area,2025-07-10,17.97,2025-07-10,17.93,0.22308979364193612,2.844394868934755,29.158435401027262,False,-2.337,6.7826,1,1,1,100.0,50.0,50.0,7.776910206358065,0.22308979364193612,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
4,81.94553291689107,78.64622775263422,000999,华润三九,bottom_area,2025-07-10,31.16,2025-06-23,30.59,1.8633540372670818,4.347826086956528,29.645814167433297,False,0.0964,0.3425,1,1,1,100.0,20.293951384963254,20.293951384963254,6.136645962732919,1.8633540372670818,历史1/1次成功; 当前距低点1.86%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
5,81.48586378464212,78.85778388464271,301348,蓝箭电子,bottom_area,2025-07-10,20.5,2025-07-07,20.04,2.295409181636731,5.289421157684642,29.036827195467417,False,0.3426,7.3435,1,1,1,100.0,26.727509778357234,26.727509778357234,5.70459081836327,2.295409181636731,历史1/1次成功; 当前距低点2.30%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
6,80.07511982386636,77.71305205738531,301108,洁雅股份,bottom_area,2025-07-10,24.32,2025-07-10,23.74,2.443133951137329,2.9486099410278133,30.605086232095886,False,2.4431,3.7738,1,1,1,100.0,22.383857343969968,22.383857343969968,5.5568660488626715,2.443133951137329,历史1/1次成功; 当前距低点2.44%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
7,79.58012403422971,78.49047360596653,300346,南大光电,confirmed_rebound,2025-07-10,30.83,2025-06-13,29.85,3.283082077051916,8.576214405360117,27.513355998057303,True,-0.4521,1.609,3,3,3,100.0,27.020971729273548,46.69811320754715,4.716917922948085,3.283082077051916,历史3/3次成功; 当前距低点3.28%; 最新日涨幅-0.45%; 状态confirmed_rebound; 底部已确认
8,79.1171337606927,77.91219104477356,000637,茂化实华,bottom_area,2025-07-10,4.19,2025-07-07,4.06,3.2019704433497735,4.187192118226622,27.370304114490168,False,0.2392,4.9398,2,2,2,100.0,16.089697073177668,22.627737226277358,4.798029556650227,3.2019704433497735,历史2/2次成功; 当前距低点3.20%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
9,78.96621394268595,78.59761821588044,605198,安德利,bottom_area,2025-07-10,40.6,2025-06-20,39.13,3.756708407871195,6.95118834653718,29.748653500897664,False,0.5946,1.4203,1,1,1,100.0,43.241469816272954,43.241469816272954,4.243291592128805,3.756708407871195,历史1/1次成功; 当前距低点3.76%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
10,78.28806822188206,74.50932202027576,301397,溯联股份,bottom_area,2025-07-10,26.99,2025-07-10,26.61,1.428034573468617,2.630590003757983,28.602092836061182,False,-1.063,3.2418,1,1,1,100.0,15.18946692357096,15.18946692357096,6.571965426531383,1.428034573468617,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
11,76.63904949028,71.94243044606519,600241,时代万恒,bottom_area,2025-07-10,8.48,2025-07-04,8.42,0.7125890736342102,4.2755344418052195,28.03418803418803,False,-1.1655,3.9868,2,2,2,100.0,15.79104050511391,22.50673854447439,7.287410926365789,0.7125890736342102,历史2/2次成功; 当前距低点0.71%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
