rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.92911203660802,85.98492411467116,002826,易明医药,bottom_area,2025-07-11,17.98,2025-07-11,17.79,1.0680157391793215,2.19224283305228,29.71157645199526,False,0.0556,5.8774,1,1,1,100.0,50.0,50.0,13.931984260820679,1.0680157391793215,历史1/1次成功; 当前距低点1.07%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
2,93.57944837532659,81.94391216728118,605133,嵘泰股份,bottom_area,2025-07-11,29.54,2025-07-11,29.43,0.3737682636765186,3.8056405028882128,32.884834663626,False,-0.371,2.272,3,3,3,100.0,48.742493593890515,60.01483679525222,14.626231736323481,0.3737682636765186,历史3/3次成功; 当前距低点0.37%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
3,88.65791241870559,78.55055490449156,603928,兴业股份,bottom_area,2025-07-11,16.13,2025-07-11,15.97,1.0018785222291695,1.7532874139010606,28.353521758636152,False,-0.7385,4.4072,1,1,1,100.0,31.69267707082834,31.69267707082834,13.99812147777083,1.0018785222291695,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
4,86.53616075087503,78.19902278369013,000999,华润三九,bottom_area,2025-07-11,31.22,2025-06-23,30.59,2.0594965675057177,4.347826086956528,29.645814167433297,False,0.1926,0.7529,1,1,1,100.0,20.293951384963254,20.293951384963254,12.940503432494282,2.0594965675057177,历史1/1次成功; 当前距低点2.06%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
5,85.78574985592127,76.31822476168185,301108,洁雅股份,bottom_area,2025-07-11,24.03,2025-07-10,23.74,1.221566975568672,3.833192923336142,30.605086232095886,False,-1.1924,2.9524,1,1,1,100.0,22.383857343969968,22.383857343969968,13.778433024431328,1.221566975568672,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
6,85.45505478969191,77.23272675533775,301397,溯联股份,bottom_area,2025-07-11,27.16,2025-07-10,26.61,2.066892145809849,5.5618188650883145,28.602092836061182,False,0.6299,3.9192,1,1,1,100.0,15.18946692357096,15.18946692357096,12.933107854190151,2.066892145809849,历史1/1次成功; 当前距低点2.07%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
7,82.4787704759686,74.79155633973254,301348,蓝箭电子,bottom_area,2025-07-11,20.49,2025-07-07,20.04,2.2455089820359246,5.289421157684642,29.036827195467417,False,-0.0488,6.3529,1,1,1,100.0,26.727509778357234,26.727509778357234,12.754491017964076,2.2455089820359246,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
8,81.26951770880784,76.27547335932388,002041,登海种业,bottom_area,2025-07-11,9.92,2025-06-23,9.53,4.092339979013648,4.931794333683113,29.719764011799416,False,0.1009,1.11,2,2,2,100.0,18.2043468358871,21.395106715252467,10.90766002098635,4.092339979013648,历史2/2次成功; 当前距低点4.09%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
9,80.41993247124573,74.39073673876524,002371,北方华创,bottom_area,2025-07-11,330.83,2025-07-03,320.22,3.313347073886689,6.648554119043146,28.602006688963204,False,0.3032,0.5178,1,1,1,100.0,15.189075630252091,15.189075630252091,11.686652926113311,3.313347073886689,历史1/1次成功; 当前距低点3.31%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
10,78.1793875164936,68.61086278066122,002658,雪迪龙,bottom_area,2025-07-11,8.16,2025-07-11,8.12,0.4926108374384351,1.2315270935960767,29.144851657940674,False,0.0,7.8643,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,14.507389162561566,0.4926108374384351,历史2/3次成功; 当前距低点0.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,74.89046997445159,70.54513443693706,300346,南大光电,bottom_area,2025-07-11,31.13,2025-06-13,29.85,4.288107202680059,8.576214405360117,27.513355998057303,True,0.9731,1.9094,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,10.71189279731994,4.288107202680059,历史2/3次成功; 当前距低点4.29%; 最新日涨幅0.97%; 状态bottom_area; 底部已确认
