rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.67727808370769,83.26562306084277,002636,金安国纪,bottom_area,2025-07-22,12.06,2025-07-16,11.92,1.1744966442953066,5.956375838926182,28.192771084337352,False,-2.269,5.5198,2,2,2,100.0,42.49180327868853,69.0,13.825503355704694,1.1744966442953066,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
2,83.74609884341491,76.28016631747346,002371,北方华创,bottom_area,2025-07-22,322.14,2025-07-17,314.33,2.4846498902427396,5.090191836604842,29.91527313266444,False,0.653,0.9855,1,1,1,100.0,15.189075630252091,15.189075630252091,12.515350109757259,2.4846498902427396,历史1/1次成功; 当前距低点2.48%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
3,82.5522441677905,72.39383018323609,603928,兴业股份,bottom_area,2025-07-22,15.55,2025-07-22,15.48,0.45219638242894233,2.1317829457364343,30.55181695827725,False,-1.5199,3.5639,1,1,1,100.0,31.69267707082834,31.69267707082834,14.547803617571056,0.45219638242894233,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
4,78.88000253319812,68.97671139349805,300879,大叶股份,bottom_area,2025-07-22,33.46,2025-07-22,33.36,0.299760191846527,3.4172661870503616,27.745289148797923,False,-3.0145,6.1281,1,1,1,100.0,21.667551779075957,21.667551779075957,14.700239808153473,0.299760191846527,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
5,78.81072619195713,74.84000641283909,002041,登海种业,bottom_area,2025-07-22,9.98,2025-06-23,9.53,4.721930745015751,4.931794333683113,29.719764011799416,False,0.5035,1.1089,2,2,2,100.0,18.2043468358871,21.395106715252467,10.27806925498425,4.721930745015751,历史2/2次成功; 当前距低点4.72%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
6,78.75743600106853,70.10687263287801,002658,雪迪龙,bottom_area,2025-07-22,8.08,2025-07-17,7.98,1.253132832080196,2.1303258145363397,30.36649214659686,False,-0.2469,3.8607,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,13.746867167919804,1.253132832080196,历史2/3次成功; 当前距低点1.25%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
7,78.06004965887843,73.37593728501935,000999,华润三九,bottom_area,2025-07-22,31.69,2025-07-15,30.42,4.174884944115711,5.0295857988165595,30.036798528058867,False,0.5393,0.6527,1,1,1,100.0,20.293951384963254,20.293951384963254,10.825115055884288,4.174884944115711,历史1/1次成功; 当前距低点4.17%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
8,60.717295778022894,55.64978278103694,600241,时代万恒,bottom_area,2025-07-22,8.39,2025-07-15,8.16,2.8186274509803972,4.534313725490186,30.25641025641025,False,-1.1779,2.8524,1,2,1,50.0,22.50673854447439,22.50673854447439,12.181372549019603,2.8186274509803972,历史1/2次成功; 当前距低点2.82%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
9,60.31527221056038,53.32080649478098,603022,新通联,bottom_area,2025-07-22,10.28,2025-07-15,10.19,0.8832188420019614,2.2571148184494643,32.202262142381905,False,-0.7722,3.2822,1,2,1,50.0,26.099706744868023,26.099706744868023,14.116781157998037,0.8832188420019614,历史1/2次成功; 当前距低点0.88%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
10,57.61468866503117,53.67511380389052,000637,茂化实华,bottom_area,2025-07-22,4.21,2025-07-07,4.06,3.694581280788187,5.665024630541883,27.370304114490168,False,-0.4728,3.0189,1,2,1,50.0,22.627737226277358,22.627737226277358,11.305418719211813,3.694581280788187,历史1/2次成功; 当前距低点3.69%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
11,55.202936451804334,52.33452507733658,300640,德艺文创,bottom_area,2025-07-22,6.55,2025-06-23,6.26,4.632587859424921,7.348242811501597,27.880184331797235,True,-0.9077,5.1245,1,2,1,50.0,17.724867724867735,17.724867724867735,10.367412140575079,4.632587859424921,历史1/2次成功; 当前距低点4.63%; 最新日涨幅-0.91%; 状态bottom_area; 底部已确认
12,53.884432734231446,51.40187302024515,002811,郑中设计,bottom_area,2025-07-22,10.57,2025-06-23,10.07,4.965243296921549,9.632571996027794,31.728813559322035,True,-0.377,2.6002,1,2,1,50.0,16.78832116788322,16.78832116788322,10.03475670307845,4.965243296921549,历史1/2次成功; 当前距低点4.97%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
