rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.33386815152717,86.55841114248388,002636,金安国纪,bottom_area,2025-08-08,11.94,2025-07-25,11.67,2.3136246786632357,7.112253641816624,29.698795180722897,True,0.4205,2.0029,2,2,2,100.0,42.49180327868853,69.0,12.686375321336762,2.3136246786632357,历史2/2次成功; 当前距低点2.31%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
2,88.84608522322782,80.12915912655326,600620,天宸股份,bottom_area,2025-08-08,6.26,2025-08-04,6.14,1.9543973941368098,3.094462540716619,27.078384798099762,False,0.0,1.0889,1,1,1,100.0,29.38271604938273,29.38271604938273,13.045602605863191,1.9543973941368098,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,87.13847678555743,79.38219070583399,605033,美邦股份,bottom_area,2025-08-08,21.38,2025-08-08,20.86,2.4928092042185983,2.540747842761271,32.926045016077175,False,1.1832,3.2482,1,1,1,100.0,31.96664350243223,31.96664350243223,12.507190795781401,2.4928092042185983,历史1/1次成功; 当前距低点2.49%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
4,85.88105369040031,75.80849121255665,603839,安正时尚,bottom_area,2025-08-08,7.53,2025-08-08,7.47,0.8032128514056291,1.2048192771084318,28.03468208092486,False,0.0,2.8324,1,1,1,100.0,31.88073394495412,31.88073394495412,14.19678714859437,0.8032128514056291,历史1/1次成功; 当前距低点0.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,83.40182252973659,76.67615639299645,001226,拓山重工,bottom_area,2025-08-08,36.59,2025-08-08,35.53,2.9833943146636708,3.405572755417959,31.699346405228763,False,2.5217,5.8579,3,4,3,75.0,27.598362529191544,41.451766953199616,12.016605685336328,2.9833943146636708,历史3/4次成功; 当前距低点2.98%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
6,83.20673694917203,73.15960736825399,001331,胜通能源,bottom_area,2025-08-08,11.88,2025-08-08,11.81,0.5927180355630844,2.4555461473327616,30.242173656231536,False,-0.8347,21.4628,2,2,2,100.0,20.865615534074305,23.35390946502057,14.407281964436915,0.5927180355630844,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
7,80.85452793253661,73.41318620488,300963,中洲特材,bottom_area,2025-08-08,19.45,2025-08-01,19.01,2.31457127827458,6.049447659126767,27.93783169067475,False,-0.2564,4.004,1,1,1,100.0,20.163487738419626,20.163487738419626,12.685428721725419,2.31457127827458,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
8,80.50270439786313,71.06470122427446,002987,京北方,bottom_area,2025-08-08,20.01,2025-08-08,19.85,0.8060453400503785,2.367758186397979,28.339350180505406,False,-0.2493,3.6987,1,1,1,100.0,28.88432580424366,28.88432580424366,14.19395465994962,0.8060453400503785,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
9,80.26569694378904,75.31078935602527,000999,华润三九,bottom_area,2025-08-08,31.66,2025-07-15,30.42,4.0762656147271485,7.133464825772523,30.036798528058867,True,0.0948,0.5418,1,1,1,100.0,20.293951384963254,20.293951384963254,10.923734385272851,4.0762656147271485,历史1/1次成功; 当前距低点4.08%; 最新日涨幅0.09%; 状态bottom_area; 底部已确认
10,79.1604550636913,72.34842777334399,603511,爱慕股份,bottom_area,2025-08-08,15.4,2025-08-04,15.0,2.6666666666666687,4.066666666666663,29.906542056074763,False,-0.8371,1.0929,1,1,1,100.0,18.754988028731056,18.754988028731056,12.33333333333333,2.6666666666666687,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
11,78.73019234417906,71.62554415244125,002658,雪迪龙,bottom_area,2025-08-08,8.04,2025-08-01,7.85,2.4203821656050897,2.5477707006369563,31.50087260034905,False,0.2494,3.1451,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,12.57961783439491,2.4203821656050897,历史2/3次成功; 当前距低点2.42%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
12,77.94821372616263,72.54118714152327,603928,兴业股份,bottom_area,2025-08-08,15.67,2025-08-01,15.12,3.637566137566142,4.828042328042331,32.16689098250337,False,-0.3814,2.5782,1,1,1,100.0,31.69267707082834,31.69267707082834,11.362433862433857,3.637566137566142,历史1/1次成功; 当前距低点3.64%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
13,77.4451390929216,69.12312217570845,300651,金陵体育,bottom_area,2025-08-08,21.06,2025-08-08,20.77,1.3962445835339392,2.1184400577756444,30.651085141903174,False,-0.4255,8.5198,3,5,3,60.0,22.508386162181807,25.720461095100855,13.60375541646606,1.3962445835339392,历史3/5次成功; 当前距低点1.40%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
14,77.13541766873307,73.13558001922789,002287,奇正藏药,bottom_area,2025-08-08,29.1,2025-08-08,27.81,4.638619201726008,5.861201006832085,27.122641509433958,False,2.0337,3.7691,1,1,1,100.0,24.686192468619257,24.686192468619257,10.361380798273991,4.638619201726008,历史1/1次成功; 当前距低点4.64%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
15,71.84080612274121,68.22010777952462,000607,华媒控股,bottom_area,2025-08-08,4.88,2025-07-31,4.66,4.72103004291845,10.515021459227473,29.924812030075188,True,3.8298,14.2807,2,4,2,50.0,48.408904717089726,59.82721382289418,10.278969957081548,4.72103004291845,历史2/4次成功; 当前距低点4.72%; 最新日涨幅3.83%; 状态bottom_area; 底部已确认
