rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.5324840831975,85.46087362902203,603221,爱丽家居,bottom_area,2025-08-28,12.31,2025-08-28,11.98,2.754590984974959,2.754590984974959,31.931818181818183,False,0.7365,3.106,4,4,4,100.0,17.856672444972688,20.699708454810505,5.245409015025042,2.754590984974959,历史4/4次成功; 当前距低点2.75%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
2,81.14274112055065,82.42296419701364,300510,金冠股份,bottom_area,2025-08-28,4.79,2025-08-28,4.57,4.814004376367609,5.68927789934354,27.8041074249605,False,0.2092,11.2847,4,4,4,100.0,26.76824825339677,40.000000000000014,3.185995623632391,4.814004376367609,历史4/4次成功; 当前距低点4.81%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,78.89068015181287,77.74713484998352,600658,电子城,bottom_area,2025-08-28,6.69,2025-08-28,6.48,3.24074074074074,7.098765432098765,27.191011235955052,False,1.2103,7.3,1,1,1,100.0,32.344213649851625,32.344213649851625,4.75925925925926,3.24074074074074,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
4,78.57165840194777,78.95839338998033,002795,永和智控,bottom_area,2025-08-28,4.9,2025-08-28,4.7,4.255319148936174,5.957446808510643,31.884057971014496,False,-0.4065,5.3578,6,6,6,100.0,23.766242201907538,32.328767123287676,3.7446808510638268,4.255319148936174,历史6/6次成功; 当前距低点4.26%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
5,77.92187291915552,74.5508767529358,603511,爱慕股份,bottom_area,2025-08-28,14.95,2025-08-28,14.7,1.7006802721088436,3.8095238095238133,31.308411214953267,False,-1.9029,1.0984,1,1,1,100.0,18.754988028731056,18.754988028731056,6.299319727891156,1.7006802721088436,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
6,77.45104425694589,78.04783344588463,300665,飞鹿股份,bottom_area,2025-08-28,9.73,2025-08-28,9.32,4.399141630901289,6.115879828326183,27.470817120622566,False,-0.6129,17.2675,5,5,5,100.0,20.633743894298735,23.50486787204451,3.6008583690987113,4.399141630901289,历史5/5次成功; 当前距低点4.40%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
7,77.19192520144358,77.05740813081641,603367,辰欣药业,bottom_area,2025-08-28,26.58,2025-08-28,25.58,3.909304143862393,4.808444096950745,27.039361095265267,False,0.2262,3.5593,2,2,2,100.0,20.164632144207957,31.216931216931226,4.090695856137607,3.909304143862393,历史2/2次成功; 当前距低点3.91%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
8,75.84822440072293,75.56443257676902,002097,山河智能,bottom_area,2025-08-28,15.55,2025-08-28,14.98,3.8050734312416576,5.140186915887847,28.59866539561487,False,-0.7658,9.7283,1,1,1,100.0,50.210970464135016,50.210970464135016,4.194926568758342,3.8050734312416576,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
9,75.77589857826807,74.51914329672333,300902,国安达,bottom_area,2025-08-28,24.05,2025-08-28,23.32,3.1303602058319058,5.0600343053173225,29.37613567534828,False,-1.4748,10.8895,2,2,2,100.0,19.4428202474198,26.906779661016937,4.869639794168094,3.1303602058319058,历史2/2次成功; 当前距低点3.13%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
10,75.73924481277687,74.02414975826836,002596,海南瑞泽,bottom_area,2025-08-28,3.66,2025-08-28,3.56,2.8089887640449462,4.494382022471914,27.93522267206478,False,-0.5435,3.3089,2,2,2,100.0,12.842172797262624,14.970059880239523,5.191011235955053,2.8089887640449462,历史2/2次成功; 当前距低点2.81%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
11,75.23463522674376,74.76245132364706,002041,登海种业,bottom_area,2025-08-28,9.88,2025-06-23,9.53,3.672612801678924,7.345225603357829,29.719764011799416,True,-1.2987,2.7387,2,2,2,100.0,18.2043468358871,21.395106715252467,4.327387198321076,3.672612801678924,历史2/2次成功; 当前距低点3.67%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
12,74.29732753194413,73.48929359291307,603080,新疆火炬,bottom_area,2025-08-28,21.1,2025-08-28,20.4,3.431372549019622,4.852941176470598,29.655172413793107,False,-0.3307,4.6714,2,2,2,100.0,17.595822605794677,22.385321100917427,4.568627450980378,3.431372549019622,历史2/2次成功; 当前距低点3.43%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
13,71.88881496662036,72.10385327330857,605169,洪通燃气,bottom_area,2025-08-28,15.29,2025-08-28,14.68,4.155313351498633,4.2915531335149915,29.626078619367206,False,0.791,2.9272,3,4,3,75.0,17.381546853362593,26.09375,3.844686648501367,4.155313351498633,历史3/4次成功; 当前距低点4.16%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
14,70.61519828294249,71.32225464018235,603262,技源集团,bottom_area,2025-08-28,31.23,2025-08-04,29.88,4.518072289156631,6.325301204819279,28.823249166269648,False,1.6602,14.1559,1,1,1,100.0,13.459459459459449,13.459459459459449,3.481927710843369,4.518072289156631,历史1/1次成功; 当前距低点4.52%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
