rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.83391629595157,85.38688923987607,300665,飞鹿股份,bottom_area,2025-09-02,9.43,2025-08-28,9.32,1.1802575107296076,6.115879828326183,27.470817120622566,False,-1.3598,8.808,5,5,5,100.0,20.633743894298735,23.50486787204451,8.819742489270393,1.1802575107296076,历史5/5次成功; 当前距低点1.18%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
2,90.55814002173766,85.16556084179847,300510,金冠股份,bottom_area,2025-09-02,4.58,2025-09-02,4.5,1.7777777777777795,3.555555555555559,28.90995260663507,False,-1.9272,6.0616,4,4,4,100.0,26.76824825339677,40.000000000000014,8.222222222222221,1.7777777777777795,历史4/4次成功; 当前距低点1.78%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
3,86.1073296671595,83.71451793981105,603221,爱丽家居,bottom_area,2025-09-02,12.35,2025-09-02,11.93,3.5205364626990776,5.616093880972338,32.2159090909091,False,1.0638,3.8379,4,4,4,100.0,17.856672444972688,20.699708454810505,6.479463537300923,3.5205364626990776,历史4/4次成功; 当前距低点3.52%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
4,85.08633003238684,79.86086596319042,002826,易明医药,bottom_area,2025-09-02,19.44,2025-09-02,19.12,1.673640167364018,5.1255230125523035,28.73648900484531,False,-2.3116,5.1727,2,2,2,100.0,30.305191100969765,50.0,8.326359832635982,1.673640167364018,历史2/2次成功; 当前距低点1.67%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
5,84.80677043687189,79.24813357918498,002148,北纬科技,bottom_area,2025-09-02,10.55,2025-09-02,10.4,1.4423076923076956,5.86538461538461,27.72758860319666,False,-4.0909,10.4955,3,3,3,100.0,17.72362966476626,19.756097560975626,8.557692307692305,1.4423076923076956,历史3/3次成功; 当前距低点1.44%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
6,83.45062962034835,76.70826086956524,301259,艾布鲁,bottom_area,2025-09-02,45.11,2025-09-02,44.85,0.5797101449275318,6.6666666666666705,27.591217307071354,False,-3.1974,8.8987,2,2,2,100.0,52.009763002213916,74.57627118644068,9.420289855072468,0.5797101449275318,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
7,83.10466835957881,76.71356475300402,002097,山河智能,bottom_area,2025-09-02,15.1,2025-08-28,14.98,0.8010680907877117,7.009345794392528,28.59866539561487,True,-2.4548,6.3952,1,1,1,100.0,50.210970464135016,50.210970464135016,9.19893190921229,0.8010680907877117,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-2.45%; 状态bottom_area; 底部已确认
8,81.49379287455918,75.75900628574068,603511,爱慕股份,bottom_area,2025-09-02,14.69,2025-09-02,14.52,1.1707988980716248,2.4793388429752152,32.14953271028037,False,-1.0774,0.8138,1,1,1,100.0,18.754988028731056,18.754988028731056,8.829201101928376,1.1707988980716248,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
9,81.14106278932074,77.39414072553585,002041,登海种业,bottom_area,2025-09-02,9.77,2025-06-23,9.53,2.518363064008397,7.345225603357829,29.719764011799416,True,-0.1022,1.28,2,2,2,100.0,18.2043468358871,21.395106715252467,7.481636935991603,2.518363064008397,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
10,80.8819986895684,75.65303866424556,600658,电子城,bottom_area,2025-09-02,6.12,2025-09-02,6.03,1.4925373134328335,6.633499170812594,32.247191011235955,False,-4.6729,6.591,1,1,1,100.0,32.344213649851625,32.344213649851625,8.507462686567168,1.4925373134328335,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
11,80.83870485732896,76.98240986191612,603280,南方路机,bottom_area,2025-09-02,42.92,2025-09-01,41.9,2.4343675417661172,3.747016706443915,29.46127946127946,False,0.0,17.816,1,1,1,100.0,18.348214285714302,18.348214285714302,7.565632458233884,2.4343675417661172,历史1/1次成功; 当前距低点2.43%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,79.81623887399047,76.04652273825208,300902,国安达,bottom_area,2025-09-02,23.32,2025-09-02,22.76,2.460456942003509,4.086115992970122,31.072077528770443,False,-1.2283,8.0336,2,2,2,100.0,19.4428202474198,26.906779661016937,7.539543057996491,2.460456942003509,历史2/2次成功; 当前距低点2.46%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
13,78.46371831075476,77.9881806240229,002795,永和智控,bottom_area,2025-09-02,4.92,2025-08-28,4.7,4.680851063829781,5.957446808510643,31.884057971014496,False,-0.6061,4.2988,6,6,6,100.0,23.766242201907538,32.328767123287676,5.31914893617022,4.680851063829781,历史6/6次成功; 当前距低点4.68%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
14,77.35683917962892,71.66817758390636,688115,思林杰,bottom_area,2025-09-02,56.0,2025-09-02,55.45,0.9918845807033313,5.320108205590614,27.144921823676256,False,-3.4483,3.6324,6,7,6,85.71428571428571,25.574286478778507,53.58819584171696,9.008115419296669,0.9918845807033313,历史6/7次成功; 当前距低点0.99%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
15,76.92166936381491,71.07546232210905,002596,海南瑞泽,bottom_area,2025-09-02,3.55,2025-09-02,3.52,0.8522727272727216,2.8409090909090935,28.744939271255067,False,-1.3889,2.8778,2,2,2,100.0,12.842172797262624,14.970059880239523,9.14772727272728,0.8522727272727216,历史2/2次成功; 当前距低点0.85%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
