rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.30939006010946,84.6843191095862,002041,登海种业,bottom_area,2025-09-05,9.64,2025-06-23,9.53,1.154249737670527,7.345225603357829,29.719764011799416,True,0.0,0.8264,2,2,2,100.0,18.2043468358871,21.395106715252467,13.845750262329473,1.154249737670527,历史2/2次成功; 当前距低点1.15%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,88.79074743587212,82.32741133135082,002695,煌上煌,bottom_area,2025-09-05,12.33,2025-09-05,11.92,3.439597315436243,3.8590604026845705,27.669902912621364,False,1.398,2.1573,3,3,3,100.0,26.073619411534626,30.57176196032671,11.560402684563757,3.439597315436243,历史3/3次成功; 当前距低点3.44%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
3,88.42859881527502,82.75894375707841,603221,爱丽家居,bottom_area,2025-09-05,12.4,2025-09-02,11.93,3.9396479463537353,5.616093880972338,32.2159090909091,False,0.895,2.2774,4,4,4,100.0,17.856672444972688,20.699708454810505,11.060352053646264,3.9396479463537353,历史4/4次成功; 当前距低点3.94%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
4,85.11714337793791,79.57223880597016,301009,可靠股份,bottom_area,2025-09-05,13.92,2025-09-05,13.4,3.88059701492537,4.1791044776119435,27.762803234501348,False,0.578,4.132,1,1,1,100.0,53.96648044692738,53.96648044692738,11.119402985074629,3.88059701492537,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
5,84.23531825988242,79.86239679374911,688448,磁谷科技,bottom_area,2025-09-05,46.05,2025-09-04,44.01,4.635310156782547,8.588957055214728,31.08362041966803,False,2.5156,7.1019,2,2,2,100.0,44.14464489899632,63.23529411764706,10.364689843217452,4.635310156782547,历史2/2次成功; 当前距低点4.64%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
6,84.14867317519693,79.32938158000903,300730,科创信息,bottom_area,2025-09-05,18.79,2025-09-05,18.01,4.330927262631858,4.83064963908938,29.81293842556508,False,0.913,8.0633,3,3,3,100.0,20.881159886073412,24.329896907216508,10.669072737368142,4.330927262631858,历史3/3次成功; 当前距低点4.33%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
7,83.34578262586815,76.87763176914271,300510,金冠股份,bottom_area,2025-09-05,4.57,2025-09-03,4.43,3.160270880361187,3.6117381489842018,30.01579778830964,False,1.1062,4.569,3,4,3,75.0,30.849727829925854,40.000000000000014,11.839729119638811,3.160270880361187,历史3/4次成功; 当前距低点3.16%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
8,82.6622913247096,76.7771356199402,300645,正元智慧,bottom_area,2025-09-05,18.76,2025-09-05,18.12,3.532008830022078,3.6975717439293496,27.3164861612515,False,1.9011,5.6974,1,1,1,100.0,30.699547055863096,30.699547055863096,11.467991169977921,3.532008830022078,历史1/1次成功; 当前距低点3.53%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
9,81.2486769929214,76.7174784899643,002212,天融信,bottom_area,2025-09-05,9.93,2025-09-04,9.51,4.416403785488958,6.729758149316516,30.17621145374449,False,2.5826,7.4281,2,2,2,100.0,24.553113553113555,30.95238095238096,10.583596214511042,4.416403785488958,历史2/2次成功; 当前距低点4.42%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
10,81.21046338319762,76.1838772629319,688084,晶品特装,bottom_area,2025-09-05,74.72,2025-09-04,71.8,4.066852367688025,8.077994428969355,28.343313373253498,False,2.2161,4.0821,2,2,2,100.0,17.39946592075591,19.66039279869067,10.933147632311973,4.066852367688025,历史2/2次成功; 当前距低点4.07%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
11,80.7493766734996,74.83031230862403,000561,烽火电子,bottom_area,2025-09-05,11.22,2025-09-04,10.85,3.4101382488479355,6.267281105990781,32.60869565217392,False,1.1722,3.4918,3,4,3,75.0,22.905524279555433,31.050955414012744,11.589861751152064,3.4101382488479355,历史3/4次成功; 当前距低点3.41%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
12,80.19784045237665,75.23264478296257,300665,飞鹿股份,bottom_area,2025-09-05,9.47,2025-09-03,9.1,4.065934065934077,5.27472527472528,29.18287937743191,False,0.0,7.2218,4,5,4,80.0,22.274056200496023,23.50486787204451,10.934065934065924,4.065934065934077,历史4/5次成功; 当前距低点4.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,80.16272601573294,74.65304059222525,688552,航天南湖,bottom_area,2025-09-05,33.86,2025-09-04,32.66,3.674219228413971,9.920391916717705,28.860814637333913,False,2.8242,8.2034,1,1,1,100.0,21.02290555381236,21.02290555381236,11.325780771586027,3.674219228413971,历史1/1次成功; 当前距低点3.67%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
14,78.7299531262872,74.2781535578725,000026,飞亚达,bottom_area,2025-09-05,16.71,2025-09-04,16.01,4.372267332916922,6.058713304184877,30.602514087559594,False,3.0845,2.2894,1,1,1,100.0,27.564102564102562,27.564102564102562,10.627732667083077,4.372267332916922,历史1/1次成功; 当前距低点4.37%; 最新日涨幅3.08%; 状态bottom_area; 底部未确认
15,78.00358480722616,74.163885860366,603109,神驰机电,bottom_area,2025-09-05,31.3,2025-09-04,29.87,4.787412119183125,7.499163039839297,27.79792119893642,False,2.5893,2.4446,4,5,4,80.0,25.37196501130927,33.71428571428571,10.212587880816875,4.787412119183125,历史4/5次成功; 当前距低点4.79%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
16,77.74473173144158,73.13618072955221,301323,新莱福,bottom_area,2025-09-05,49.68,2025-09-04,47.67,4.216488357457516,6.775749947556108,27.71796815769522,False,2.3697,2.5809,1,1,1,100.0,19.514914970727627,19.514914970727627,10.783511642542484,4.216488357457516,历史1/1次成功; 当前距低点4.22%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
17,76.99505731222412,72.47720789792066,688115,思林杰,bottom_area,2025-09-05,53.71,2025-09-05,51.52,4.250776397515523,4.289596273291913,32.30850085402706,False,2.5979,2.8361,5,7,5,71.42857142857143,28.297117196461112,53.58819584171696,10.749223602484475,4.250776397515523,历史5/7次成功; 当前距低点4.25%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
18,76.56636982614175,69.79873567309889,688011,新光光电,bottom_area,2025-09-05,34.86,2025-09-04,34.0,2.529411764705881,14.705882352941178,29.387331256490135,False,0.548,3.783,3,5,3,60.0,17.558034928109123,19.069767441860456,12.470588235294118,2.529411764705881,历史3/5次成功; 当前距低点2.53%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
