rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.88476491958197,75.14645950676889,688448,磁谷科技,bottom_area,2025-09-09,43.54,2025-09-09,43.2,0.7870370370370284,8.611111111111109,32.35202004384591,False,-6.4662,6.9822,2,2,2,100.0,44.14464489899632,63.23529411764706,19.212962962962973,0.7870370370370284,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-6.47%; 状态bottom_area; 底部未确认
2,86.285665167945,71.9047209732875,688347,华虹公司,bottom_area,2025-09-09,67.3,2025-09-09,67.3,0.0,4.739970282317977,28.34327086882454,False,-3.9258,5.0482,1,1,1,100.0,45.99312351229833,45.99312351229833,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
3,84.88582239879737,75.73253731343283,301009,可靠股份,bottom_area,2025-09-09,13.9,2025-09-05,13.4,3.731343283582089,5.522388059701494,27.762803234501348,False,-1.2784,3.5135,1,1,1,100.0,53.96648044692738,53.96648044692738,16.26865671641791,3.731343283582089,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
4,84.00711160613064,70.21199141463241,300192,科德教育,bottom_area,2025-09-09,18.74,2025-09-09,18.71,0.16034206306786522,5.184393372528054,32.649388048956084,False,-4.0451,9.4272,1,1,1,100.0,26.599845797995382,26.599845797995382,19.839657936932138,0.16034206306786522,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-4.05%; 状态bottom_area; 底部未确认
5,82.32061792065726,69.57852634841703,300645,正元智慧,bottom_area,2025-09-09,18.26,2025-09-05,18.12,0.772626931567332,4.74613686534216,27.3164861612515,False,-3.3862,4.9642,1,1,1,100.0,30.699547055863096,30.699547055863096,19.22737306843267,0.772626931567332,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
6,79.71163322778227,67.51576563815297,688552,航天南湖,bottom_area,2025-09-09,32.95,2025-09-04,32.66,0.8879363135333934,9.920391916717705,28.860814637333913,False,-3.655,4.79,1,1,1,100.0,21.02290555381236,21.02290555381236,19.112063686466605,0.8879363135333934,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
7,78.6988288721047,70.63894102422171,300510,金冠股份,bottom_area,2025-09-09,4.61,2025-09-03,4.43,4.063205417607238,6.997742663656896,30.01579778830964,False,-0.8602,7.4772,3,4,3,75.0,30.849727829925854,40.000000000000014,15.936794582392762,4.063205417607238,历史3/4次成功; 当前距低点4.06%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
8,75.48404083209026,66.14580897657393,300665,飞鹿股份,bottom_area,2025-09-09,9.35,2025-09-03,9.1,2.7472527472527473,5.4945054945054945,29.18287937743191,False,-2.5026,5.9568,3,5,3,60.0,23.062071184463395,23.50486787204451,17.252747252747252,2.7472527472527473,历史3/5次成功; 当前距低点2.75%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
9,75.23123917529408,64.79406779661016,002826,易明医药,bottom_area,2025-09-09,19.22,2025-09-03,18.88,1.800847457627118,7.415254237288147,29.631010063361906,True,-2.387,3.7997,1,2,1,50.0,50.0,50.0,18.199152542372882,1.800847457627118,历史1/2次成功; 当前距低点1.80%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
10,73.88856509241393,65.98000307946441,001298,好上好,bottom_area,2025-09-09,32.12,2025-09-04,30.95,3.7802907915993478,8.562197092084013,27.364468434639754,True,-2.5781,6.7648,2,3,2,66.66666666666666,27.862362460453,34.86910994764398,16.219709208400655,3.7802907915993478,历史2/3次成功; 当前距低点3.78%; 最新日涨幅-2.58%; 状态bottom_area; 底部已确认
11,73.0699160476215,62.98147990064103,000561,烽火电子,bottom_area,2025-09-09,11.05,2025-09-04,10.85,1.8433179723502402,6.267281105990781,32.60869565217392,False,-3.0702,3.2015,2,4,2,50.0,26.85077891182564,31.050955414012744,18.15668202764976,1.8433179723502402,历史2/4次成功; 当前距低点1.84%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
