rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.88476491958197,75.14645950676889,688448,磁谷科技,bottom_area,2025-09-09,43.54,2025-09-09,43.2,0.7870370370370284,8.611111111111109,32.35202004384591,False,-6.4662,6.9822,2,2,2,100.0,44.14464489899632,63.23529411764706,19.212962962962973,0.7870370370370284,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-6.47%; 状态bottom_area; 底部未确认
2,86.285665167945,71.9047209732875,688347,华虹公司,bottom_area,2025-09-09,67.3,2025-09-09,67.3,0.0,4.739970282317977,28.34327086882454,False,-3.9258,5.0482,1,1,1,100.0,45.99312351229833,45.99312351229833,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
3,85.4604829006331,76.31333641279774,001298,好上好,bottom_area,2025-09-09,32.12,2025-09-04,30.95,3.7802907915993478,8.562197092084013,27.364468434639754,True,-2.5781,6.7648,2,2,2,100.0,27.862362460453,34.86910994764398,16.219709208400655,3.7802907915993478,历史2/2次成功; 当前距低点3.78%; 最新日涨幅-2.58%; 状态bottom_area; 底部已确认
4,84.88582239879737,75.73253731343283,301009,可靠股份,bottom_area,2025-09-09,13.9,2025-09-05,13.4,3.731343283582089,5.522388059701494,27.762803234501348,False,-1.2784,3.5135,1,1,1,100.0,53.96648044692738,53.96648044692738,16.26865671641791,3.731343283582089,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
5,84.00711160613064,70.21199141463241,300192,科德教育,bottom_area,2025-09-09,18.74,2025-09-09,18.71,0.16034206306786522,5.184393372528054,32.649388048956084,False,-4.0451,9.4272,1,1,1,100.0,26.599845797995382,26.599845797995382,19.839657936932138,0.16034206306786522,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-4.05%; 状态bottom_area; 底部未确认
6,81.13624044037903,68.8150666093683,688221,前沿生物,bottom_area,2025-09-09,14.7,2025-09-09,14.56,0.9615384615384532,6.593406593406587,28.90625,False,-3.9216,5.8357,1,1,1,100.0,28.910614525139668,28.910614525139668,19.038461538461547,0.9615384615384532,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
7,80.9795085289086,68.37192037470726,002256,兆新股份,bottom_area,2025-09-09,2.82,2025-09-09,2.8,0.714285714285715,4.642857142857156,29.82456140350878,False,-3.0928,10.3664,1,1,1,100.0,23.497267759562828,23.497267759562828,19.28571428571429,0.714285714285715,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
8,79.71163322778227,67.51576563815297,688552,航天南湖,bottom_area,2025-09-09,32.95,2025-09-04,32.66,0.8879363135333934,9.920391916717705,28.860814637333913,False,-3.655,4.79,1,1,1,100.0,21.02290555381236,21.02290555381236,19.112063686466605,0.8879363135333934,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
9,78.6150433540279,70.18997812800127,603221,爱丽家居,bottom_area,2025-09-09,12.38,2025-09-02,11.93,3.772003352891878,5.616093880972338,32.2159090909091,False,-1.3546,1.9964,1,1,1,100.0,20.699708454810505,20.699708454810505,16.22799664710812,3.772003352891878,历史1/1次成功; 当前距低点3.77%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
10,75.23123917529408,64.79406779661016,002826,易明医药,bottom_area,2025-09-09,19.22,2025-09-03,18.88,1.800847457627118,7.415254237288147,29.631010063361906,True,-2.387,3.7997,1,2,1,50.0,50.0,50.0,18.199152542372882,1.800847457627118,历史1/2次成功; 当前距低点1.80%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
11,69.32669418686297,60.74563591022445,001339,智微智能,bottom_area,2025-09-09,57.68,2025-09-04,56.14,2.7431421446384023,8.407552547203418,27.373868046571793,True,-3.3836,5.933,1,2,1,50.0,58.06629834254142,58.06629834254142,17.2568578553616,2.7431421446384023,历史1/2次成功; 当前距低点2.74%; 最新日涨幅-3.38%; 状态bottom_area; 底部已确认
12,63.70405019407104,56.56262393223568,300153,科泰电源,bottom_area,2025-09-09,35.8,2025-09-04,34.6,3.468208092485537,10.43352601156069,28.408855783157456,True,-2.4789,6.3369,1,2,1,50.0,26.1835396941005,26.1835396941005,16.531791907514464,3.468208092485537,历史1/2次成功; 当前距低点3.47%; 最新日涨幅-2.48%; 状态bottom_area; 底部已确认
13,63.432172154867175,55.907729966926624,300902,国安达,bottom_area,2025-09-09,22.87,2025-09-04,22.19,3.0644434429923373,4.551599819738612,32.798304058146584,False,-1.1241,4.0365,1,2,1,50.0,26.906779661016937,26.906779661016937,16.935556557007665,3.0644434429923373,历史1/2次成功; 当前距低点3.06%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
14,62.63163296460521,52.859726726514445,300870,欧陆通,bottom_area,2025-09-09,203.5,2025-09-09,202.1,0.6927263730826352,3.414151410192977,28.30791060659808,False,-2.1399,2.6381,1,2,1,50.0,21.28571428571428,21.28571428571428,19.307273626917365,0.6927263730826352,历史1/2次成功; 当前距低点0.69%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
15,62.47947533123568,56.42610055865922,688227,品高股份,bottom_area,2025-09-09,31.32,2025-09-04,30.0,4.400000000000001,7.999999999999995,31.818181818181817,True,-2.3691,2.3216,1,2,1,50.0,36.87150837988826,36.87150837988826,15.6,4.400000000000001,历史1/2次成功; 当前距低点4.40%; 最新日涨幅-2.37%; 状态bottom_area; 底部已确认
16,62.13828060456221,55.01886257012566,688682,霍莱沃,bottom_area,2025-09-09,28.98,2025-09-04,28.05,3.3155080213903734,7.522281639928696,27.687548337200308,True,-3.5607,2.5503,1,2,1,50.0,26.22699386503069,26.22699386503069,16.68449197860963,3.3155080213903734,历史1/2次成功; 当前距低点3.32%; 最新日涨幅-3.56%; 状态bottom_area; 底部已确认
