rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.6896548141504,83.90808903401081,688347,华虹公司,bottom_area,2025-09-10,68.3,2025-09-10,67.19,1.6520315523143319,3.4380116088703714,28.46039182282794,False,1.4859,4.7422,1,1,1,100.0,45.99312351229833,45.99312351229833,18.34796844768567,1.6520315523143319,历史1/1次成功; 当前距低点1.65%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
2,95.8200786337818,81.67869298299466,688221,前沿生物,bottom_area,2025-09-10,14.74,2025-09-09,14.56,1.2362637362637343,6.593406593406587,28.90625,False,0.2721,3.1443,1,1,1,100.0,28.910614525139668,28.910614525139668,18.763736263736266,1.2362637362637343,历史1/1次成功; 当前距低点1.24%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
3,90.83033802540903,78.96537313432835,301009,可靠股份,bottom_area,2025-09-10,13.71,2025-09-05,13.4,2.3134328358208993,5.522388059701494,27.762803234501348,False,-1.3669,3.4276,1,1,1,100.0,53.96648044692738,53.96648044692738,17.686567164179102,2.3134328358208993,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
4,90.46843805954958,78.70573272943733,300192,科德教育,bottom_area,2025-09-10,19.15,2025-09-09,18.71,2.3516835916622005,5.184393372528054,32.649388048956084,False,2.1878,7.3446,1,1,1,100.0,26.599845797995382,26.599845797995382,17.6483164083378,2.3516835916622005,历史1/1次成功; 当前距低点2.35%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
5,90.41505297198557,76.85006014860241,002256,兆新股份,bottom_area,2025-09-10,2.81,2025-09-10,2.78,1.079136690647491,2.517985611510802,30.32581453634086,False,-0.3546,6.6587,1,1,1,100.0,23.497267759562828,23.497267759562828,18.92086330935251,1.079136690647491,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
6,89.2508438845371,77.65487770183945,688552,航天南湖,bottom_area,2025-09-10,33.43,2025-09-04,32.66,2.3576240048989687,9.920391916717705,28.860814637333913,False,1.4568,4.3248,1,1,1,100.0,21.02290555381236,21.02290555381236,17.642375995101034,2.3576240048989687,历史1/1次成功; 当前距低点2.36%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
7,89.22390725777278,80.50868172899112,688448,磁谷科技,bottom_area,2025-09-10,45.08,2025-09-09,43.2,4.3518518518518405,8.611111111111109,32.35202004384591,False,3.537,6.4618,2,2,2,100.0,44.14464489899632,63.23529411764706,15.648148148148161,4.3518518518518405,历史2/2次成功; 当前距低点4.35%; 最新日涨幅3.54%; 状态bottom_area; 底部未确认
8,82.27640795678104,73.79663361836172,603221,爱丽家居,bottom_area,2025-09-10,12.41,2025-09-02,11.93,4.023470243084664,5.616093880972338,32.2159090909091,False,0.2423,1.4928,1,1,1,100.0,20.699708454810505,20.699708454810505,15.976529756915337,4.023470243084664,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
9,72.47332811523503,63.21421446384041,001339,智微智能,bottom_area,2025-09-10,57.54,2025-09-04,56.14,2.49376558603491,8.407552547203418,27.373868046571793,True,-0.2427,3.7197,1,2,1,50.0,58.06629834254142,58.06629834254142,17.506234413965093,2.49376558603491,历史1/2次成功; 当前距低点2.49%; 最新日涨幅-0.24%; 状态bottom_area; 底部已确认
10,67.02896151733246,58.06545867355124,300902,国安达,bottom_area,2025-09-10,22.66,2025-09-04,22.19,2.1180712032446998,4.551599819738612,32.798304058146584,False,-0.9182,3.7276,1,2,1,50.0,26.906779661016937,26.906779661016937,17.8819287967553,2.1180712032446998,历史1/2次成功; 当前距低点2.12%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
11,65.76729922676445,59.14806043108825,688682,霍莱沃,bottom_area,2025-09-10,29.22,2025-09-04,28.05,4.1711229946524,7.522281639928696,27.687548337200308,True,0.8282,1.8376,1,2,1,50.0,26.22699386503069,26.22699386503069,15.828877005347602,4.1711229946524,历史1/2次成功; 当前距低点4.17%; 最新日涨幅0.83%; 状态bottom_area; 底部已确认
12,63.6661675924983,57.026470912560946,300870,欧陆通,bottom_area,2025-09-10,210.08,2025-09-09,202.1,3.9485403265710137,6.704601682335483,28.30791060659808,False,3.2334,6.4949,1,2,1,50.0,21.28571428571428,21.28571428571428,16.051459673428987,3.9485403265710137,历史1/2次成功; 当前距低点3.95%; 最新日涨幅3.23%; 状态bottom_area; 底部未确认
13,61.57147633206949,55.08484922685146,603109,神驰机电,bottom_area,2025-09-10,31.03,2025-09-04,29.87,3.8834951456310685,8.77134248409776,27.79792119893642,True,-1.3355,2.3299,1,2,1,50.0,23.329129886506934,23.329129886506934,16.116504854368934,3.8834951456310685,历史1/2次成功; 当前距低点3.88%; 最新日涨幅-1.34%; 状态bottom_area; 底部已确认
