rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.73581571909241,76.75343283582092,301009,可靠股份,bottom_area,2025-09-12,13.84,2025-09-05,13.4,3.2835820895522354,5.522388059701494,27.762803234501348,False,-0.8596,2.5393,1,1,1,100.0,53.96648044692738,53.96648044692738,16.716417910447767,3.2835820895522354,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
2,84.19458752258689,73.72697714160323,300510,金冠股份,bottom_area,2025-09-12,4.55,2025-09-03,4.43,2.7088036117381518,6.997742663656896,30.01579778830964,False,-1.087,3.5166,3,4,3,75.0,30.849727829925854,40.000000000000014,17.29119638826185,2.7088036117381518,历史3/4次成功; 当前距低点2.71%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
3,83.47012914151725,73.60375813649651,300645,正元智慧,bottom_area,2025-09-12,18.68,2025-09-05,18.12,3.0905077262693084,5.242825607064013,27.3164861612515,False,-0.4264,5.3624,1,1,1,100.0,30.699547055863096,30.699547055863096,16.90949227373069,3.0905077262693084,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
4,80.39706073553133,71.6010934990792,300192,科德教育,bottom_area,2025-09-12,19.39,2025-09-09,18.71,3.634420096205236,6.146445750935321,32.649388048956084,False,-1.4235,6.7829,1,1,1,100.0,26.599845797995382,26.599845797995382,16.365579903794764,3.634420096205236,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
5,65.98679211222455,59.35974576271184,002826,易明医药,bottom_area,2025-09-12,19.67,2025-09-03,18.88,4.18432203389832,7.786016949152555,29.631010063361906,True,-1.1061,4.1657,1,2,1,50.0,50.0,50.0,15.815677966101681,4.18432203389832,历史1/2次成功; 当前距低点4.18%; 最新日涨幅-1.11%; 状态bottom_area; 底部已确认
6,65.34930897018816,55.05428738177572,603839,安正时尚,bottom_area,2025-09-12,8.46,2025-09-11,8.41,0.5945303210463818,4.875148632580263,27.374784110535405,False,-1.3986,6.0631,1,2,1,50.0,31.88073394495412,31.88073394495412,19.40546967895362,0.5945303210463818,历史1/2次成功; 当前距低点0.59%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
7,65.10556095841675,58.238248218391256,300902,国安达,bottom_area,2025-09-12,23.05,2025-09-04,22.19,3.875619648490308,5.04731861198737,32.798304058146584,False,0.0,3.9704,1,2,1,50.0,26.906779661016937,26.906779661016937,16.124380351509693,3.875619648490308,历史1/2次成功; 当前距低点3.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,64.95652624966148,58.78747068405118,000561,烽火电子,bottom_area,2025-09-12,11.34,2025-09-04,10.85,4.516129032258067,6.267281105990781,32.60869565217392,False,-0.2639,3.3125,2,4,2,50.0,26.85077891182564,31.050955414012744,15.483870967741934,4.516129032258067,历史2/4次成功; 当前距低点4.52%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
9,63.707777532738966,54.01628942930978,002041,登海种业,bottom_area,2025-09-12,9.62,2025-06-23,9.53,0.9443861490031464,7.345225603357829,29.719764011799416,True,-0.5171,1.6072,1,2,1,50.0,21.395106715252467,21.395106715252467,19.055613850996856,0.9443861490031464,历史1/2次成功; 当前距低点0.94%; 最新日涨幅-0.52%; 状态bottom_area; 底部已确认
10,59.5270897644242,53.688308232506984,302132,中航成飞,bottom_area,2025-09-12,82.94,2025-09-09,79.5,4.32704402515723,6.163522012578623,27.595628415300546,False,0.157,2.8756,1,4,1,25.0,28.81165919282512,28.81165919282512,15.672955974842772,4.32704402515723,历史1/4次成功; 当前距低点4.33%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
11,57.866889718269945,51.25786726356052,605169,洪通燃气,bottom_area,2025-09-12,14.86,2025-09-05,14.38,3.3379694019471393,4.033379694019472,31.064237775647165,False,-0.2685,1.2827,1,4,1,25.0,26.09375,26.09375,16.662030598052862,3.3379694019471393,历史1/4次成功; 当前距低点3.34%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
