rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.098832683544,86.48966998572502,002795,永和智控,bottom_area,2025-09-19,4.78,2025-08-28,4.7,1.7021276595744694,7.234042553191486,31.884057971014496,True,-2.6477,3.551,6,6,6,100.0,23.766242201907538,32.328767123287676,8.297872340425531,1.7021276595744694,历史6/6次成功; 当前距低点1.70%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
2,87.95752293881146,81.68776119402985,301009,可靠股份,bottom_area,2025-09-19,13.55,2025-09-05,13.4,1.1194029850746294,5.597014925373134,27.762803234501348,False,-0.514,2.1667,1,1,1,100.0,53.96648044692738,53.96648044692738,8.880597014925371,1.1194029850746294,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
3,87.15123640305691,80.26138286291459,300510,金冠股份,bottom_area,2025-09-19,4.45,2025-09-19,4.42,0.6787330316742138,2.488687782805437,30.173775671406005,False,-1.5487,3.3088,4,4,4,100.0,26.76824825339677,40.000000000000014,9.321266968325787,0.6787330316742138,历史4/4次成功; 当前距低点0.68%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
4,80.98537645956856,76.7244132365924,300902,国安达,bottom_area,2025-09-19,22.67,2025-09-04,22.19,2.163136547994594,5.8134294727354625,32.798304058146584,False,-0.9611,4.4716,2,2,2,100.0,19.4428202474198,26.906779661016937,7.836863452005407,2.163136547994594,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
5,77.76099774205811,77.39738586216873,603109,神驰机电,confirmed_rebound,2025-09-19,31.29,2025-09-04,29.87,4.753933712755266,10.813525276196854,27.79792119893642,True,-1.1374,2.362,5,5,5,100.0,22.507283479842627,33.71428571428571,5.246066287244735,4.753933712755266,历史5/5次成功; 当前距低点4.75%; 最新日涨幅-1.14%; 状态confirmed_rebound; 底部已确认
6,76.67824014692142,70.31077037993002,300645,正元智慧,bottom_area,2025-09-19,17.8,2025-09-19,17.72,0.45146726862303527,4.288939051918745,28.92097874047333,False,-3.1556,5.1756,1,1,1,100.0,30.699547055863096,30.699547055863096,9.548532731376966,0.45146726862303527,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
7,75.41176798930822,75.32874031961727,002212,天融信,confirmed_rebound,2025-09-19,9.98,2025-09-04,9.51,4.942166140904318,10.83070452155625,30.17621145374449,True,0.8081,4.4654,2,2,2,100.0,24.553113553113555,30.95238095238096,5.057833859095682,4.942166140904318,历史2/2次成功; 当前距低点4.94%; 最新日涨幅0.81%; 状态confirmed_rebound; 底部已确认
8,75.24311870681667,73.3110934990792,300192,科德教育,bottom_area,2025-09-19,19.39,2025-09-09,18.71,3.634420096205236,8.177445216461772,32.649388048956084,True,-0.5131,8.4698,1,1,1,100.0,26.599845797995382,26.599845797995382,6.365579903794765,3.634420096205236,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
9,70.671734738319,66.10433962264152,601900,南方传媒,bottom_area,2025-09-19,12.91,2025-09-18,12.72,1.4937106918238954,2.8301886792452784,29.254727474972192,False,0.8594,0.7902,1,2,1,50.0,39.999999999999986,39.999999999999986,8.506289308176106,1.4937106918238954,历史1/2次成功; 当前距低点1.49%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
10,68.68450938034827,64.36746357258502,603839,安正时尚,bottom_area,2025-09-19,8.29,2025-09-19,8.16,1.5931372549019485,1.960784313725492,29.533678756476682,False,0.4848,2.5611,1,2,1,50.0,31.88073394495412,31.88073394495412,8.406862745098053,1.5931372549019485,历史1/2次成功; 当前距低点1.59%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
11,62.314202245341924,59.420931746681525,601669,中国电建,bottom_area,2025-09-19,5.73,2025-09-18,5.59,2.5044722719141426,3.220035778175308,28.69897959183674,False,2.139,2.0749,1,2,1,50.0,16.457680250783696,16.457680250783696,7.495527728085857,2.5044722719141426,历史1/2次成功; 当前距低点2.50%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
12,62.171110578777736,59.11351497654276,688682,霍莱沃,bottom_area,2025-09-19,28.71,2025-09-04,28.05,2.3529411764705888,8.698752228163984,27.687548337200308,True,-1.0,1.526,1,2,1,50.0,26.22699386503069,26.22699386503069,7.647058823529412,2.3529411764705888,历史1/2次成功; 当前距低点2.35%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
