rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.41350083154857,79.6773682007968,002755,奥赛康,bottom_area,2025-09-23,20.82,2025-09-23,20.44,1.8590998043052789,5.088062622309193,28.75566399442314,False,-2.7103,0.7757,2,2,2,100.0,31.59202018609052,32.35294117647059,18.140900195694723,1.8590998043052789,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
2,90.76286856615053,78.92944099378884,301009,可靠股份,bottom_area,2025-09-23,13.18,2025-09-23,12.88,2.3291925465838426,4.5807453416149055,30.566037735849054,False,-1.4211,3.2977,1,1,1,100.0,53.96648044692738,53.96648044692738,17.67080745341616,2.3291925465838426,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
3,87.77610462409741,76.43692328736182,301151,冠龙节能,bottom_area,2025-09-23,20.87,2025-09-23,20.38,2.4043179587831305,5.004906771344453,28.49122807017544,False,-2.1107,7.6113,1,1,1,100.0,37.520259319286865,37.520259319286865,17.59568204121687,2.4043179587831305,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
4,84.50562204239802,74.52969317839509,300192,科德教育,bottom_area,2025-09-23,19.29,2025-09-09,18.71,3.0999465526456347,8.177445216461772,32.649388048956084,True,-1.5314,8.4919,1,1,1,100.0,26.599845797995382,26.599845797995382,16.900053447354367,3.0999465526456347,历史1/1次成功; 当前距低点3.10%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
5,84.02776617029755,73.91252709990827,300645,正元智慧,bottom_area,2025-09-23,17.42,2025-09-23,16.92,2.9550827423167845,5.319148936170204,32.129963898916955,False,-2.3543,5.029,1,1,1,100.0,30.699547055863096,30.699547055863096,17.044917257683217,2.9550827423167845,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
6,82.69909701837405,72.99189517221879,300528,幸福蓝海,bottom_area,2025-09-23,23.31,2025-09-23,22.6,3.14159292035397,6.548672566371668,32.73809523809524,False,-3.0366,10.4107,2,2,2,100.0,21.584553928095872,23.169107856191747,16.85840707964603,3.14159292035397,历史2/2次成功; 当前距低点3.14%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
7,81.52501185770751,67.93750988142293,603848,好太太,bottom_area,2025-09-23,24.46,2025-09-23,24.46,0.0,9.403107113654949,28.667249927092442,False,-10.0074,1.5493,1,1,1,100.0,24.664031620553352,24.664031620553352,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
8,80.33372963112718,69.34605465440599,300534,陇神戎发,bottom_area,2025-09-23,9.53,2025-09-23,9.35,1.9251336898395692,3.850267379679157,27.519379844961243,False,-2.0555,2.4337,3,5,3,60.0,30.190104662581724,41.58730158730159,18.07486631016043,1.9251336898395692,历史3/5次成功; 当前距低点1.93%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
9,74.87626472056671,65.19398911014859,002651,利君股份,bottom_area,2025-09-23,11.11,2025-09-23,10.85,2.3963133640552976,5.806451612903233,28.09807819748178,False,-2.2867,4.0709,2,4,2,50.0,35.309589140831555,41.96642685851319,17.603686635944705,2.3963133640552976,历史2/4次成功; 当前距低点2.40%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
10,72.81627202948084,62.21674698795181,601900,南方传媒,bottom_area,2025-09-23,12.62,2025-09-23,12.45,1.3654618473895577,2.409638554216873,30.756395995550616,False,-1.0196,0.768,1,2,1,50.0,39.999999999999986,39.999999999999986,18.634538152610443,1.3654618473895577,历史1/2次成功; 当前距低点1.37%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
11,70.08277879436493,60.52867221068961,000037,深南电A,bottom_area,2025-09-23,8.35,2025-09-23,8.19,1.9536019536019553,3.663003663003672,28.220858895705526,False,-1.533,1.9384,3,9,3,33.33333333333333,40.91156629875658,45.16765285996055,18.046398046398046,1.9536019536019553,历史3/9次成功; 当前距低点1.95%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
