rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.78908857688059,86.3819348244724,002115,三维通信,bottom_area,2025-09-29,10.77,2025-09-29,10.56,1.9886363636363549,2.46212121212121,28.888888888888886,False,1.4124,8.4946,4,4,4,100.0,13.419493191200443,20.720720720720706,6.011363636363646,1.9886363636363549,历史4/4次成功; 当前距低点1.99%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
2,89.66183310913051,86.51580387723119,605188,国光连锁,bottom_area,2025-09-29,15.73,2025-09-29,15.4,2.1428571428571432,2.467532467532461,29.032258064516125,False,0.0636,2.8708,4,4,4,100.0,16.029667542717576,19.218749999999993,5.857142857142857,2.1428571428571432,历史4/4次成功; 当前距低点2.14%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
3,89.58873759061103,86.52866795975945,600246,万通发展,bottom_area,2025-09-29,11.65,2025-09-26,11.4,2.1929824561403506,6.8421052631578885,29.28039702233251,False,2.193,4.9367,3,3,3,100.0,33.379935267523855,64.73317865429235,5.807017543859649,2.1929824561403506,历史3/3次成功; 当前距低点2.19%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
4,85.84703376444571,84.89883580509205,300534,陇神戎发,bottom_area,2025-09-29,9.67,2025-09-23,9.35,3.4224598930481314,5.454545454545452,27.519379844961243,False,0.2073,1.7581,5,5,5,100.0,23.021743877643914,41.58730158730159,4.577540106951869,3.4224598930481314,历史5/5次成功; 当前距低点3.42%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
5,85.4754034292089,83.48818263905986,688205,德科立,bottom_area,2025-09-29,120.66,2025-09-29,117.4,2.7768313458262273,3.466780238500846,27.441285537700864,False,0.802,6.5382,3,3,3,100.0,24.19009735238528,35.44761904761904,5.223168654173773,2.7768313458262273,历史3/3次成功; 当前距低点2.78%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
6,84.66771294367919,83.97276591541369,000718,苏宁环球,bottom_area,2025-09-29,2.61,2025-09-29,2.52,3.571428571428566,4.36507936507936,32.800000000000004,False,0.7722,3.8192,4,4,4,100.0,19.86894117349903,36.111111111111114,4.428571428571434,3.571428571428566,历史4/4次成功; 当前距低点3.57%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
7,82.7270029341533,77.78014483925213,000679,大连友谊,bottom_area,2025-09-29,7.61,2025-09-29,7.55,0.7947019867549735,4.768211920529806,28.503787878787882,False,-1.8065,3.8489,8,8,8,100.0,14.8498138121154,24.94061757719715,7.205298013245026,0.7947019867549735,历史8/8次成功; 当前距低点0.79%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
8,81.65178773268617,79.75914559187794,301151,冠龙节能,bottom_area,2025-09-29,20.7,2025-09-29,20.14,2.780536246276061,3.5749751737835096,29.333333333333332,False,1.0742,3.999,1,1,1,100.0,37.520259319286865,37.520259319286865,5.2194637537239394,2.780536246276061,历史1/1次成功; 当前距低点2.78%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
9,81.60619949983328,79.44581128876504,603280,南方路机,bottom_area,2025-09-29,35.45,2025-09-29,34.55,2.6049204052098576,3.560057887120128,27.26315789473685,False,0.1412,11.4188,2,2,2,100.0,17.016289315287736,18.348214285714302,5.395079594790142,2.6049204052098576,历史2/2次成功; 当前距低点2.60%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
10,81.58580862978718,79.09117653825788,601669,中国电建,bottom_area,2025-09-29,5.58,2025-09-29,5.45,2.3853211009174293,2.568807339449535,30.484693877551017,False,1.2704,1.4588,2,2,2,100.0,12.417788431987212,16.457680250783696,5.614678899082571,2.3853211009174293,历史2/2次成功; 当前距低点2.39%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
11,80.59662595906546,78.3983850931677,301009,可靠股份,bottom_area,2025-09-29,13.21,2025-09-23,12.88,2.5621118012422364,4.5807453416149055,30.566037735849054,False,-0.7513,1.7749,1,1,1,100.0,53.96648044692738,53.96648044692738,5.437888198757763,2.5621118012422364,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
