rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.96395696294951,79.75914559187794,301151,冠龙节能,bottom_area,2025-09-29,20.7,2025-09-29,20.14,2.780536246276061,3.5749751737835096,29.333333333333332,False,1.0742,3.999,1,1,1,100.0,37.520259319286865,37.520259319286865,17.21946375372394,2.780536246276061,历史1/1次成功; 当前距低点2.78%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
2,89.76941505823275,78.3983850931677,301009,可靠股份,bottom_area,2025-09-29,13.21,2025-09-23,12.88,2.5621118012422364,4.5807453416149055,30.566037735849054,False,-0.7513,1.7749,1,1,1,100.0,53.96648044692738,53.96648044692738,17.437888198757765,2.5621118012422364,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
3,86.69114149558129,74.2388172204681,300111,向日葵,bottom_area,2025-09-29,7.5,2025-09-29,7.39,1.488497970230045,9.33694181326117,28.11284046692607,False,-4.2146,23.4974,1,1,1,100.0,24.691358024691343,24.691358024691343,18.511502029769954,1.488497970230045,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
4,80.66463713645615,70.72369653309691,688205,德科立,bottom_area,2025-09-29,120.66,2025-09-29,117.4,2.7768313458262273,3.466780238500846,27.441285537700864,False,0.802,6.5382,2,3,2,66.66666666666666,27.786050187709932,35.44761904761904,17.223168654173772,2.7768313458262273,历史2/3次成功; 当前距低点2.78%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
5,79.03024249543807,70.11215091109047,300534,陇神戎发,bottom_area,2025-09-29,9.67,2025-09-23,9.35,3.4224598930481314,5.454545454545452,27.519379844961243,False,0.2073,1.7581,3,5,3,60.0,30.190104662581724,41.58730158730159,16.577540106951872,3.4224598930481314,历史3/5次成功; 当前距低点3.42%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
6,77.28999999999999,66.81,002097,山河智能,bottom_area,2025-09-29,12.75,2025-09-29,12.5,2.0,3.1200000000000045,28.160919540229877,False,0.7109,5.64,1,2,1,50.0,50.210970464135016,50.210970464135016,18.000000000000004,2.0,历史1/2次成功; 当前距低点2.00%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
7,73.46309379877957,66.75965517241376,002269,美邦服饰,bottom_area,2025-09-29,2.43,2025-09-29,2.32,4.741379310344842,6.034482758620696,27.725856697819317,False,2.5316,6.7272,4,8,4,50.0,62.09717161843492,173.50993377483442,15.258620689655158,4.741379310344842,历史4/8次成功; 当前距低点4.74%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
8,72.34139628040057,62.75333333333334,600246,万通发展,bottom_area,2025-09-29,11.65,2025-09-26,11.4,2.1929824561403506,6.8421052631578885,29.28039702233251,False,2.193,4.9367,1,3,1,33.33333333333333,64.73317865429235,64.73317865429235,17.80701754385965,2.1929824561403506,历史1/3次成功; 当前距低点2.19%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
9,67.1871301350601,60.35160755853759,603839,安正时尚,bottom_area,2025-09-29,8.37,2025-09-23,8.04,4.1044776119403,9.328358208955224,30.569948186528507,True,0.601,2.0562,1,2,1,50.0,31.88073394495412,31.88073394495412,15.895522388059701,4.1044776119403,历史1/2次成功; 当前距低点4.10%; 最新日涨幅0.60%; 状态bottom_area; 底部已确认
10,66.61592599068582,59.259566065334,000926,福星股份,bottom_area,2025-09-29,2.61,2025-09-29,2.52,3.571428571428566,3.9682539682539715,27.79369627507164,False,0.3846,2.4988,1,2,1,50.0,28.668941979522177,28.668941979522177,16.428571428571438,3.571428571428566,历史1/2次成功; 当前距低点3.57%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
11,66.55074008472897,57.51496314496317,002115,三维通信,bottom_area,2025-09-29,10.77,2025-09-29,10.56,1.9886363636363549,2.46212121212121,28.888888888888886,False,1.4124,8.4946,1,4,1,25.0,20.720720720720706,20.720720720720706,18.011363636363647,1.9886363636363549,历史1/4次成功; 当前距低点1.99%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
12,64.51777478858136,56.2324601773449,000096,广聚能源,bottom_area,2025-09-29,11.28,2025-09-23,11.01,2.452316076294274,5.812897366030886,28.039215686274517,False,-0.6167,0.7882,1,2,1,50.0,21.149144254278735,21.149144254278735,17.547683923705726,2.452316076294274,历史1/2次成功; 当前距低点2.45%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
