rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.93731242703973,83.44668372585939,605188,国光连锁,bottom_area,2025-10-09,15.35,2025-10-09,15.1,1.6556291390728477,3.9735099337748316,30.414746543778804,False,-2.2915,2.274,4,4,4,100.0,16.029667542717576,19.218749999999993,8.344370860927153,1.6556291390728477,历史4/4次成功; 当前距低点1.66%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
2,86.14692648626486,80.48051202073871,688205,德科立,bottom_area,2025-10-09,116.38,2025-10-09,114.74,1.4293184591249788,4.58427749694963,29.085290482076648,False,-3.8341,6.3839,3,3,3,100.0,24.19009735238528,35.44761904761904,8.570681540875022,1.4293184591249788,历史3/3次成功; 当前距低点1.43%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
3,85.24031262926468,80.63365499354073,603280,南方路机,bottom_area,2025-10-09,35.27,2025-09-29,34.55,2.0839363241678903,4.0520984081042135,27.26315789473685,False,0.142,6.5192,2,2,2,100.0,17.016289315287736,18.348214285714302,7.916063675832111,2.0839363241678903,历史2/2次成功; 当前距低点2.08%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
4,84.7166819528479,83.06800401065178,000718,苏宁环球,bottom_area,2025-10-09,2.62,2025-09-29,2.52,3.9682539682539715,5.158730158730155,32.800000000000004,False,0.3831,4.7629,4,4,4,100.0,19.86894117349903,36.111111111111114,6.031746031746029,3.9682539682539715,历史4/4次成功; 当前距低点3.97%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
5,83.60277366179145,80.96268607247171,300534,陇神戎发,bottom_area,2025-10-09,9.66,2025-09-23,9.35,3.31550802139038,5.454545454545452,27.519379844961243,False,-0.5149,1.9337,5,5,5,100.0,23.021743877643914,41.58730158730159,6.68449197860962,3.31550802139038,历史5/5次成功; 当前距低点3.32%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
6,83.51262653726644,78.25487698953225,000926,福星股份,bottom_area,2025-10-09,2.56,2025-09-29,2.52,1.5873015873015885,4.761904761904765,27.79369627507164,False,-1.5385,3.2302,2,2,2,100.0,20.612497895590682,28.668941979522177,8.412698412698411,1.5873015873015885,历史2/2次成功; 当前距低点1.59%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
7,82.41891621024807,79.3063154031987,301151,冠龙节能,bottom_area,2025-10-09,20.74,2025-09-29,20.14,2.9791459781529186,5.064548162859977,29.333333333333332,False,1.2695,6.1342,1,1,1,100.0,37.520259319286865,37.520259319286865,7.020854021847082,2.9791459781529186,历史1/1次成功; 当前距低点2.98%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
8,82.20192994698569,77.86513747975863,002269,美邦服饰,bottom_area,2025-10-09,2.37,2025-09-29,2.32,2.155172413793115,6.034482758620696,27.725856697819317,False,-1.25,3.9026,6,8,6,75.0,46.3114547484244,173.50993377483442,7.844827586206886,2.155172413793115,历史6/8次成功; 当前距低点2.16%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
9,80.23204799244226,78.09933537265064,000679,大连友谊,bottom_area,2025-10-09,7.8,2025-09-30,7.53,3.5856573705179224,4.5152722443559075,28.693181818181817,False,1.4304,2.1797,7,8,7,87.5,15.549108480814496,24.94061757719715,6.4143426294820785,3.5856573705179224,历史7/8次成功; 当前距低点3.59%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
10,78.74105070182765,71.98420782515309,600706,曲江文旅,bottom_area,2025-10-09,10.27,2025-10-09,10.24,0.2929687499999938,3.6132812499999925,28.341497550734772,False,-3.9289,9.0585,2,2,2,100.0,21.086970834156286,24.578313253012034,9.707031250000005,0.2929687499999938,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
11,77.89588001609454,71.29883480300511,002059,云南旅游,bottom_area,2025-10-09,5.62,2025-10-09,5.6,0.3571428571428654,3.9285714285714404,30.778739184178,False,-4.7458,6.9628,2,2,2,100.0,18.18881998543464,25.935162094763093,9.642857142857135,0.3571428571428654,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-4.75%; 状态bottom_area; 底部未确认
