rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.89440141594416,84.97660632641544,600400,红豆股份,bottom_area,2025-10-10,2.82,2025-10-10,2.79,1.0752688172042941,4.659498207885301,27.343749999999993,False,-0.7042,4.917,4,4,4,100.0,17.140963600221585,25.943396226415082,6.924731182795705,1.0752688172042941,历史4/4次成功; 当前距低点1.08%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
2,87.45381635078837,85.10798287327297,002269,美邦服饰,bottom_area,2025-10-10,2.38,2025-09-29,2.32,2.5862068965517264,6.034482758620696,27.725856697819317,False,0.4219,4.6086,7,8,7,87.5,40.978680631241446,173.50993377483442,5.413793103448274,2.5862068965517264,历史7/8次成功; 当前距低点2.59%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
3,82.99637298799195,77.37883480300512,002059,云南旅游,bottom_area,2025-10-10,5.62,2025-10-09,5.6,0.3571428571428654,3.9285714285714404,30.778739184178,False,0.0,4.2618,2,2,2,100.0,18.18881998543464,25.935162094763093,7.642857142857134,0.3571428571428654,历史2/2次成功; 当前距低点0.36%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,82.34588001177183,78.05438262688418,600749,西藏旅游,bottom_area,2025-10-10,18.29,2025-10-09,18.07,1.2174875484227938,3.2097399003873726,29.137254901960784,False,0.6604,5.2498,1,1,1,100.0,9.19491525423728,9.19491525423728,6.782512451577206,1.2174875484227938,历史1/1次成功; 当前距低点1.22%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
5,82.1937763626084,82.15191551393886,605188,国光连锁,confirmed_rebound,2025-10-10,15.7,2025-10-09,15.1,3.9735099337748316,11.655629139072847,30.414746543778804,True,2.2801,4.1768,4,4,4,100.0,16.029667542717576,19.218749999999993,4.026490066225168,3.9735099337748316,历史4/4次成功; 当前距低点3.97%; 最新日涨幅2.28%; 状态confirmed_rebound; 底部已确认
6,81.76166594365702,82.96848020112797,000718,苏宁环球,bottom_area,2025-10-10,2.64,2025-09-29,2.52,4.761904761904765,7.1428571428571495,32.800000000000004,True,0.7634,4.1166,4,4,4,100.0,19.86894117349903,36.111111111111114,3.238095238095235,4.761904761904765,历史4/4次成功; 当前距低点4.76%; 最新日涨幅0.76%; 状态bottom_area; 底部已确认
7,80.89996529875108,75.72827801937886,688195,腾景科技,confirmed_rebound,2025-10-10,106.6,2025-10-10,106.0,0.5660377358490513,10.169811320754718,27.127732710023377,False,-8.4192,7.9126,10,10,10,100.0,21.445398156530597,49.70800412229474,7.433962264150949,0.5660377358490513,历史10/10次成功; 当前距低点0.57%; 最新日涨幅-8.42%; 状态confirmed_rebound; 底部未确认
8,80.47782909304777,79.43234425351562,000679,大连友谊,bottom_area,2025-10-10,7.78,2025-09-30,7.53,3.3200531208499333,5.843293492695876,28.693181818181817,False,-0.2564,2.0655,8,8,8,100.0,14.8498138121154,24.94061757719715,4.679946879150067,3.3200531208499333,历史8/8次成功; 当前距低点3.32%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
9,80.12351524782095,74.32864716338834,600706,曲江文旅,bottom_area,2025-10-10,10.21,2025-10-10,10.2,0.09803921568628984,2.254901960784318,28.621413575927225,False,-0.5842,5.7663,2,2,2,100.0,21.086970834156286,24.578313253012034,7.901960784313711,0.09803921568628984,历史2/2次成功; 当前距低点0.10%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
10,80.07688264041238,78.81582937048464,000926,福星股份,bottom_area,2025-10-10,2.6,2025-09-29,2.52,3.174603174603177,4.761904761904765,27.79369627507164,False,1.5625,3.0984,2,2,2,100.0,20.612497895590682,28.668941979522177,4.825396825396823,3.174603174603177,历史2/2次成功; 当前距低点3.17%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
11,78.90027181051511,76.48480596923642,301151,冠龙节能,bottom_area,2025-10-10,20.62,2025-09-29,20.14,2.383316782522346,5.064548162859977,29.333333333333332,False,-0.5786,5.7198,1,1,1,100.0,37.520259319286865,37.520259319286865,5.616683217477654,2.383316782522346,历史1/1次成功; 当前距低点2.38%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
