rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.68293065230264,79.05515254237288,688621,阳光诺和,bottom_area,2025-10-17,60.1,2025-10-14,59.0,1.8644067796610195,8.322033898305078,31.355439208842352,True,-3.3917,3.365,1,1,1,100.0,46.0,46.0,18.13559322033898,1.8644067796610195,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-3.39%; 状态bottom_area; 底部已确认
2,87.45320680501962,76.91248916361991,301151,冠龙节能,bottom_area,2025-10-17,19.92,2025-10-13,19.35,2.9457364341085284,8.21705426356589,32.10526315789473,True,-2.1611,1.0992,1,1,1,100.0,37.520259319286865,37.520259319286865,17.05426356589147,2.9457364341085284,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
3,87.26157632889296,75.6368586982572,300049,福瑞医科,bottom_area,2025-10-17,66.51,2025-10-13,65.11,2.1502073414222176,8.692981108892637,28.19805910895457,True,-2.478,2.476,1,1,1,100.0,20.910384068278802,20.910384068278802,17.849792658577783,2.1502073414222176,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-2.48%; 状态bottom_area; 底部已确认
4,87.09192918595467,75.98049578046553,300056,中创环保,bottom_area,2025-10-17,10.64,2025-10-15,10.38,2.5048169556840056,8.188824662813097,29.001367989056074,True,-0.5607,2.4183,1,1,1,100.0,27.10472279260781,27.10472279260781,17.495183044315997,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-0.56%; 状态bottom_area; 底部已确认
5,84.95374877703708,71.78368307656189,688603,天承科技,bottom_area,2025-10-17,65.21,2025-10-17,64.72,0.7571075401730453,6.242274412855387,27.976852882261294,False,-4.9417,3.0909,1,1,1,100.0,42.364990689013034,42.364990689013034,19.242892459826955,0.7571075401730453,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
6,83.86223654933427,70.16483960111633,688662,富信科技,bottom_area,2025-10-17,41.4,2025-10-17,41.31,0.21786492374726774,6.4875332849189045,28.529411764705877,False,-5.3714,2.3653,1,1,1,100.0,27.051460361613344,27.051460361613344,19.782135076252732,0.21786492374726774,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-5.37%; 状态bottom_area; 底部未确认
7,82.90619928982393,69.71281749930624,301137,哈焊华通,bottom_area,2025-10-17,42.99,2025-10-17,42.78,0.4908835904628351,10.565684899485731,27.491525423728813,False,-6.9078,8.9908,1,1,1,100.0,27.967914438502678,27.967914438502678,19.509116409537167,0.4908835904628351,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-6.91%; 状态bottom_area; 底部未确认
8,82.45955394006438,71.01031390134528,002269,美邦服饰,bottom_area,2025-10-17,2.27,2025-10-13,2.23,1.793721973094172,8.520179372197308,30.529595015576323,True,-1.7316,3.4299,4,8,4,50.0,62.09717161843492,173.50993377483442,18.206278026905828,1.793721973094172,历史4/8次成功; 当前距低点1.79%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
9,76.80776181619953,65.6822580645161,002491,通鼎互联,bottom_area,2025-10-17,5.03,2025-10-13,4.96,1.4112903225806508,8.467741935483868,28.01161103047895,True,-2.1401,3.4133,1,2,1,50.0,52.39520958083833,52.39520958083833,18.588709677419352,1.4112903225806508,历史1/2次成功; 当前距低点1.41%; 最新日涨幅-2.14%; 状态bottom_area; 底部已确认
10,76.32807574413685,68.82888632376027,688519,南亚新材,bottom_area,2025-10-17,66.45,2025-10-17,63.7,4.3171114599686025,19.466248037676596,28.103837471783287,False,-13.1259,4.675,1,1,1,100.0,30.27903469079939,30.27903469079939,15.682888540031398,4.3171114599686025,历史1/1次成功; 当前距低点4.32%; 最新日涨幅-13.13%; 状态bottom_area; 底部未确认
11,74.71478260869564,62.26231884057971,600376,首开股份,bottom_area,2025-10-17,5.81,2025-10-16,5.81,0.0,5.163511187607585,27.375000000000004,False,-1.692,5.4431,2,3,2,66.66666666666666,22.826086956521735,24.99999999999999,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
12,73.48487860787412,63.28796622875004,002453,华软科技,bottom_area,2025-10-17,6.79,2025-10-17,6.67,1.799100449775114,5.6971514242878545,31.65983606557377,False,0.8915,9.5819,1,2,1,50.0,28.60169491525425,28.60169491525425,18.200899550224886,1.799100449775114,历史1/2次成功; 当前距低点1.80%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
13,70.15209265165622,60.58239024372951,000428,华天酒店,bottom_area,2025-10-17,3.14,2025-10-13,3.08,1.9480519480519498,5.194805194805199,28.70370370370371,False,-0.9464,2.0384,2,5,2,40.0,26.687896157462177,28.045977011494273,18.051948051948052,1.9480519480519498,历史2/5次成功; 当前距低点1.95%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
14,69.79897723254288,59.33872720731763,000096,广聚能源,bottom_area,2025-10-17,11.13,2025-09-23,11.01,1.0899182561307992,6.176203451407809,28.039215686274517,False,-1.4172,0.927,1,2,1,50.0,21.149144254278735,21.149144254278735,18.910081743869203,1.0899182561307992,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
15,68.58642386864817,57.38380848748636,000700,模塑科技,bottom_area,2025-10-17,9.21,2025-10-17,9.19,0.2176278563656295,5.114254624591955,30.060882800608834,False,-4.5596,2.8338,1,2,1,50.0,52.926829268292686,52.926829268292686,19.782372143634372,0.2176278563656295,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-4.56%; 状态bottom_area; 底部未确认
16,68.38140397438835,61.102361580520956,605398,新炬网络,bottom_area,2025-10-17,29.38,2025-10-13,28.3,3.816254416961125,7.102473498233208,28.172588832487307,True,-1.4425,1.4114,2,4,2,50.0,21.523772318238297,22.15700660308142,16.183745583038878,3.816254416961125,历史2/4次成功; 当前距低点3.82%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
