rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.89245885861766,86.4101110967963,603305,旭升集团,bottom_area,2025-10-21,15.01,2025-10-17,14.64,2.527322404371579,5.669398907103825,27.881773399014776,False,1.2138,3.432,6,6,6,100.0,20.174226767545644,32.41061130334487,5.472677595628421,2.527322404371579,历史6/6次成功; 当前距低点2.53%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
2,88.01205443760082,85.31742079431042,688036,传音控股,bottom_area,2025-10-21,76.47,2025-10-20,74.69,2.383183826482797,4.244209398848577,28.79885605338418,False,1.2445,0.8163,4,4,4,100.0,12.5326877348988,19.148936170212753,5.616816173517202,2.383183826482797,历史4/4次成功; 当前距低点2.38%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
3,86.9349116044827,83.58783008393905,000700,模塑科技,bottom_area,2025-10-21,9.37,2025-10-17,9.19,1.9586507072905304,5.114254624591955,30.060882800608834,False,1.1879,1.6816,2,2,2,100.0,31.363191916997117,52.926829268292686,6.04134929270947,1.9586507072905304,历史2/2次成功; 当前距低点1.96%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
4,85.34971641298277,84.05861853752623,300563,神宇股份,bottom_area,2025-10-21,37.97,2025-10-17,36.79,3.20739331340038,7.039956509921183,28.563106796116504,False,1.66,3.7422,4,4,4,100.0,15.86814673160799,20.477137176938378,4.79260668659962,3.20739331340038,历史4/4次成功; 当前距低点3.21%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
5,80.82902524368457,82.3015540204012,688039,当虹科技,bottom_area,2025-10-21,51.42,2025-10-17,49.0,4.938775510204085,6.448979591836728,30.956742285472732,False,1.8218,2.4327,7,7,7,100.0,27.644957976701654,79.31638913234006,3.0612244897959155,4.938775510204085,历史7/7次成功; 当前距低点4.94%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
6,79.18476831364148,77.0063994754036,300049,福瑞医科,confirmed_rebound,2025-10-21,66.77,2025-10-13,65.11,2.5495315619720422,8.692981108892637,28.19805910895457,True,0.3306,1.7034,1,1,1,100.0,20.910384068278802,20.910384068278802,5.450468438027959,2.5495315619720422,历史1/1次成功; 当前距低点2.55%; 最新日涨幅0.33%; 状态confirmed_rebound; 底部已确认
7,78.71897170671802,75.10611885463088,002123,梦网科技,bottom_area,2025-10-21,12.39,2025-10-17,12.2,1.5573770491803385,2.8688524590164053,29.68299711815563,False,1.0604,1.7658,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,6.442622950819661,1.5573770491803385,历史2/3次成功; 当前距低点1.56%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
8,78.31172311697463,76.94257670532104,300056,中创环保,confirmed_rebound,2025-10-21,10.7,2025-10-15,10.38,3.082851637764918,8.188824662813097,29.001367989056074,True,0.5639,1.5739,1,1,1,100.0,27.10472279260781,27.10472279260781,4.917148362235083,3.082851637764918,历史1/1次成功; 当前距低点3.08%; 最新日涨幅0.56%; 状态confirmed_rebound; 底部已确认
9,77.68793474947364,78.03812517579442,002491,通鼎互联,confirmed_rebound,2025-10-21,5.17,2025-10-13,4.96,4.233870967741934,8.467741935483868,28.01161103047895,True,1.3725,2.1595,2,2,2,100.0,30.437370872290508,52.39520958083833,3.766129032258066,4.233870967741934,历史2/2次成功; 当前距低点4.23%; 最新日涨幅1.37%; 状态confirmed_rebound; 底部已确认
10,77.3689132713591,76.11820338983051,688621,阳光诺和,confirmed_rebound,2025-10-21,60.86,2025-10-14,59.0,3.1525423728813546,8.322033898305078,31.355439208842352,True,-0.2459,1.9258,1,1,1,100.0,46.0,46.0,4.847457627118645,3.1525423728813546,历史1/1次成功; 当前距低点3.15%; 最新日涨幅-0.25%; 状态confirmed_rebound; 底部已确认
11,76.33330092407357,76.603401064949,600706,曲江文旅,bottom_area,2025-10-21,10.21,2025-10-13,9.8,4.183673469387756,4.59183673469387,31.420573827851634,False,1.1893,3.391,2,2,2,100.0,21.086970834156286,24.578313253012034,3.816326530612244,4.183673469387756,历史2/2次成功; 当前距低点4.18%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
12,75.90318826717345,76.03056932572964,000096,广聚能源,bottom_area,2025-10-21,11.46,2025-09-23,11.01,4.0871934604904725,6.176203451407809,28.039215686274517,False,1.5058,1.5934,2,2,2,100.0,16.82457212713937,21.149144254278735,3.912806539509528,4.0871934604904725,历史2/2次成功; 当前距低点4.09%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
13,74.6217468633083,74.33929303392878,605255,天普股份,bottom_area,2025-10-21,83.8,2025-10-21,80.73,3.8027994549733592,4.781369998761302,27.453271028037378,False,-2.331,5.6759,5,6,5,83.33333333333334,29.496464827605962,87.20456397718011,4.19720054502664,3.8027994549733592,历史5/6次成功; 当前距低点3.80%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
14,74.43445102418897,72.3940216592728,002617,露笑科技,bottom_area,2025-10-21,8.43,2025-10-17,8.22,2.554744525547434,5.596107055961059,29.743589743589734,False,0.4768,2.7708,4,6,4,66.66666666666666,17.377271563732705,36.60589060308556,5.4452554744525665,2.554744525547434,历史4/6次成功; 当前距低点2.55%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
