rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.37930370351773,79.27529346832681,300056,中创环保,bottom_area,2025-10-24,10.49,2025-10-15,10.38,1.05973025048169,8.188824662813097,29.001367989056074,True,-0.4744,2.4848,1,1,1,100.0,27.10472279260781,27.10472279260781,13.940269749518308,1.05973025048169,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
2,84.34995393220868,77.76491291257203,300141,和顺电气,bottom_area,2025-10-24,11.52,2025-10-23,11.17,3.1333930170098445,4.118173679498665,27.935483870967744,False,0.6114,8.1636,1,1,1,100.0,31.123919308357333,31.123919308357333,11.866606982990154,3.1333930170098445,历史1/1次成功; 当前距低点3.13%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
3,83.16922025723473,72.3210610932476,600629,华建集团,bottom_area,2025-10-24,29.84,2025-10-24,29.84,0.0,0.0,27.09504031272905,False,-10.0121,1.9665,1,1,1,100.0,48.23151125401931,48.23151125401931,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
4,80.97191551520727,75.61250141491789,605488,福莱新材,bottom_area,2025-10-24,31.25,2025-10-23,30.1,3.8205980066445133,4.617940199335538,27.64423076923077,False,1.1327,1.8834,1,1,1,100.0,27.975617581007374,27.975617581007374,11.179401993355487,3.8205980066445133,历史1/1次成功; 当前距低点3.82%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
5,79.7142740425697,74.90218227530976,002674,兴业科技,bottom_area,2025-10-24,14.04,2025-10-20,13.48,4.154302670623135,6.824925816023739,27.52688172043011,False,-0.2841,1.2856,2,2,2,100.0,34.05372238887374,36.52849740932641,10.845697329376863,4.154302670623135,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
6,78.52967593398148,72.3876901067427,603305,旭升集团,bottom_area,2025-10-24,14.85,2025-10-23,14.4,3.124999999999995,4.30555555555555,29.064039408867,False,1.3652,3.1593,4,6,4,66.66666666666666,24.333459355247438,32.41061130334487,11.875000000000005,3.124999999999995,历史4/6次成功; 当前距低点3.12%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
7,76.36240801005835,70.8077581988932,002123,梦网科技,bottom_area,2025-10-24,12.62,2025-10-17,12.2,3.4426229508196715,3.770491803278696,29.68299711815563,False,0.7183,1.8011,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,11.557377049180328,3.4426229508196715,历史2/3次成功; 当前距低点3.44%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
8,74.69297109387563,71.02748269760208,600706,曲江文旅,bottom_area,2025-10-24,10.27,2025-10-13,9.8,4.795918367346927,6.632653061224475,31.420573827851634,False,-1.534,3.4192,2,2,2,100.0,21.086970834156286,24.578313253012034,10.204081632653072,4.795918367346927,历史2/2次成功; 当前距低点4.80%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
9,70.11712689178388,66.75269224849943,600353,旭光电子,bottom_area,2025-10-24,16.19,2025-10-23,15.44,4.857512953367888,6.735751295336794,27.81673679289388,False,2.3388,4.185,2,3,2,66.66666666666666,31.941694169416934,41.11111111111111,10.142487046632112,4.857512953367888,历史2/3次成功; 当前距低点4.86%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
10,69.83914329958908,64.33141124586551,000700,模塑科技,bottom_area,2025-10-24,9.35,2025-10-23,9.07,3.0871003307607428,3.3076074972436484,30.974124809741248,False,0.863,1.7806,1,2,1,50.0,52.926829268292686,52.926829268292686,11.912899669239257,3.0871003307607428,历史1/2次成功; 当前距低点3.09%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
11,67.97085292102906,60.45462824517385,002453,华软科技,bottom_area,2025-10-24,6.7,2025-10-23,6.62,1.2084592145015116,3.474320241691836,32.17213114754098,False,-1.6153,4.6545,1,2,1,50.0,28.60169491525425,28.60169491525425,13.791540785498487,1.2084592145015116,历史1/2次成功; 当前距低点1.21%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
