rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.07965387734143,84.35218295205686,000661,长春高新,bottom_area,2025-11-14,104.55,2025-11-13,102.75,1.7518248175182456,3.5523114355231202,27.52345348099034,False,0.0862,2.7044,3,3,3,100.0,16.270664172034742,25.03526756324649,6.248175182481755,1.7518248175182456,历史3/3次成功; 当前距低点1.75%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
2,85.39353681599093,80.94945720255387,603809,豪能股份,bottom_area,2025-11-14,12.43,2025-11-13,12.28,1.2214983713355079,2.6872964169381115,27.764705882352946,False,-0.9562,0.9437,2,2,2,100.0,30.615448866660387,31.661442006269603,6.778501628664492,1.2214983713355079,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
3,83.35465051028227,81.65368104947053,002790,瑞尔特,bottom_area,2025-11-14,9.14,2025-11-12,8.88,2.9279279279279256,3.378378378378366,32.829046898638424,False,1.1062,6.0195,1,1,1,100.0,49.512670565302145,49.512670565302145,5.072072072072074,2.9279279279279256,历史1/1次成功; 当前距低点2.93%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
4,82.62345708325611,78.56549569049898,603151,邦基科技,bottom_area,2025-11-14,19.81,2025-11-13,19.54,1.381780962128964,4.298874104401228,27.549128661475713,False,-0.4523,2.242,1,1,1,100.0,36.42987249544626,36.42987249544626,6.618219037871036,1.381780962128964,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
5,82.51942199316017,76.88408740955039,001209,洪兴股份,bottom_area,2025-11-14,21.72,2025-11-13,21.65,0.3233256351039274,6.6974595842956255,29.821717990275538,False,-3.3378,11.9185,4,4,4,100.0,14.469192782727669,21.88679245283018,7.676674364896073,0.3233256351039274,历史4/4次成功; 当前距低点0.32%; 最新日涨幅-3.34%; 状态bottom_area; 底部未确认
6,81.0682484690689,79.85668794202456,300563,神宇股份,bottom_area,2025-11-14,37.86,2025-10-23,36.68,3.2170119956379493,6.27044711014176,28.776699029126213,False,-1.2262,2.8071,4,4,4,100.0,15.86814673160799,20.477137176938378,4.782988004362051,3.2170119956379493,历史4/4次成功; 当前距低点3.22%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
7,80.37206514254963,74.41857883569409,002338,奥普光电,bottom_area,2025-11-14,50.34,2025-11-14,50.34,0.0,2.0063567739372226,28.44349680170575,False,-1.9478,1.0607,3,3,3,100.0,15.960101267172554,20.995288574793882,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
8,78.80662182571618,73.11516730827532,002181,粤传媒,bottom_area,2025-11-14,9.64,2025-11-14,9.63,0.10384215991692405,1.7653167185877456,31.1651179413867,False,-2.132,4.2595,2,2,2,100.0,14.634018456375832,17.187499999999993,7.8961578400830765,0.10384215991692405,历史2/2次成功; 当前距低点0.10%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
9,76.43477064220185,70.77293577981652,603759,海天股份,bottom_area,2025-11-14,11.33,2025-11-14,11.33,0.0,3.6187113857016784,31.20825743776563,False,-3.4923,7.2611,1,1,1,100.0,39.90825688073395,39.90825688073395,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
10,75.69664211358044,73.92086606753871,300235,方直科技,bottom_area,2025-11-14,14.12,2025-11-14,13.74,2.7656477438136755,4.876273653566229,27.224576271186436,False,-1.6028,11.551,1,1,1,100.0,28.422273781902568,28.422273781902568,5.234352256186325,2.7656477438136755,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
11,73.40673507436897,68.97842700400923,688631,莱斯信息,bottom_area,2025-11-14,64.5,2025-11-14,64.01,0.7655053897828384,2.562099671926262,31.969391008608778,False,-0.9977,2.5735,1,1,1,100.0,17.17085641244142,17.17085641244142,7.234494610217161,0.7655053897828384,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
12,72.2003810985285,72.27353317378254,603173,福斯达,bottom_area,2025-11-14,40.31,2025-11-05,38.74,4.052658750645328,6.143520908621568,29.422481326288942,False,-0.2228,4.4661,1,1,1,100.0,35.34190927555856,35.34190927555856,3.947341249354672,4.052658750645328,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
13,69.57711829560219,70.11934167587255,601669,中国电建,confirmed_rebound,2025-11-14,5.69,2025-09-29,5.45,4.403669724770646,11.0091743119266,30.484693877551017,True,-0.8711,0.9873,2,2,2,100.0,12.417788431987212,16.457680250783696,3.5963302752293544,4.403669724770646,历史2/2次成功; 当前距低点4.40%; 最新日涨幅-0.87%; 状态confirmed_rebound; 底部已确认
14,69.528078908094,65.32942794251142,002123,梦网科技,bottom_area,2025-11-14,11.9,2025-11-13,11.81,0.7620660457239614,2.032176121930569,31.93083573487032,False,-0.7506,1.3931,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,7.2379339542760395,0.7620660457239614,历史2/3次成功; 当前距低点0.76%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
