rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.78678614590488,75.11100840336134,688588,凌志软件,bottom_area,2025-11-20,14.31,2025-11-20,14.28,0.21008403361345335,4.271708683473398,28.6,False,-2.8513,1.9501,1,1,1,100.0,43.33333333333334,43.33333333333334,19.78991596638655,0.21008403361345335,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
2,88.98708358982445,74.96848368461089,603809,豪能股份,bottom_area,2025-11-20,11.84,2025-11-20,11.77,0.5947323704333074,3.2285471537808053,30.764705882352946,False,-1.8242,2.0577,2,2,2,100.0,30.615448866660387,31.661442006269603,19.405267629566694,0.5947323704333074,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
3,86.76166122221511,72.96569126394579,603173,福斯达,bottom_area,2025-11-20,38.26,2025-11-20,38.07,0.4990806409246065,3.5986340950879887,30.64310439059938,False,-1.0091,3.3543,1,1,1,100.0,35.34190927555856,35.34190927555856,19.500919359075393,0.4990806409246065,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
4,86.47928704940392,72.91640437722586,688608,恒玄科技,bottom_area,2025-11-20,202.8,2025-11-20,201.51,0.64016674110467,4.352141332936336,30.031250000000004,False,-2.3451,2.2698,1,1,1,100.0,36.80636853195971,36.80636853195971,19.359833258895332,0.64016674110467,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
5,86.39401854989742,72.84519814213485,603151,邦基科技,bottom_area,2025-11-20,18.85,2025-11-20,18.73,0.640683395622002,3.043246129204486,30.552465702632546,False,-0.9459,1.4341,1,1,1,100.0,36.42987249544626,36.42987249544626,19.359316604377998,0.640683395622002,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
6,85.55819747424226,73.45956510583794,605333,沪光股份,bottom_area,2025-11-20,29.29,2025-11-20,28.82,1.6308119361554434,1.9777931991672457,27.733199598796393,False,0.7915,0.5821,3,5,3,60.0,26.224818926195436,29.01840490797546,18.369188063844557,1.6308119361554434,历史3/5次成功; 当前距低点1.63%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
7,78.25429731721547,69.30190207511357,002062,宏润建设,bottom_area,2025-11-20,9.63,2025-11-18,9.32,3.326180257510735,7.081545064377684,27.751937984496124,False,0.0,2.1012,2,3,2,66.66666666666666,26.875948363286994,33.22683706070288,16.673819742489265,3.326180257510735,历史2/3次成功; 当前距低点3.33%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,71.38695333955927,60.819710144927505,600094,大名城,bottom_area,2025-11-20,4.19,2025-11-20,4.14,1.2077294685990512,3.864734299516912,30.067567567567572,False,-1.1792,1.7274,1,3,1,33.33333333333333,87.28070175438596,87.28070175438596,18.792270531400952,1.2077294685990512,历史1/3次成功; 当前距低点1.21%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
9,70.76603049407863,60.4633589087809,002123,梦网科技,bottom_area,2025-11-20,11.89,2025-11-20,11.73,1.3640238704177334,2.131287297527707,32.391930835734875,False,-0.1679,1.9072,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,18.635976129582268,1.3640238704177334,历史1/3次成功; 当前距低点1.36%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
10,70.27302374293072,58.560853119108934,600403,大有能源,bottom_area,2025-11-20,8.31,2025-11-20,8.31,0.0,9.26594464500601,30.749999999999993,False,-9.9675,4.6362,2,4,2,50.0,32.585231823166296,37.18411552346569,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
11,69.97895492690334,58.78436681222706,002664,信质集团,bottom_area,2025-11-20,23.0,2025-11-20,22.9,0.4366812227074298,3.056768558951978,27.53164556962026,False,-1.1603,1.0724,1,2,1,50.0,52.526315789473685,52.526315789473685,19.563318777292572,0.4366812227074298,历史1/2次成功; 当前距低点0.44%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
12,67.30080116020953,56.99257830209202,300730,科创信息,bottom_area,2025-11-20,13.8,2025-11-19,13.68,0.8771929824561476,7.967836257309941,29.84615384615385,False,-4.3659,10.7699,2,4,2,50.0,22.648270441355024,24.329896907216508,19.122807017543852,0.8771929824561476,历史2/4次成功; 当前距低点0.88%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
13,66.47535044158512,55.941237400362695,300611,美力科技,bottom_area,2025-11-20,26.34,2025-11-20,26.2,0.5343511450381702,3.0534351145038197,29.81516206804179,False,-1.089,2.9032,1,2,1,50.0,35.911602209944746,35.911602209944746,19.46564885496183,0.5343511450381702,历史1/2次成功; 当前距低点0.53%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
