rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.77974321181341,83.26884806143494,601127,赛力斯,bottom_area,2025-11-26,125.1,2025-11-24,122.37,2.2309389556263706,3.914358094304153,28.854651162790695,False,0.2002,0.8327,8,9,8,88.88888888888889,23.726702462585248,42.19143576826195,7.769061044373631,2.2309389556263706,历史8/9次成功; 当前距低点2.23%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
2,86.7308051056708,83.3421675249846,000619,海螺新材,bottom_area,2025-11-26,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,-0.313,3.7817,4,4,4,100.0,30.81836553898465,43.133047210300425,7.0920840064620405,2.9079159935379595,历史4/4次成功; 当前距低点2.91%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
3,86.49520785582857,81.29473578709529,002136,安纳达,bottom_area,2025-11-26,12.24,2025-11-24,12.03,1.745635910224446,6.733167082294268,30.381944444444454,False,-2.1583,5.3058,3,3,3,100.0,22.230030443048534,42.29299363057326,8.254364089775553,1.745635910224446,历史3/3次成功; 当前距低点1.75%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
4,85.84330610057269,82.03126496400988,002160,常铝股份,bottom_area,2025-11-26,5.1,2025-11-24,4.97,2.6156941649899377,5.231388329979893,28.386167146974074,False,-1.7341,5.2115,3,3,3,100.0,36.855094947241525,40.066225165562926,7.384305835010063,2.6156941649899377,历史3/3次成功; 当前距低点2.62%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
5,85.32884176310992,78.90310478447842,000661,长春高新,bottom_area,2025-11-26,99.56,2025-11-24,98.68,0.8917713822456378,2.452371301175504,30.394300627777387,False,0.1005,1.2244,3,3,3,100.0,16.270664172034742,25.03526756324649,9.108228617754364,0.8917713822456378,历史3/3次成功; 当前距低点0.89%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
6,84.69314953445847,79.6832314468083,603178,圣龙股份,bottom_area,2025-11-26,18.1,2025-11-24,17.78,1.7997750281214864,3.712035995500563,27.694184627897517,False,-1.0929,1.0509,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,8.200224971878514,1.7997750281214864,历史6/7次成功; 当前距低点1.80%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
7,84.52901324035453,79.25523473414611,002208,合肥城建,bottom_area,2025-11-26,10.67,2025-11-26,10.5,1.6190476190476182,5.809523809523804,27.785419532324617,False,-4.219,9.3902,3,3,3,100.0,19.92829734179937,27.071823204419903,8.380952380952381,1.6190476190476182,历史3/3次成功; 当前距低点1.62%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
8,83.53041333039836,78.20247251970616,603151,邦基科技,bottom_area,2025-11-26,18.45,2025-11-21,18.17,1.541001651073184,3.742432581177764,32.62884686688913,False,-0.8065,1.1094,1,1,1,100.0,36.42987249544626,36.42987249544626,8.458998348926816,1.541001651073184,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
9,83.06288649257317,77.37059391492748,688050,爱博医疗,bottom_area,2025-11-26,60.39,2025-11-21,59.63,1.2745262451785981,3.2701660238135095,28.86794703566742,False,-0.8374,0.8064,2,2,2,100.0,12.024267494272554,12.90770757525636,8.725473754821403,1.2745262451785981,历史2/2次成功; 当前距低点1.27%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
10,82.39046889171819,81.46789579158317,002825,纳尔股份,bottom_area,2025-11-26,10.42,2025-11-24,9.98,4.408817635270536,4.809619238476958,27.046783625730992,False,1.2634,2.9731,2,2,2,100.0,56.18277368277369,89.24242424242425,5.591182364729465,4.408817635270536,历史2/2次成功; 当前距低点4.41%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
11,81.78081053132361,74.76538055018307,000803,山高环能,bottom_area,2025-11-26,6.81,2025-11-26,6.79,0.2945508100147212,3.0927835051546384,29.1970802919708,False,-2.2956,2.9939,2,2,2,100.0,25.843851596863644,36.1111111111111,9.705449189985279,0.2945508100147212,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
