rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.83733329412424,82.03126496400988,002160,常铝股份,bottom_area,2025-11-26,5.1,2025-11-24,4.97,2.6156941649899377,5.231388329979893,28.386167146974074,False,-1.7341,5.2115,3,3,3,100.0,36.855094947241525,40.066225165562926,17.384305835010064,2.6156941649899377,历史3/3次成功; 当前距低点2.62%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
2,91.23197932326048,78.20247251970616,603151,邦基科技,bottom_area,2025-11-26,18.45,2025-11-21,18.17,1.541001651073184,3.742432581177764,32.62884686688913,False,-0.8065,1.1094,1,1,1,100.0,36.42987249544626,36.42987249544626,18.458998348926816,1.541001651073184,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
3,90.1932481623516,81.46789579158317,002825,纳尔股份,bottom_area,2025-11-26,10.42,2025-11-24,9.98,4.408817635270536,4.809619238476958,27.046783625730992,False,1.2634,2.9731,2,2,2,100.0,56.18277368277369,89.24242424242425,15.591182364729466,4.408817635270536,历史2/2次成功; 当前距低点4.41%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
4,89.06482724143738,76.50394669160625,600506,统一股份,bottom_area,2025-11-26,25.8,2025-11-24,25.38,1.6548463356974064,6.343577620173363,30.46575342465754,False,-2.3097,13.6285,1,1,1,100.0,28.69352869352869,28.69352869352869,18.345153664302593,1.6548463356974064,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
5,88.77856686689287,76.12654888344679,003038,鑫铂股份,bottom_area,2025-11-26,15.62,2025-11-24,15.38,1.5604681404421223,3.7061118335500547,28.76331635016211,False,-1.6992,1.9951,1,1,1,100.0,25.507614213197975,25.507614213197975,18.439531859557878,1.5604681404421223,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
6,87.72920294509457,75.57297985153764,002321,华英农业,bottom_area,2025-11-26,2.81,2025-11-25,2.76,1.8115942028985605,6.521739130434789,28.497409326424872,False,-1.4035,3.6167,1,1,1,100.0,25.609756097560986,25.609756097560986,18.18840579710144,1.8115942028985605,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
7,86.59574428841132,72.87376869391822,600550,保变电气,bottom_area,2025-11-26,9.4,2025-11-26,9.35,0.5347593582887776,3.529411764705883,28.076923076923077,False,-2.8926,4.2572,1,1,1,100.0,35.285053929121716,35.285053929121716,19.465240641711222,0.5347593582887776,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
8,86.51723395614778,74.51284424278049,603178,圣龙股份,bottom_area,2025-11-26,18.1,2025-11-24,17.78,1.7997750281214864,3.712035995500563,27.694184627897517,False,-1.0929,1.0509,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,18.200224971878516,1.7997750281214864,历史5/7次成功; 当前距低点1.80%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
9,86.35358457279426,75.51196690273015,603173,福斯达,bottom_area,2025-11-26,37.82,2025-11-24,36.85,2.632293080054271,4.640434192673001,32.86573146292585,False,-0.6306,1.9259,1,1,1,100.0,35.34190927555856,35.34190927555856,17.36770691994573,2.632293080054271,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
10,84.66777732250286,74.75585848199341,601011,宝泰隆,bottom_area,2025-11-26,3.59,2025-11-24,3.48,3.160919540229881,5.172413793103453,28.395061728395067,False,-1.3736,3.3446,4,5,4,80.0,31.090080826438378,34.951456310679596,16.83908045977012,3.160919540229881,历史4/5次成功; 当前距低点3.16%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
11,84.23974398163645,74.03520545847464,000619,海螺新材,bottom_area,2025-11-26,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,-0.313,3.7817,3,4,3,75.0,34.947601740544016,43.133047210300425,17.09208400646204,2.9079159935379595,历史3/4次成功; 当前距低点2.91%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
12,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-11-26,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,81.98966151629588,74.56552846480054,300072,海新能科,bottom_area,2025-11-26,4.6,2025-11-24,4.39,4.783599088838268,7.5170842824601385,31.29890453834116,True,-1.2876,2.3256,1,1,1,100.0,47.4308300395257,47.4308300395257,15.216400911161731,4.783599088838268,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
14,81.72872209704938,70.94566200605684,601127,赛力斯,bottom_area,2025-11-26,125.1,2025-11-24,122.37,2.2309389556263706,3.914358094304153,28.854651162790695,False,0.2002,0.8327,5,9,5,55.55555555555556,29.69523621503266,42.19143576826195,17.76906104437363,2.2309389556263706,历史5/9次成功; 当前距低点2.23%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
15,78.80500326938493,67.64139355029042,688337,普源精电,bottom_area,2025-11-26,36.5,2025-11-21,35.92,1.6146993318485476,5.066815144766148,28.159999999999997,False,-1.8817,0.9428,3,6,3,50.0,38.886602295188766,54.46153846153845,18.38530066815145,1.6146993318485476,历史3/6次成功; 当前距低点1.61%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
16,77.73682739219208,66.72984298267815,002208,合肥城建,bottom_area,2025-11-26,10.67,2025-11-26,10.5,1.6190476190476182,5.809523809523804,27.785419532324617,False,-4.219,9.3902,2,3,2,66.66666666666666,24.80970369591419,27.071823204419903,18.380952380952383,1.6190476190476182,历史2/3次成功; 当前距低点1.62%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
17,77.08907711777053,64.70065678719843,605333,沪光股份,bottom_area,2025-11-26,28.38,2025-11-24,28.27,0.38910505836575676,2.9006013441811116,29.112337011033105,False,-1.4583,0.6042,3,5,3,60.0,26.224818926195436,29.01840490797546,19.610894941634243,0.38910505836575676,历史3/5次成功; 当前距低点0.39%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
18,75.91168316118187,69.21921739130435,600815,厦工股份,bottom_area,2025-11-26,3.62,2025-11-24,3.45,4.927536231884055,11.594202898550723,29.591836734693878,True,-3.2086,6.2711,1,1,1,100.0,30.666666666666664,30.666666666666664,15.072463768115945,4.927536231884055,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-3.21%; 状态bottom_area; 底部已确认
19,74.49787561505815,64.45789078336372,002326,永太科技,bottom_area,2025-11-26,23.87,2025-11-25,23.39,2.052159042325782,6.113723813595552,29.12121212121212,False,-1.8503,9.2598,2,4,2,50.0,27.133405375626396,29.837587006960554,17.94784095767422,2.052159042325782,历史2/4次成功; 当前距低点2.05%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
20,73.98194114942753,65.19509886258837,000572,海马汽车,bottom_area,2025-11-26,8.77,2025-11-24,8.51,3.055229142185661,14.218566392479445,29.260182876142977,True,-2.2297,17.8176,3,7,3,42.857142857142854,49.67522975990913,95.5116696588869,16.94477085781434,3.055229142185661,历史3/7次成功; 当前距低点3.06%; 最新日涨幅-2.23%; 状态bottom_area; 底部已确认
21,72.97676136232994,66.10185260377801,688008,澜起科技,bottom_area,2025-11-26,117.11,2025-11-24,112.0,4.562499999999999,6.46428571428571,29.506545820745217,False,0.7051,1.9365,2,4,2,50.0,44.270712923537644,62.20095693779905,15.437500000000002,4.562499999999999,历史2/4次成功; 当前距低点4.56%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
22,72.3504522111618,64.22335636408701,002337,赛象科技,bottom_area,2025-11-26,5.99,2025-11-21,5.79,3.4542314335060476,5.1813471502590644,29.47624847746651,False,-0.3328,1.9672,2,4,2,50.0,43.059161464950556,60.465116279069754,16.545768566493955,3.4542314335060476,历史2/4次成功; 当前距低点3.45%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
23,71.32600513506887,61.01381162156494,600939,重庆建工,bottom_area,2025-11-26,3.55,2025-11-21,3.5,1.4285714285714235,4.571428571428576,27.23492723492723,False,0.2825,1.405,1,3,1,33.33333333333333,31.277533039647576,31.277533039647576,18.571428571428577,1.4285714285714235,历史1/3次成功; 当前距低点1.43%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
24,70.52164936072353,59.95147079521463,600104,上汽集团,bottom_area,2025-11-26,14.86,2025-11-21,14.7,1.0884353741496609,2.108843537414969,28.74454677653902,False,-0.4021,0.2732,1,2,1,50.0,24.425287356321842,24.425287356321842,18.911564625850342,1.0884353741496609,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
