rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.5611270310181,82.0482195457014,605333,沪光股份,bottom_area,2025-11-27,28.55,2025-11-27,28.25,1.0619469026548698,1.946902654867259,29.162487462387165,False,0.599,0.4656,1,1,1,100.0,28.76052948255115,28.76052948255115,18.938053097345133,1.0619469026548698,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
2,95.49475837822015,81.18147079521464,600104,上汽集团,bottom_area,2025-11-27,14.86,2025-11-21,14.7,1.0884353741496609,2.1768707482993217,28.74454677653902,False,0.0,0.2592,1,1,1,100.0,24.425287356321842,24.425287356321842,18.911564625850342,1.0884353741496609,历史1/1次成功; 当前距低点1.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,91.98579666959088,81.03384280567921,603178,圣龙股份,bottom_area,2025-11-27,18.32,2025-11-24,17.78,3.0371203599550007,4.049493813273334,27.694184627897517,False,1.2155,1.1928,1,1,1,100.0,47.51869476546566,47.51869476546566,16.962879640045,3.0371203599550007,历史1/1次成功; 当前距低点3.04%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
4,91.6100529659774,80.51269831584933,000619,海螺新材,bottom_area,2025-11-27,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,0.0,3.0708,1,1,1,100.0,43.133047210300425,43.133047210300425,17.09208400646204,2.9079159935379595,历史1/1次成功; 当前距低点2.91%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,90.72403590854792,80.48352512425548,002160,常铝股份,bottom_area,2025-11-27,5.14,2025-11-24,4.97,3.420523138832997,8.249496981891351,28.386167146974074,True,0.7843,9.2273,1,1,1,100.0,40.066225165562926,40.066225165562926,16.579476861167002,3.420523138832997,历史1/1次成功; 当前距低点3.42%; 最新日涨幅0.78%; 状态bottom_area; 底部已确认
6,90.01538063883643,79.59497561827914,002136,安纳达,bottom_area,2025-11-27,12.42,2025-11-24,12.03,3.2418952618453916,6.733167082294268,30.381944444444454,False,1.4706,5.3631,1,1,1,100.0,42.29299363057326,42.29299363057326,16.75810473815461,3.2418952618453916,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
7,89.27517383842407,76.50107340173639,002208,合肥城建,bottom_area,2025-11-27,10.66,2025-11-26,10.5,1.5238095238095253,5.809523809523804,27.785419532324617,False,-0.0937,6.9292,1,1,1,100.0,27.071823204419903,27.071823204419903,18.476190476190478,1.5238095238095253,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
8,88.47273214974985,75.84698417438042,002374,中锐股份,bottom_area,2025-11-27,3.28,2025-11-24,3.23,1.5479876160990658,8.668730650154794,30.237580993520517,True,-5.4755,8.1887,1,1,1,100.0,24.873096446700508,24.873096446700508,18.452012383900936,1.5479876160990658,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-5.48%; 状态bottom_area; 底部已确认
9,87.50560216604401,73.3551559531467,600550,保变电气,bottom_area,2025-11-27,9.3,2025-11-27,9.27,0.323624595469268,2.588996763754048,28.692307692307693,False,-1.0638,3.0992,1,1,1,100.0,35.285053929121716,35.285053929121716,19.67637540453073,0.323624595469268,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
10,87.17276914588582,73.23632693254554,000803,山高环能,bottom_area,2025-11-27,6.8,2025-11-27,6.77,0.4431314623338294,1.3293943870014882,29.405630865484884,False,-0.1468,1.9226,1,1,1,100.0,36.1111111111111,36.1111111111111,19.556868537666173,0.4431314623338294,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
11,86.98829123970614,76.74868152323873,003038,鑫铂股份,bottom_area,2025-11-27,15.86,2025-11-24,15.38,3.1209362808842562,5.7867360208062335,28.76331635016211,False,1.5365,2.6356,1,1,1,100.0,25.507614213197975,25.507614213197975,16.879063719115745,3.1209362808842562,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
12,85.73155834765936,71.72303393482908,603366,日出东方,bottom_area,2025-11-27,9.39,2025-11-27,9.37,0.21344717182498774,2.454642475987198,30.07462686567165,False,-1.5723,4.3577,1,1,1,100.0,25.15964240102172,25.15964240102172,19.786552828175015,0.21344717182498774,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
13,85.05574510212084,71.60333837975172,600506,统一股份,bottom_area,2025-11-27,25.4,2025-11-27,25.26,0.5542359461599248,2.7315914489311073,30.794520547945204,False,-1.5504,11.9474,1,1,1,100.0,28.69352869352869,28.69352869352869,19.445764053840076,0.5542359461599248,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
14,84.52367983017174,75.81162561576356,601011,宝泰隆,bottom_area,2025-11-27,3.62,2025-11-24,3.48,4.02298850574713,5.172413793103453,28.395061728395067,False,0.8357,3.6764,1,1,1,100.0,31.527093596059125,31.527093596059125,15.97701149425287,4.02298850574713,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
15,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-11-27,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,82.15648295201117,74.04743250308701,002578,闽发铝业,bottom_area,2025-11-27,3.89,2025-11-21,3.73,4.289544235924937,11.528150134048262,30.410447761194032,True,-1.269,6.3985,1,1,1,100.0,38.589211618257245,38.589211618257245,15.710455764075066,4.289544235924937,历史1/1次成功; 当前距低点4.29%; 最新日涨幅-1.27%; 状态bottom_area; 底部已确认
17,81.57486193056003,71.88364826507559,002338,奥普光电,bottom_area,2025-11-27,50.29,2025-11-21,48.8,3.0532786885245944,5.389344262295088,30.632551528073915,False,-0.6126,1.0822,1,1,1,100.0,20.995288574793882,20.995288574793882,16.946721311475407,3.0532786885245944,历史1/1次成功; 当前距低点3.05%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
18,81.1777705010765,71.81460100319197,002309,中利集团,bottom_area,2025-11-27,3.16,2025-11-21,3.06,3.2679738562091534,6.862745098039215,29.49308755760368,False,-0.6289,2.7849,1,1,1,100.0,23.25581395348837,23.25581395348837,16.732026143790847,3.2679738562091534,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
19,77.43866844811795,70.3055813412079,688249,晶合集成,bottom_area,2025-11-27,28.8,2025-11-24,27.51,4.689203925845144,7.77898945837876,27.02917771883289,True,-0.3805,1.6775,1,1,1,100.0,23.370786516853933,23.370786516853933,15.310796074154858,4.689203925845144,历史1/1次成功; 当前距低点4.69%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
20,65.31928028000931,57.434615903749034,300730,科创信息,bottom_area,2025-11-27,13.68,2025-11-24,13.29,2.934537246049666,8.803611738148998,31.84615384615385,True,-0.2915,3.7677,1,2,1,50.0,24.329896907216508,24.329896907216508,17.065462753950335,2.934537246049666,历史1/2次成功; 当前距低点2.93%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
21,59.63154070289569,53.89180626308099,603767,中马传动,bottom_area,2025-11-27,23.06,2025-11-21,22.08,4.438405797101452,5.9329710144927645,27.725040916530286,False,0.5231,1.304,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,15.561594202898549,4.438405797101452,历史1/3次成功; 当前距低点4.44%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
