rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.11674706209952,75.09461405467431,000803,山高环能,bottom_area,2025-12-03,6.67,2025-12-03,6.66,0.15015015015014693,2.1021021021020974,30.5526590198123,False,-1.3314,2.147,2,2,2,100.0,25.843851596863644,36.1111111111111,14.849849849849853,0.15015015015014693,历史2/2次成功; 当前距低点0.15%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
2,85.66071130085439,78.72042595910578,300072,海新能科,bottom_area,2025-12-03,4.52,2025-11-24,4.39,2.961275626423688,7.972665148063794,31.29890453834116,True,-1.9523,1.5829,1,1,1,100.0,47.4308300395257,47.4308300395257,12.038724373576311,2.961275626423688,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-1.95%; 状态bottom_area; 底部已确认
3,85.51059451650443,75.88871824483788,600506,统一股份,bottom_area,2025-12-03,25.01,2025-12-03,24.74,1.0913500404203846,7.922392886014555,32.21917808219178,False,-4.2496,15.7194,1,1,1,100.0,28.69352869352869,28.69352869352869,13.908649959579614,1.0913500404203846,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
4,83.60657212236262,73.30210378002535,603151,邦基科技,bottom_area,2025-12-03,18.25,2025-11-21,18.17,0.44028618602090414,4.237754540451291,32.62884686688913,False,-0.8691,1.0985,1,1,1,100.0,36.42987249544626,36.42987249544626,14.559713813979094,0.44028618602090414,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
5,82.97699382302814,77.50907471582097,002664,信质集团,bottom_area,2025-12-03,22.73,2025-11-24,21.89,3.837368661489264,7.446322521699401,30.727848101265824,True,-0.7857,1.1271,2,2,2,100.0,34.990727225895085,52.526315789473685,11.162631338510735,3.837368661489264,历史2/2次成功; 当前距低点3.84%; 最新日涨幅-0.79%; 状态bottom_area; 底部已确认
6,82.92298340811902,72.8471183914724,600550,保变电气,bottom_area,2025-12-03,9.2,2025-12-03,9.15,0.5464480874316823,2.73224043715847,29.61538461538461,False,-2.1277,2.3594,1,1,1,100.0,35.285053929121716,35.285053929121716,14.453551912568315,0.5464480874316823,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
7,82.11548501209167,75.68540559553027,603938,三孚股份,bottom_area,2025-12-03,17.85,2025-11-21,17.31,3.119584055459288,8.08781051415368,27.45180217937972,False,0.4502,2.5918,1,1,1,100.0,19.774501300954046,19.774501300954046,11.880415944540712,3.119584055459288,历史1/1次成功; 当前距低点3.12%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
8,81.58366582575634,74.89324234370709,603173,福斯达,bottom_area,2025-12-03,37.92,2025-11-24,36.85,2.9036635006784266,5.427408412483039,32.86573146292585,False,-0.2105,2.3296,1,1,1,100.0,35.34190927555856,35.34190927555856,12.096336499321572,2.9036635006784266,历史1/1次成功; 当前距低点2.90%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
9,80.96218050716227,75.43897018970193,002321,华英农业,bottom_area,2025-12-03,2.8,2025-12-02,2.7,3.7037037037036904,6.296296296296293,30.051813471502587,False,1.4493,3.7514,1,1,1,100.0,25.609756097560986,25.609756097560986,11.29629629629631,3.7037037037036904,历史1/1次成功; 当前距低点3.70%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
10,80.13007393700651,74.71644749021004,688766,普冉股份,bottom_area,2025-12-03,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,11.258333333333336,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,79.95496149426135,70.67671880113681,300035,中科电气,bottom_area,2025-12-03,20.67,2025-12-03,20.49,0.8784773060029443,3.367496339677898,28.854166666666675,False,-1.7118,4.7884,1,1,1,100.0,27.686274509803933,27.686274509803933,14.121522693997054,0.8784773060029443,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
12,79.76100758269382,73.16165941660672,003038,鑫铂股份,bottom_area,2025-12-03,15.82,2025-11-24,15.38,2.86085825747724,5.7867360208062335,28.76331635016211,False,-0.5657,1.6169,1,1,1,100.0,25.507614213197975,25.507614213197975,12.139141742522758,2.86085825747724,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
13,79.0340276981565,74.63173913043481,688588,凌志软件,bottom_area,2025-12-03,14.41,2025-11-24,13.8,4.420289855072459,11.376811594202888,30.999999999999993,True,-1.3014,1.044,1,1,1,100.0,43.33333333333334,43.33333333333334,10.57971014492754,4.420289855072459,历史1/1次成功; 当前距低点4.42%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
14,78.277265633692,69.11539781819069,301291,明阳电气,bottom_area,2025-12-03,40.68,2025-12-03,40.35,0.8178438661709994,2.3296158612143683,27.4932614555256,False,-0.4162,2.1871,1,1,1,100.0,18.54882705946537,18.54882705946537,14.182156133828999,0.8178438661709994,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
15,77.97478418303281,69.02635380408535,603178,圣龙股份,bottom_area,2025-12-03,17.95,2025-11-24,17.78,0.9561304836895284,4.668166479190091,27.694184627897517,False,-1.8053,1.4359,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,14.043869516310469,0.9561304836895284,历史5/7次成功; 当前距低点0.96%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
16,75.67729971395656,72.03532248466792,600333,长春燃气,bottom_area,2025-12-03,6.27,2025-11-24,5.98,4.849498327759183,9.866220735785951,27.51515151515151,True,-0.4762,4.5953,2,2,2,100.0,17.96870253741318,19.69026548672568,10.150501672240816,4.849498327759183,历史2/2次成功; 当前距低点4.85%; 最新日涨幅-0.48%; 状态bottom_area; 底部已确认
17,75.48204481545348,69.99380848923025,688237,超卓航科,bottom_area,2025-12-03,46.55,2025-12-03,45.0,3.444444444444438,7.31111111111111,27.976952624839946,False,1.1957,4.0675,3,5,3,60.0,29.82334313206218,41.301843317972356,11.55555555555556,3.444444444444438,历史3/5次成功; 当前距低点3.44%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
18,75.36396121102204,67.51979032964354,002338,奥普光电,bottom_area,2025-12-03,49.58,2025-11-21,48.8,1.5983606557377072,5.594262295081975,30.632551528073915,False,-1.666,1.3578,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,13.401639344262293,1.5983606557377072,历史2/3次成功; 当前距低点1.60%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
19,74.6906309277245,65.77312187856738,300598,诚迈科技,bottom_area,2025-12-03,46.22,2025-12-03,45.91,0.6752341537791381,3.79002395992159,28.265625000000007,False,-2.5306,3.8645,3,5,3,60.0,35.49814918916024,45.24950099800398,14.32476584622086,0.6752341537791381,历史3/5次成功; 当前距低点0.68%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
20,74.58445329672436,70.19584013050573,300258,精锻科技,bottom_area,2025-12-03,12.78,2025-11-21,12.26,4.2414355628058695,7.748776508972275,29.418537708693155,True,-1.1601,1.0789,1,1,1,100.0,17.29200652528549,17.29200652528549,10.75856443719413,4.2414355628058695,历史1/1次成功; 当前距低点4.24%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
21,74.41231625499115,69.30193365611231,601127,赛力斯,bottom_area,2025-12-03,126.87,2025-11-24,122.37,3.6773719048786466,7.232164746261334,28.854651162790695,True,-1.5749,0.8195,6,9,6,66.66666666666666,27.793951250370768,42.19143576826195,11.322628095121354,3.6773719048786466,历史6/9次成功; 当前距低点3.68%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
22,73.04830373262827,68.78037131497176,688665,四方光电,bottom_area,2025-12-03,47.67,2025-11-21,45.72,4.265091863517067,5.599300087489069,27.715415019762844,False,-0.0419,0.5658,1,1,1,100.0,19.16548797736917,19.16548797736917,10.734908136482932,4.265091863517067,历史1/1次成功; 当前距低点4.27%; 最新日涨幅-0.04%; 状态bottom_area; 底部未确认
23,72.16056907846854,66.82411821925696,603197,保隆科技,bottom_area,2025-12-03,35.25,2025-11-21,34.1,3.3724340175953036,4.516129032258062,27.431368376250266,False,-0.2829,0.6217,4,6,4,66.66666666666666,19.927962971546176,23.07435811937312,11.627565982404695,3.3724340175953036,历史4/6次成功; 当前距低点3.37%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
24,71.62257277336595,62.83384343893182,688337,普源精电,bottom_area,2025-12-03,36.09,2025-11-21,35.92,0.4732739420935459,5.066815144766148,28.159999999999997,False,-0.8789,0.616,3,6,3,50.0,38.886602295188766,54.46153846153845,14.526726057906453,0.4732739420935459,历史3/6次成功; 当前距低点0.47%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
25,71.07695045796915,63.40800884737454,600696,退市岩石,bottom_area,2025-12-03,4.44,2025-12-03,4.38,1.3698630136986416,6.164383561643846,28.66449511400651,False,-2.4176,2.4142,1,2,1,50.0,46.45858343337334,46.45858343337334,13.630136986301359,1.3698630136986416,历史1/2次成功; 当前距低点1.37%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
26,67.06379715608891,58.53477765714379,000002,万科A,bottom_area,2025-12-03,5.01,2025-12-03,5.0,0.19999999999999576,4.6000000000000085,29.971988795518207,False,-3.6538,2.8738,2,4,2,50.0,22.638589554536463,28.255902513328245,14.800000000000004,0.19999999999999576,历史2/4次成功; 当前距低点0.20%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
27,66.92058169513727,58.530592709258976,600383,金地集团,bottom_area,2025-12-03,3.23,2025-12-03,3.22,0.3105590062111735,3.7267080745341503,29.38596491228069,False,-3.003,2.603,2,4,2,50.0,23.971329265701364,32.594936708860764,14.689440993788827,0.3105590062111735,历史2/4次成功; 当前距低点0.31%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
28,66.3252750595332,59.436200355873446,000661,长春高新,bottom_area,2025-12-03,100.27,2025-11-24,98.68,1.6112687474665475,2.452371301175504,30.394300627777387,False,1.3033,1.2247,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,13.388731252533454,1.6112687474665475,历史1/3次成功; 当前距低点1.61%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
29,65.75180400030831,60.446346789347494,603127,昭衍新药,bottom_area,2025-12-03,27.64,2025-11-21,26.84,2.9806259314456063,8.792846497764529,29.33122696155871,True,-0.2166,1.6646,1,2,1,50.0,41.08695652173912,41.08695652173912,12.019374068554393,2.9806259314456063,历史1/2次成功; 当前距低点2.98%; 最新日涨幅-0.22%; 状态bottom_area; 底部已确认
30,63.48559818804292,55.504056224899614,002017,东信和平,bottom_area,2025-12-03,20.81,2025-12-03,20.75,0.2891566265060179,2.891566265060248,28.126082438517496,False,-2.2086,1.727,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,14.710843373493981,0.2891566265060179,历史1/3次成功; 当前距低点0.29%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
31,63.19048083429204,59.05880729402251,603366,日出东方,bottom_area,2025-12-03,9.67,2025-11-28,9.31,3.8668098818474697,9.022556390977442,30.522388059701488,True,-3.3,6.0689,2,4,2,50.0,21.371687229219,25.15964240102172,11.13319011815253,3.8668098818474697,历史2/4次成功; 当前距低点3.87%; 最新日涨幅-3.30%; 状态bottom_area; 底部已确认
32,59.40306115620268,55.76333602177639,002468,申通快递,bottom_area,2025-12-03,14.21,2025-11-21,13.65,4.102564102564106,6.2271062271062245,31.988041853512705,False,0.9233,0.9873,1,2,1,50.0,16.382699868938413,16.382699868938413,10.897435897435894,4.102564102564106,历史1/2次成功; 当前距低点4.10%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
