rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.56448595963997,82.13239230138359,300358,楚天科技,bottom_area,2025-12-12,9.06,2025-12-05,8.96,1.1160714285714244,4.575892857142839,27.74193548387096,False,0.2212,2.4308,3,4,3,75.0,34.04319977702382,38.205499276411004,18.883928571428577,1.1160714285714244,历史3/4次成功; 当前距低点1.12%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
2,96.06690211014997,82.23548757366389,688365,光云科技,bottom_area,2025-12-12,16.6,2025-12-12,16.36,1.466992665036687,2.4449877750611377,28.83862548934319,False,0.1206,3.4354,1,1,1,100.0,34.732423924449115,34.732423924449115,18.533007334963315,1.466992665036687,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
3,94.29256068719228,81.57487427466152,002418,康盛股份,bottom_area,2025-12-12,4.49,2025-12-05,4.4,2.045454545454542,7.954545454545446,27.031509121061358,True,0.0,2.8961,1,1,1,100.0,29.078014184397176,29.078014184397176,17.95454545454546,2.045454545454542,历史1/1次成功; 当前距低点2.05%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
4,91.89601944484052,76.67531886024423,301001,凯淳股份,bottom_area,2025-12-12,29.5,2025-12-12,29.48,0.06784260515603655,2.578018995929437,28.86100386100386,False,-1.9608,5.3688,1,1,1,100.0,58.89483065953654,58.89483065953654,19.932157394843962,0.06784260515603655,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
5,91.37763448561921,78.16978293585044,300437,清水源,bottom_area,2025-12-12,18.43,2025-12-11,18.17,1.430930104567958,8.860759493670882,29.299610894941626,True,0.163,22.1289,6,9,6,66.66666666666666,25.46041348171349,30.330330330330323,18.569069895432044,1.430930104567958,历史6/9次成功; 当前距低点1.43%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
6,90.82986433014277,78.40675033294504,603178,圣龙股份,bottom_area,2025-12-12,18.0,2025-12-05,17.66,1.925254813137032,4.0203850509626315,28.182187881252542,False,0.6711,0.7514,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,18.07474518686297,1.925254813137032,历史5/7次成功; 当前距低点1.93%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
7,89.03898653487335,78.01695362101748,300035,中科电气,bottom_area,2025-12-12,20.98,2025-12-05,20.42,2.7424094025465164,5.729676787463261,29.097222222222218,False,0.5753,2.9444,1,1,1,100.0,27.686274509803933,27.686274509803933,17.257590597453483,2.7424094025465164,历史1/1次成功; 当前距低点2.74%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
8,85.87692646901166,71.82382335827931,003038,鑫铂股份,bottom_area,2025-12-12,15.21,2025-12-12,15.18,0.1976284584980312,2.108036890645588,29.68967114404817,False,-0.6532,1.4935,1,1,1,100.0,25.507614213197975,25.507614213197975,19.80237154150197,0.1976284584980312,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
9,83.5783064206625,69.64858868388542,603030,全筑股份,bottom_area,2025-12-12,2.91,2025-12-12,2.91,0.0,2.0618556701030943,27.611940298507452,False,-1.6892,2.106,5,7,5,71.42857142857143,35.553088162210365,51.87969924812029,20.0,0.0,历史5/7次成功; 当前距低点0.00%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
10,82.39613773167835,72.96516330455441,300768,迪普科技,bottom_area,2025-12-12,19.28,2025-12-05,18.66,3.3226152197213343,6.216505894962488,27.05238467552775,False,1.4737,1.6635,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,16.67738478027867,3.3226152197213343,历史2/3次成功; 当前距低点3.32%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
11,78.3611243916794,68.87018075417785,688337,普源精电,bottom_area,2025-12-12,36.79,2025-12-04,35.75,2.9090909090909065,5.398601398601397,28.499999999999996,False,2.4791,0.8029,3,6,3,50.0,38.886602295188766,54.46153846153845,17.090909090909097,2.9090909090909065,历史3/6次成功; 当前距低点2.91%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
