rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.91287280231523,84.8051278649128,600048,保利发展,bottom_area,2025-12-25,6.28,2025-12-17,6.19,1.4539579967689797,2.9079159935379595,27.60233918128655,False,0.3195,0.5508,2,2,2,100.0,31.721247836269217,31.987577639751546,13.54604200323102,1.4539579967689797,历史2/2次成功; 当前距低点1.45%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
2,79.40694568977273,74.33055789310248,603072,天和磁材,bottom_area,2025-12-25,41.05,2025-12-17,39.49,3.950367181564941,4.482147379083302,27.05947543405984,False,0.9095,2.8126,1,1,1,100.0,22.674167027260935,22.674167027260935,11.04963281843506,3.950367181564941,历史1/1次成功; 当前距低点3.95%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
3,78.00472416165368,68.59774712888674,603322,超讯通信,bottom_area,2025-12-25,38.43,2025-12-25,38.2,0.6020942408376881,1.649214659685852,30.93473151328873,False,-1.0046,5.2741,5,7,5,71.42857142857143,25.025847915496684,39.45833333333333,14.39790575916231,0.6020942408376881,历史5/7次成功; 当前距低点0.60%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
4,76.98967759396403,69.0153121945605,600383,金地集团,bottom_area,2025-12-25,3.12,2025-12-15,3.07,1.6286644951140152,4.234527687296428,32.675438596491226,False,0.6452,1.0213,2,4,2,50.0,23.971329265701364,32.594936708860764,13.371335504885984,1.6286644951140152,历史2/4次成功; 当前距低点1.63%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
5,76.27059178806095,71.4459891634138,300768,迪普科技,bottom_area,2025-12-25,18.77,2025-12-17,18.05,3.988919667590021,4.653739612188365,29.43706020328381,False,0.1067,1.0191,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,11.011080332409978,3.988919667590021,历史2/3次成功; 当前距低点3.99%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
6,72.26983061219725,66.32423339517501,603038,华立股份,bottom_area,2025-12-25,16.03,2025-12-17,15.58,2.888318356867786,5.0064184852374805,29.661399548532724,False,0.2502,1.3294,2,4,2,50.0,24.944081982976137,28.753412192902637,12.111681643132213,2.888318356867786,历史2/4次成功; 当前距低点2.89%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
7,71.96835457953765,68.30440671246826,000692,惠天热电,bottom_area,2025-12-25,3.57,2025-12-17,3.41,4.6920821114369415,6.744868035190615,28.511530398322844,False,1.1331,3.8908,3,5,3,60.0,36.0341608954005,59.042553191489375,10.307917888563058,4.6920821114369415,历史3/5次成功; 当前距低点4.69%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
8,68.6407693513277,65.40859046573996,002129,TCL中环,bottom_area,2025-12-25,8.55,2025-12-16,8.15,4.907975460122704,5.153374233128833,29.253472222222214,False,0.3521,1.3279,2,3,2,66.66666666666666,25.33391316211329,31.12759643916912,10.092024539877295,4.907975460122704,历史2/3次成功; 当前距低点4.91%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
9,66.14701002670333,61.24381540762316,600161,天坛生物,bottom_area,2025-12-25,16.6,2025-12-24,16.06,3.3623910336239273,4.794520547945203,27.264492753623188,False,0.0,0.3906,1,2,1,50.0,36.77455357142857,36.77455357142857,11.637608966376073,3.3623910336239273,历史1/2次成功; 当前距低点3.36%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,64.9125925475774,61.71445993913576,002317,众生药业,bottom_area,2025-12-25,19.49,2025-12-23,18.6,4.784946236559123,6.4516129032258025,31.617647058823522,False,0.1542,5.4324,2,5,2,40.0,45.076007303712714,58.31999999999999,10.215053763440876,4.784946236559123,历史2/5次成功; 当前距低点4.78%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
11,64.64044191745616,61.133017351122106,600250,南京商旅,bottom_area,2025-12-25,12.07,2025-12-24,11.55,4.502164502164498,5.367965367965361,28.171641791044767,False,1.2584,11.2969,3,7,3,42.857142857142854,32.29313894961615,53.93258426966293,10.497835497835501,4.502164502164498,历史3/7次成功; 当前距低点4.50%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
