rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.6326076336118,81.3617999166091,600048,保利发展,bottom_area,2025-12-26,6.26,2025-12-17,6.19,1.1308562197091987,2.9079159935379595,27.60233918128655,False,-0.3185,0.6013,2,2,2,100.0,31.721247836269217,31.987577639751546,18.869143780290802,1.1308562197091987,历史2/2次成功; 当前距低点1.13%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
2,82.26469935265735,73.92640494298853,603072,天和磁材,bottom_area,2025-12-26,41.12,2025-12-17,39.49,4.127627247404394,4.93795897695618,27.05947543405984,False,0.1705,2.9226,1,1,1,100.0,22.674167027260935,22.674167027260935,15.872372752595606,4.127627247404394,历史1/1次成功; 当前距低点4.13%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
3,80.93230075290457,71.93879482723598,603679,华体科技,bottom_area,2025-12-26,15.55,2025-12-24,15.02,3.528628495339555,6.8575233022636555,29.284369114877585,False,-2.0164,11.0997,1,1,1,100.0,27.118644067796616,27.118644067796616,16.471371504660446,3.528628495339555,历史1/1次成功; 当前距低点3.53%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
4,78.16477283207195,70.561778637098,300768,迪普科技,bottom_area,2025-12-26,18.84,2025-12-17,18.05,4.376731301939054,5.7063711911357204,29.43706020328381,False,0.3729,1.5049,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,15.623268698060947,4.376731301939054,历史2/3次成功; 当前距低点4.38%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
5,76.0842231710329,65.21740412688234,603038,华立股份,bottom_area,2025-12-26,15.82,2025-12-17,15.58,1.5404364569961502,5.0064184852374805,29.661399548532724,False,-1.31,1.5026,2,4,2,50.0,24.944081982976137,28.753412192902637,18.459563543003853,1.5404364569961502,历史2/4次成功; 当前距低点1.54%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
6,76.03211746610916,67.80805763218703,603327,福蓉科技,bottom_area,2025-12-26,10.9,2025-12-19,10.51,3.710751665080881,7.4215033301617455,29.651941097724226,False,-1.6245,3.428,4,7,4,57.14285714285714,60.30969475756576,129.39632545931758,16.289248334919122,3.710751665080881,历史4/7次成功; 当前距低点3.71%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
7,75.78806379050263,65.2823883255959,605580,恒盛能源,bottom_area,2025-12-26,25.9,2025-12-25,25.44,1.80817610062892,11.635220125786153,29.878721058434397,True,-4.8843,7.8583,2,4,2,50.0,29.596934596934588,31.531531531531513,18.19182389937108,1.80817610062892,历史2/4次成功; 当前距低点1.81%; 最新日涨幅-4.88%; 状态bottom_area; 底部已确认
8,75.162947604958,66.79889351598733,000692,惠天热电,bottom_area,2025-12-26,3.53,2025-12-17,3.41,3.5190615835777024,6.744868035190615,28.511530398322844,False,-1.1204,2.8578,3,5,3,60.0,36.0341608954005,59.042553191489375,16.480938416422298,3.5190615835777024,历史3/5次成功; 当前距低点3.52%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
9,70.51858902321888,60.544303178988145,600383,金地集团,bottom_area,2025-12-26,3.12,2025-12-15,3.07,1.6286644951140152,4.234527687296428,32.675438596491226,False,0.0,1.2613,1,4,1,25.0,32.594936708860764,32.594936708860764,18.371335504885984,1.6286644951140152,历史1/4次成功; 当前距低点1.63%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,70.17164657250825,58.78745770231457,603322,超讯通信,bottom_area,2025-12-26,38.11,2025-12-26,38.0,0.28947368421052483,1.7894736842105254,31.29632977761707,False,-0.8327,4.6828,3,7,3,42.857142857142854,30.354995327344025,39.45833333333333,19.710526315789476,0.28947368421052483,历史3/7次成功; 当前距低点0.29%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
11,68.9605404237805,60.40274374064365,600222,太龙药业,bottom_area,2025-12-26,6.79,2025-12-16,6.61,2.7231467473524917,8.623298033282895,29.978813559322028,True,-2.1614,3.5644,1,2,1,50.0,37.696335078534034,37.696335078534034,17.27685325264751,2.7231467473524917,历史1/2次成功; 当前距低点2.72%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
