rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.13818697178607,84.14067524115755,002300,太阳电缆,bottom_area,2025-12-29,9.58,2025-12-24,9.33,2.679528403001072,9.431939978563781,27.897990726429672,True,-3.1345,9.1957,3,3,3,100.0,50.34643279142729,75.7716049382716,17.320471596998928,2.679528403001072,历史3/3次成功; 当前距低点2.68%; 最新日涨幅-3.13%; 状态bottom_area; 底部已确认
2,91.12277798946917,76.1612200587111,600048,保利发展,bottom_area,2025-12-29,6.19,2025-12-29,6.18,0.16181229773463876,1.7799352750809114,27.719298245614045,False,-1.1182,1.0059,2,2,2,100.0,31.721247836269217,31.987577639751546,19.838187702265362,0.16181229773463876,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
3,90.45677076864824,75.38064230720687,000430,张家界,bottom_area,2025-12-29,7.21,2025-12-29,7.21,0.0,0.0,28.543111992071356,False,4.9491,0.0399,3,4,3,75.0,36.15936724304767,53.99999999999999,20.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅4.95%; 状态bottom_area; 底部未确认
4,90.09683237535248,77.38459395034678,002910,庄园牧场,bottom_area,2025-12-29,11.7,2025-12-29,11.51,1.6507384882710645,4.51781059947871,28.10743285446597,False,-1.2658,13.1502,1,1,1,100.0,33.37783711615487,33.37783711615487,18.349261511728937,1.6507384882710645,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
5,83.36071461962517,71.92984640478454,603327,福蓉科技,bottom_area,2025-12-29,10.71,2025-12-19,10.51,1.9029495718363563,7.4215033301617455,29.651941097724226,False,-1.7431,2.806,4,7,4,57.14285714285714,60.30969475756576,129.39632545931758,18.097050428163644,1.9029495718363563,历史4/7次成功; 当前距低点1.90%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
6,81.57405815517058,73.84183077929993,603679,华体科技,bottom_area,2025-12-29,15.7,2025-12-24,15.02,4.527296937416776,6.8575233022636555,29.284369114877585,False,0.9646,10.5289,1,1,1,100.0,27.118644067796616,27.118644067796616,15.472703062583227,4.527296937416776,历史1/1次成功; 当前距低点4.53%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
7,78.40339843216235,67.31745770231457,603322,超讯通信,bottom_area,2025-12-29,38.62,2025-12-26,38.0,1.6315789473684146,3.157894736842113,31.29632977761707,False,1.3382,5.3515,3,7,3,42.857142857142854,30.354995327344025,39.45833333333333,18.368421052631586,1.6315789473684146,历史3/7次成功; 当前距低点1.63%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
8,77.66993341004208,68.78177863709803,300768,迪普科技,bottom_area,2025-12-29,18.65,2025-12-17,18.05,3.324099722991678,5.7063711911357204,29.43706020328381,False,-1.0085,1.4321,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,16.675900277008324,3.324099722991678,历史2/3次成功; 当前距低点3.32%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
9,76.32262658908088,67.46751521686708,000692,惠天热电,bottom_area,2025-12-29,3.52,2025-12-17,3.41,3.2258064516128995,6.744868035190615,28.511530398322844,False,-0.2833,2.9992,3,5,3,60.0,36.0341608954005,59.042553191489375,16.7741935483871,3.2258064516128995,历史3/5次成功; 当前距低点3.23%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
10,68.97542758198725,59.14340391350223,600250,南京商旅,bottom_area,2025-12-29,11.73,2025-12-24,11.55,1.5584415584415559,5.367965367965361,28.171641791044767,False,-1.0127,6.2763,2,7,2,28.57142857142857,38.937445980985316,53.93258426966293,18.441558441558445,1.5584415584415559,历史2/7次成功; 当前距低点1.56%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
11,68.45268276628747,58.40041264418441,002728,特一药业,bottom_area,2025-12-29,11.05,2025-12-19,10.91,1.2832263978001883,4.766269477543534,27.508305647840537,False,-2.3852,7.6793,1,4,1,25.0,39.3073593073593,39.3073593073593,18.71677360219981,1.2832263978001883,历史1/4次成功; 当前距低点1.28%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
