rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.46328446458999,84.29784770295785,000628,高新发展,bottom_area,2025-01-13,49.18,2025-01-13,47.67,3.1676106565974367,3.524229074889867,27.143512150389736,False,0.1018,3.8461,2,2,2,100.0,60.6627015650631,99.77973568281939,16.832389343402564,3.1676106565974367,历史2/2次成功; 当前距低点3.17%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
2,95.32881875172576,81.03820972495883,002246,北化股份,bottom_area,2025-01-13,9.3,2025-01-06,9.2,1.086956521739146,4.347826086956526,27.38752959747435,False,0.7584,2.047,3,4,3,75.0,27.803605346903716,31.992687385740403,18.913043478260853,1.086956521739146,历史3/4次成功; 当前距低点1.09%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
3,93.87684737349062,82.27621613324732,002537,海联金汇,bottom_area,2025-01-13,5.22,2025-01-13,5.08,2.7559055118110174,3.346456692913384,28.651685393258425,False,0.3846,1.0158,2,2,2,100.0,34.08430483965821,39.33649289099527,17.24409448818898,2.7559055118110174,历史2/2次成功; 当前距低点2.76%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
4,91.39780195742746,81.05830268895731,000735,罗牛山,bottom_area,2025-01-13,5.77,2025-01-13,5.58,3.4050179211469445,3.9426523297490994,27.058823529411768,False,0.1736,1.4175,2,2,2,100.0,35.493244888023355,44.303797468354425,16.594982078853057,3.4050179211469445,历史2/2次成功; 当前距低点3.41%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
5,90.55186308263697,79.92737107401756,600231,凌钢股份,bottom_area,2025-01-13,1.64,2025-01-13,1.59,3.1446540880503036,3.1446540880503036,29.955947136563875,False,0.6135,0.2197,2,2,2,100.0,26.221410724581972,29.302325581395344,16.855345911949698,3.1446540880503036,历史2/2次成功; 当前距低点3.14%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
6,89.2852015311615,78.94313212303503,001212,中旗新材,bottom_area,2025-01-13,19.77,2025-01-13,19.15,3.2375979112271596,3.6553524804177693,29.80205278592376,False,0.152,1.3143,3,4,3,75.0,42.90244817544601,82.06521739130437,16.762402088772845,3.2375979112271596,历史3/4次成功; 当前距低点3.24%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
7,88.08772288634566,79.11697883002756,600996,贵广网络,bottom_area,2025-01-13,7.62,2025-01-13,7.32,4.098360655737703,4.781420765027318,27.810650887573967,False,-0.3922,0.8624,3,3,3,100.0,39.36151142531999,47.237076648841345,15.901639344262296,4.098360655737703,历史3/3次成功; 当前距低点4.10%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
8,87.49941977359731,76.92424295029213,000818,航锦科技,bottom_area,2025-01-13,15.13,2025-01-13,14.7,2.9251700680272212,3.605442176870756,31.340495095749652,False,-0.6566,1.7813,1,1,1,100.0,46.52489626556016,46.52489626556016,17.07482993197278,2.9251700680272212,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
9,85.86612742059553,76.65590593190595,300456,赛微电子,bottom_area,2025-01-13,15.98,2025-01-13,15.4,3.766233766233767,3.896103896103894,30.94170403587444,False,0.8838,1.6353,1,1,1,100.0,32.91891891891892,32.91891891891892,16.233766233766232,3.766233766233767,历史1/1次成功; 当前距低点3.77%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
10,83.87850338420687,75.25062948621806,000926,福星股份,bottom_area,2025-01-13,2.32,2025-01-13,2.23,4.035874439461877,4.48430493273543,30.312500000000004,False,0.4329,1.8302,1,1,1,100.0,28.668941979522177,28.668941979522177,15.964125560538122,4.035874439461877,历史1/1次成功; 当前距低点4.04%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
11,82.83146361767824,72.00382131471376,600325,华发股份,bottom_area,2025-01-13,5.32,2025-01-13,5.2,2.3076923076923097,2.8846153846153744,29.539295392953925,False,0.3774,0.8727,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,17.69230769230769,2.3076923076923097,历史2/3次成功; 当前距低点2.31%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
12,82.69121346133548,75.50067316034979,300559,佳发教育,bottom_area,2025-01-13,10.5,2025-01-13,10.0,5.0,5.299999999999994,28.315412186379923,False,0.6711,0.9738,2,2,2,100.0,25.164909464246165,29.09783989834816,15.000000000000002,5.0,历史2/2次成功; 当前距低点5.00%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
13,82.63228835711895,71.87906559569174,605266,健之佳,bottom_area,2025-01-13,20.08,2025-01-13,19.62,2.344546381243615,3.211009174311921,31.35059482155353,False,-0.5941,1.436,4,6,4,66.66666666666666,34.50518644226089,55.413271245634455,17.655453618756386,2.344546381243615,历史4/6次成功; 当前距低点2.34%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
14,81.82987849079025,72.07813131313131,000839,国安股份,bottom_area,2025-01-13,2.72,2025-01-13,2.64,3.030303030303033,3.4090909090909034,30.526315789473678,False,-0.7299,0.8742,1,1,1,100.0,21.75925925925925,21.75925925925925,16.96969696969697,3.030303030303033,历史1/1次成功; 当前距低点3.03%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
15,81.6848013816412,73.10336184432384,603103,横店影视,bottom_area,2025-01-13,12.25,2025-01-13,11.79,3.9016115351993292,4.74978795589483,27.356746765249547,False,-0.6488,0.638,1,1,1,100.0,37.951807228915676,37.951807228915676,16.09838846480067,3.9016115351993292,历史1/1次成功; 当前距低点3.90%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
16,81.61236369046983,71.18027482890552,002047,宝鹰股份,bottom_area,2025-01-13,2.47,2025-01-13,2.41,2.4896265560165993,4.979253112033181,28.27380952380952,False,-3.1373,1.9165,1,1,1,100.0,20.51948051948051,20.51948051948051,17.5103734439834,2.4896265560165993,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
17,80.72220718165643,71.68174792804483,000155,川能动力,bottom_area,2025-01-13,10.72,2025-01-13,10.36,3.4749034749034866,3.4749034749034866,28.05555555555556,False,0.9416,0.9002,2,3,2,66.66666666666666,41.493877334183324,45.280898876404486,16.525096525096515,3.4749034749034866,历史2/3次成功; 当前距低点3.47%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
18,80.50156503940322,72.77745151826473,000036,华联控股,bottom_area,2025-01-13,3.75,2025-01-13,3.59,4.456824512534823,5.013927576601676,31.09404990403071,False,0.8065,0.8113,1,1,1,100.0,20.532319391634985,20.532319391634985,15.543175487465177,4.456824512534823,历史1/1次成功; 当前距低点4.46%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
19,79.32141705506376,68.48292675086225,000058,深赛格,bottom_area,2025-01-13,7.38,2025-01-06,7.24,1.933701657458559,6.767955801104975,29.227761485826004,False,-1.6,1.2047,2,3,2,66.66666666666666,27.87688098495213,34.82352941176472,18.066298342541444,1.933701657458559,历史2/3次成功; 当前距低点1.93%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
20,78.82528759569539,70.03041496845172,001287,中电港,bottom_area,2025-01-13,18.33,2025-01-13,17.71,3.500846979107834,4.178430265386778,30.57624460995688,False,0.7143,1.6724,2,3,2,66.66666666666666,32.93376029113394,42.36351071181756,16.499153020892166,3.500846979107834,历史2/3次成功; 当前距低点3.50%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
21,78.15114518977909,68.72136460121729,603178,圣龙股份,bottom_area,2025-01-13,16.82,2025-01-08,16.34,2.9375764993880074,8.690330477356193,30.46808510638298,True,-1.6374,1.387,3,5,3,60.0,30.048596880763135,44.66270354096666,17.062423500611995,2.9375764993880074,历史3/5次成功; 当前距低点2.94%; 最新日涨幅-1.64%; 状态bottom_area; 底部已确认
22,77.37149049189871,69.06107679411149,002375,亚厦股份,bottom_area,2025-01-13,3.59,2025-01-13,3.46,3.7572254335260085,3.7572254335260085,29.959514170040492,False,1.6997,0.7116,2,3,2,66.66666666666666,30.864968364968366,36.9047619047619,16.242774566473994,3.7572254335260085,历史2/3次成功; 当前距低点3.76%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
23,77.21575544171519,67.1138445794156,600199,金种子酒,bottom_area,2025-01-13,11.56,2025-01-13,11.3,2.30088495575221,2.4778761061946843,27.93367346938775,False,0.5217,1.0474,2,4,2,50.0,21.988506873820672,23.70304114490161,17.69911504424779,2.30088495575221,历史2/4次成功; 当前距低点2.30%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
24,76.9590045776651,66.97599395967279,300347,泰格医药,bottom_area,2025-01-13,49.66,2025-01-13,48.51,2.3706452277880823,3.2776747062461418,29.797395079594786,False,1.2024,1.3212,2,4,2,50.0,22.102500424890394,23.423271500843175,17.62935477221192,2.3706452277880823,历史2/4次成功; 当前距低点2.37%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
