rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.23466607756376,84.21613698110824,301316,慧博云通,bottom_area,2025-06-03,41.66,2025-06-03,40.8,2.1078431372549007,3.6519607843137307,32.147014801263936,False,0.1202,10.393,2,2,2,100.0,36.56999641962048,43.333333333333336,17.8921568627451,2.1078431372549007,历史2/2次成功; 当前距低点2.11%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
2,96.15307190005207,81.76281624154088,600770,综艺股份,bottom_area,2025-06-03,5.5,2025-06-03,5.44,1.102941176470581,1.8382352941176405,27.94701986754966,False,0.7326,5.2528,1,1,1,100.0,27.72861356932153,27.72861356932153,18.89705882352942,1.102941176470581,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
3,94.40520156790109,80.28251157543421,002136,安纳达,bottom_area,2025-06-03,10.96,2025-06-03,10.84,1.1070110701107103,2.214022140221404,27.491638795986617,False,-0.0912,8.0158,1,1,1,100.0,42.29299363057326,42.29299363057326,18.89298892988929,1.1070110701107103,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
4,91.19873772536872,77.84998879365176,002889,东方嘉盛,bottom_area,2025-06-03,14.65,2025-05-30,14.46,1.3139695712309785,3.73443983402489,32.65020959478341,False,-0.4755,2.2317,1,1,1,100.0,31.751824817518237,31.751824817518237,18.686030428769023,1.3139695712309785,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
5,91.07003293347269,79.43063997548818,300622,博士眼镜,bottom_area,2025-06-03,30.45,2025-06-03,29.71,2.4907438572871032,4.510265903736115,28.940444869648413,False,0.8612,4.1383,1,1,1,100.0,32.201806290875126,32.201806290875126,17.509256142712896,2.4907438572871032,历史1/1次成功; 当前距低点2.49%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
6,90.00457502534638,79.18636363636362,301058,中粮科工,bottom_area,2025-06-03,10.76,2025-04-30,10.45,2.9665071770334976,8.038277511961722,29.77150537634409,True,-0.278,1.0461,1,1,1,100.0,57.794273594909875,57.794273594909875,17.033492822966505,2.9665071770334976,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-0.28%; 状态bottom_area; 底部已确认
7,88.14885013010873,74.54350192172714,688448,磁谷科技,bottom_area,2025-06-03,28.94,2025-06-03,28.71,0.801114594218044,2.577499129223262,27.113480578827115,False,0.1384,2.6267,1,1,1,100.0,25.053995680345576,25.053995680345576,19.198885405781958,0.801114594218044,历史1/1次成功; 当前距低点0.80%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
8,87.43273371880389,73.23375304590036,002779,中坚科技,bottom_area,2025-06-03,97.15,2025-06-03,96.88,0.27869529314617075,3.5301403798513644,28.916281458654343,False,-2.7528,3.7948,1,1,1,100.0,34.08160384018072,34.08160384018072,19.721304706853832,0.27869529314617075,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
9,86.75582270561495,73.44990791066385,002042,华孚时尚,bottom_area,2025-06-03,4.67,2025-06-03,4.63,0.8639308855291584,1.7278617710583168,28.549382716049386,False,-0.4264,1.2978,1,1,1,100.0,42.41758241758243,42.41758241758243,19.136069114470843,0.8639308855291584,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
10,85.27686313505642,74.24274722355067,603192,汇得科技,bottom_area,2025-06-03,21.41,2025-06-03,20.91,2.391200382592061,4.447632711621233,30.276758919639875,False,-0.0467,6.4181,1,1,1,100.0,25.562817719680464,25.562817719680464,17.60879961740794,2.391200382592061,历史1/1次成功; 当前距低点2.39%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
11,84.68483476628867,71.84537158606867,000811,冰轮环境,bottom_area,2025-06-03,9.3,2025-06-03,9.21,0.9771986970684022,2.1715526601520008,28.54926299456943,False,-1.7951,2.0682,1,1,1,100.0,35.17948717948718,35.17948717948718,19.0228013029316,0.9771986970684022,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
12,82.97106047376164,73.54784438520275,688543,国科军工,bottom_area,2025-06-03,45.3,2025-05-29,43.82,3.3774532177088012,6.4354176175262445,31.133113311331133,False,-0.1763,4.9252,1,1,1,100.0,33.916331836445266,33.916331836445266,16.6225467822912,3.3774532177088012,历史1/1次成功; 当前距低点3.38%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
13,64.92918666945533,54.50577208706786,300819,聚杰微纤,bottom_area,2025-06-03,22.59,2025-06-03,22.5,0.3999999999999994,3.1999999999999953,27.419354838709676,False,-0.4846,2.2239,1,2,1,50.0,26.54716175842936,26.54716175842936,19.6,0.3999999999999994,历史1/2次成功; 当前距低点0.40%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
