rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.94712901012183,79.57223880597016,301009,可靠股份,bottom_area,2025-09-05,13.92,2025-09-05,13.4,3.88059701492537,4.1791044776119435,27.762803234501348,False,0.578,4.132,1,1,1,100.0,53.96648044692738,53.96648044692738,16.119402985074633,3.88059701492537,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
2,88.05154419136221,79.86239679374911,688448,磁谷科技,bottom_area,2025-09-05,46.05,2025-09-04,44.01,4.635310156782547,8.588957055214728,31.08362041966803,False,2.5156,7.1019,2,2,2,100.0,44.14464489899632,63.23529411764706,15.364689843217455,4.635310156782547,历史2/2次成功; 当前距低点4.64%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
3,88.03810050632141,77.32417436462794,603192,汇得科技,bottom_area,2025-09-05,22.2,2025-09-04,21.58,2.873030583873962,2.873030583873962,27.266599258510286,False,1.6484,1.3524,1,1,1,100.0,25.562817719680464,25.562817719680464,17.12696941612604,2.873030583873962,历史1/1次成功; 当前距低点2.87%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
4,87.41164134626841,78.72822981366461,688115,思林杰,bottom_area,2025-09-05,53.71,2025-09-05,51.52,4.250776397515523,4.289596273291913,32.30850085402706,False,2.5979,2.8361,1,1,1,100.0,53.58819584171696,53.58819584171696,15.749223602484477,4.250776397515523,历史1/1次成功; 当前距低点4.25%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
5,86.72657995590842,76.96406584542615,002695,煌上煌,bottom_area,2025-09-05,12.33,2025-09-05,11.92,3.439597315436243,3.8590604026845705,27.669902912621364,False,1.398,2.1573,1,1,1,100.0,30.57176196032671,30.57176196032671,16.56040268456376,3.439597315436243,历史1/1次成功; 当前距低点3.44%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
6,83.76309268103428,74.65304059222525,688552,航天南湖,bottom_area,2025-09-05,33.86,2025-09-04,32.66,3.674219228413971,9.920391916717705,28.860814637333913,False,2.8242,8.2034,1,1,1,100.0,21.02290555381236,21.02290555381236,16.32578077158603,3.674219228413971,历史1/1次成功; 当前距低点3.67%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
7,83.49366515837104,69.57805429864254,000691,亚太实业,bottom_area,2025-09-05,5.83,2025-09-05,5.83,0.0,0.0,27.397260273972595,False,-5.0489,0.6169,1,1,1,100.0,33.48416289592761,33.48416289592761,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
8,82.61567460537577,73.98774845490824,603221,爱丽家居,bottom_area,2025-09-05,12.4,2025-09-02,11.93,3.9396479463537353,5.616093880972338,32.2159090909091,False,0.895,2.2774,1,1,1,100.0,20.699708454810505,20.699708454810505,16.060352053646266,3.9396479463537353,历史1/1次成功; 当前距低点3.94%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
9,82.02796577356624,74.46081025939961,002795,永和智控,bottom_area,2025-09-05,4.92,2025-08-28,4.7,4.680851063829781,5.957446808510643,31.884057971014496,False,1.6529,2.856,1,1,1,100.0,32.328767123287676,32.328767123287676,15.31914893617022,4.680851063829781,历史1/1次成功; 当前距低点4.68%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
10,81.78788066763687,73.77084666594165,300730,科创信息,bottom_area,2025-09-05,18.79,2025-09-05,18.01,4.330927262631858,4.83064963908938,29.81293842556508,False,0.913,8.0633,1,1,1,100.0,24.329896907216508,24.329896907216508,15.669072737368145,4.330927262631858,历史1/1次成功; 当前距低点4.33%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
11,78.11621450402887,69.41049180327867,002256,兆新股份,bottom_area,2025-09-05,2.95,2025-09-05,2.85,3.5087719298245648,5.964912280701752,28.571428571428577,False,-6.9401,22.9603,1,1,1,100.0,23.497267759562828,23.497267759562828,16.49122807017544,3.5087719298245648,历史1/1次成功; 当前距低点3.51%; 最新日涨幅-6.94%; 状态bottom_area; 底部未确认
12,76.08110478765737,69.11687068148447,300192,科德教育,bottom_area,2025-09-05,19.73,2025-09-05,18.84,4.723991507431001,5.732484076433131,32.18142548596112,False,-0.6045,10.7541,1,1,1,100.0,26.599845797995382,26.599845797995382,15.276008492568998,4.723991507431001,历史1/1次成功; 当前距低点4.72%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
13,65.78095147092844,58.649244162510215,300902,国安达,bottom_area,2025-09-05,23.01,2025-09-04,22.19,3.695358269490763,4.371338440739066,32.798304058146584,False,1.7691,5.0135,1,2,1,50.0,26.906779661016937,26.906779661016937,16.30464173050924,3.695358269490763,历史1/2次成功; 当前距低点3.70%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
14,65.45920891872139,58.413461500606935,688682,霍莱沃,bottom_area,2025-09-05,29.1,2025-09-04,28.05,3.743315508021393,5.06238859180035,27.687548337200308,False,1.9979,1.8269,1,2,1,50.0,26.22699386503069,26.22699386503069,16.256684491978607,3.743315508021393,历史1/2次成功; 当前距低点3.74%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
15,63.73824794234295,57.984100558659215,688227,品高股份,bottom_area,2025-09-05,31.44,2025-09-04,30.0,4.800000000000004,7.999999999999995,31.818181818181817,False,2.1774,3.663,1,2,1,50.0,36.87150837988826,36.87150837988826,15.199999999999998,4.800000000000004,历史1/2次成功; 当前距低点4.80%; 最新日涨幅2.18%; 状态bottom_area; 底部未确认
16,61.014942881579415,55.49391852715277,603109,神驰机电,bottom_area,2025-09-05,31.3,2025-09-04,29.87,4.787412119183125,7.499163039839297,27.79792119893642,False,2.5893,2.4446,1,2,1,50.0,23.329129886506934,23.329129886506934,15.212587880816875,4.787412119183125,历史1/2次成功; 当前距低点4.79%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
