rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.71927145045342,79.63348809257276,300528,幸福蓝海,bottom_area,2025-09-24,22.84,2025-09-23,22.6,1.0619469026548602,6.548672566371668,32.73809523809524,False,-2.0163,8.2793,2,2,2,100.0,21.584553928095872,23.169107856191747,18.938053097345144,1.0619469026548602,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
2,90.56977849431306,80.45416149068325,301009,可靠股份,bottom_area,2025-09-24,13.33,2025-09-23,12.88,3.4937888198757703,4.5807453416149055,30.566037735849054,False,1.1381,1.9895,1,1,1,100.0,53.96648044692738,53.96648044692738,16.506211180124232,3.4937888198757703,历史1/1次成功; 当前距低点3.49%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
3,90.08425651782298,80.06480460001403,002755,奥赛康,bottom_area,2025-09-24,21.16,2025-09-23,20.44,3.5225048923679,5.088062622309193,28.75566399442314,False,1.633,0.779,2,2,2,100.0,31.59202018609052,32.35294117647059,16.4774951076321,3.5225048923679,历史2/2次成功; 当前距低点3.52%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
4,89.85327100161832,79.16255626086527,301151,冠龙节能,bottom_area,2025-09-24,21.0,2025-09-23,20.38,3.042198233562321,5.004906771344453,28.49122807017544,False,0.6229,3.497,1,1,1,100.0,37.520259319286865,37.520259319286865,16.95780176643768,3.042198233562321,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
5,75.2241966019999,67.91749850467338,300534,陇神戎发,bottom_area,2025-09-24,9.76,2025-09-23,9.35,4.385026737967916,4.491978609625668,27.519379844961243,False,2.6288,2.2582,3,5,3,60.0,30.190104662581724,41.58730158730159,15.614973262032084,4.385026737967916,历史3/5次成功; 当前距低点4.39%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
6,73.80198685183055,66.01177712858177,002651,利君股份,bottom_area,2025-09-24,11.27,2025-09-23,10.85,3.8709677419354835,5.806451612903233,28.09807819748178,False,1.4401,2.5222,2,4,2,50.0,35.309589140831555,41.96642685851319,16.12903225806452,3.8709677419354835,历史2/4次成功; 当前距低点3.87%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
7,71.29764308403657,62.734096385542145,601900,南方传媒,bottom_area,2025-09-24,12.82,2025-09-23,12.45,2.9718875502008113,3.935742971887552,30.756395995550616,False,1.5848,0.732,1,2,1,50.0,39.999999999999986,39.999999999999986,17.028112449799192,2.9718875502008113,历史1/2次成功; 当前距低点2.97%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
8,69.17831845238095,57.648598710317465,600162,香江控股,bottom_area,2025-09-24,2.2,2025-09-24,2.2,0.0,8.636363636363633,30.599369085173496,False,-9.465,10.1431,2,4,2,50.0,27.68063822751323,28.90624999999999,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-9.46%; 状态bottom_area; 底部未确认
9,68.24610831480342,60.811236313253694,000037,深南电A,bottom_area,2025-09-24,8.49,2025-09-23,8.19,3.663003663003672,3.9072039072039106,28.220858895705526,False,1.6766,1.4514,3,9,3,33.33333333333333,40.91156629875658,45.16765285996055,16.33699633699633,3.663003663003672,历史3/9次成功; 当前距低点3.66%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
10,67.98230281427341,57.92110660686565,600322,津投城开,bottom_area,2025-09-24,2.51,2025-09-23,2.48,1.209677419354831,10.080645161290324,31.491712707182323,False,-1.1811,6.5354,1,4,1,25.0,35.828877005347586,35.828877005347586,18.790322580645167,1.209677419354831,历史1/4次成功; 当前距低点1.21%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
11,66.71234756510185,59.24937767627749,688166,博瑞医药,bottom_area,2025-09-24,72.5,2025-09-24,70.06,3.4827290893519804,5.766485869254913,30.613053382192728,False,-2.0535,4.3285,1,2,1,50.0,50.993377483443716,50.993377483443716,16.517270910648023,3.4827290893519804,历史1/2次成功; 当前距低点3.48%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
12,64.12594904625035,56.958178294573656,000718,苏宁环球,bottom_area,2025-09-24,2.67,2025-09-23,2.58,3.48837209302325,4.651162790697678,31.2,False,1.9084,6.6386,1,4,1,25.0,36.111111111111114,36.111111111111114,16.51162790697675,3.48837209302325,历史1/4次成功; 当前距低点3.49%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
13,59.360046532078215,51.874376947280744,000679,大连友谊,bottom_area,2025-09-24,7.9,2025-09-23,7.7,2.5974025974025996,4.025974025974021,27.083333333333336,False,0.7653,1.6452,1,8,1,12.5,24.94061757719715,24.94061757719715,17.402597402597404,2.5974025974025996,历史1/8次成功; 当前距低点2.60%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
14,59.103302915560285,52.97127627627629,002115,三维通信,bottom_area,2025-09-24,11.23,2025-09-23,10.8,3.9814814814814787,7.499999999999988,27.272727272727266,False,1.1712,11.9742,1,4,1,25.0,20.720720720720706,20.720720720720706,16.01851851851852,3.9814814814814787,历史1/4次成功; 当前距低点3.98%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
