rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.44656245440892,75.11989830508475,688621,阳光诺和,bottom_area,2025-10-14,59.25,2025-10-14,59.0,0.423728813559322,5.898305084745757,31.355439208842352,False,-1.7576,3.6502,1,1,1,100.0,46.0,46.0,19.57627118644068,0.423728813559322,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
2,88.42610276657054,78.63471591359084,301191,菲菱科思,bottom_area,2025-10-14,99.97,2025-10-13,96.54,3.552931427387603,8.245286927698356,27.890648341798617,True,0.3513,10.1882,1,1,1,100.0,31.749460043196553,31.749460043196553,16.447068572612398,3.552931427387603,历史1/1次成功; 当前距低点3.55%; 最新日涨幅0.35%; 状态bottom_area; 底部已确认
3,87.66466009101917,75.13756519495512,300049,福瑞医科,bottom_area,2025-10-14,66.11,2025-10-13,65.11,1.5358623867301489,8.692981108892637,28.19805910895457,True,-3.4891,4.0003,1,1,1,100.0,20.910384068278802,20.910384068278802,18.464137613269852,1.5358623867301489,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-3.49%; 状态bottom_area; 底部已确认
4,84.394201927316,70.4524582665144,300056,中创环保,bottom_area,2025-10-14,10.42,2025-10-14,10.41,0.09606147934677989,8.357348703170022,28.796169630642947,False,-6.6308,5.6183,1,1,1,100.0,27.10472279260781,27.10472279260781,19.903938520653224,0.09606147934677989,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-6.63%; 状态bottom_area; 底部未确认
5,83.95918478838121,75.85993788819879,301009,可靠股份,bottom_area,2025-10-14,13.45,2025-09-23,12.88,4.425465838509305,7.763975155279502,30.566037735849054,True,-0.8843,2.5863,1,1,1,100.0,53.96648044692738,53.96648044692738,15.574534161490696,4.425465838509305,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-0.88%; 状态bottom_area; 底部已确认
6,83.41985653540426,70.03386355121476,603083,剑桥科技,bottom_area,2025-10-14,101.76,2025-10-14,101.35,0.4045387271830398,12.461766156882103,28.877192982456144,False,-5.603,11.648,1,1,1,100.0,28.63554757630162,28.63554757630162,19.595461272816962,0.4045387271830398,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-5.60%; 状态bottom_area; 底部未确认
7,83.14183361987165,70.59212288479667,601208,东材科技,bottom_area,2025-10-14,17.82,2025-10-14,17.64,1.0204081632653046,10.034013605442174,28.088055442315536,False,-6.1611,5.4025,2,3,2,66.66666666666666,38.236488335348795,48.70466321243524,18.979591836734695,1.0204081632653046,历史2/3次成功; 当前距低点1.02%; 最新日涨幅-6.16%; 状态bottom_area; 底部未确认
8,80.20200764260979,69.93269627076815,300382,斯莱克,bottom_area,2025-10-14,14.9,2025-10-13,14.54,2.4759284731774502,9.35350756533701,27.154308617234474,True,-4.4872,2.8936,3,5,3,60.0,41.117275212971656,49.73451327433629,17.524071526822553,2.4759284731774502,历史3/5次成功; 当前距低点2.48%; 最新日涨幅-4.49%; 状态bottom_area; 底部已确认
9,80.15905847482512,69.0304536118681,688183,生益电子,bottom_area,2025-10-14,70.9,2025-10-13,69.65,1.7946877243359656,9.260588657573566,27.440358370663603,True,-3.2742,1.4746,2,3,2,66.66666666666666,30.138037401545326,34.030631303698186,18.205312275664035,1.7946877243359656,历史2/3次成功; 当前距低点1.79%; 最新日涨幅-3.27%; 状态bottom_area; 底部已确认
10,75.20603886397608,66.92062780269057,002269,美邦服饰,bottom_area,2025-10-14,2.31,2025-10-13,2.23,3.587443946188344,8.520179372197308,30.529595015576323,True,-1.7021,4.2888,4,8,4,50.0,62.09717161843492,173.50993377483442,16.412556053811656,3.587443946188344,历史4/8次成功; 当前距低点3.59%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
11,70.83694431645411,62.20354887196694,300706,阿石创,bottom_area,2025-10-14,38.1,2025-10-13,37.04,2.861771058315341,10.394168466522682,28.147429679922404,True,-5.8329,8.2714,2,4,2,50.0,25.959069273795254,28.81508078994613,17.13822894168466,2.861771058315341,历史2/4次成功; 当前距低点2.86%; 最新日涨幅-5.83%; 状态bottom_area; 底部已确认
