rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.15400184594458,76.65289252767306,605299,舒华体育,bottom_area,2025-12-16,11.92,2025-12-15,11.72,1.7064846416382191,5.290102389078491,32.05797101449275,False,-0.6667,8.6399,1,1,1,100.0,30.127298444130112,30.127298444130112,18.29351535836178,1.7064846416382191,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
2,87.8507201889572,78.79199931018181,603178,圣龙股份,bottom_area,2025-12-16,18.37,2025-12-05,17.66,4.0203850509626315,5.039637599094001,28.182187881252542,False,0.4923,1.3071,1,1,1,100.0,47.51869476546566,47.51869476546566,15.97961494903737,4.0203850509626315,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,86.67630243956403,73.22608540925269,301001,凯淳股份,bottom_area,2025-12-16,28.31,2025-12-16,28.1,0.7473309608540829,4.875444839857642,32.19111969111969,False,-3.6091,6.0133,1,1,1,100.0,58.89483065953654,58.89483065953654,19.252669039145918,0.7473309608540829,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
4,86.63274027816388,72.4454970967224,603038,华立股份,bottom_area,2025-12-16,15.84,2025-12-16,15.81,0.1897533206831079,2.7830487033523053,28.623024830699766,False,-1.676,1.7641,1,1,1,100.0,28.753412192902637,28.753412192902637,19.810246679316894,0.1897533206831079,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
5,86.43867423238171,72.12108739362118,003038,鑫铂股份,bottom_area,2025-12-16,14.88,2025-12-16,14.87,0.0672494956287933,2.48823133826497,31.125521074571566,False,-2.4902,2.0961,1,1,1,100.0,25.507614213197975,25.507614213197975,19.932750504371207,0.0672494956287933,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
6,85.84698783064191,72.39358727665423,003016,欣贺股份,bottom_area,2025-12-16,9.32,2025-12-16,9.26,0.6479481641468736,5.723542116630663,27.59968725566849,False,-2.4084,6.8653,1,1,1,100.0,34.09090909090909,34.09090909090909,19.352051835853125,0.6479481641468736,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
7,84.89537615665972,72.01980901451492,600708,光明地产,bottom_area,2025-12-16,3.11,2025-12-15,3.08,0.9740259740259676,2.5974025974025996,27.186761229314428,False,-0.9554,0.6308,1,1,1,100.0,36.07843137254903,36.07843137254903,19.025974025974033,0.9740259740259676,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
8,84.84301908024216,71.42124264336944,300035,中科电气,bottom_area,2025-12-16,20.04,2025-12-16,19.93,0.5519317611640714,4.014049172102362,30.798611111111114,False,-2.907,3.9161,1,1,1,100.0,27.686274509803933,27.686274509803933,19.44806823883593,0.5519317611640714,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
9,84.55857436016862,71.05453974027849,688365,光云科技,bottom_area,2025-12-16,15.48,2025-12-16,15.41,0.4542504866969519,6.22972096041532,32.97085689430187,False,-4.6211,3.1578,1,1,1,100.0,34.732423924449115,34.732423924449115,19.545749513303047,0.4542504866969519,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-4.62%; 状态bottom_area; 底部未确认
10,83.56210503590292,70.32084040622088,300878,维康药业,bottom_area,2025-12-16,20.68,2025-12-16,20.57,0.5347593582887672,3.2571706368497724,27.824561403508767,False,-2.7281,1.5433,1,1,1,100.0,21.55963302752294,21.55963302752294,19.465240641711233,0.5347593582887672,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
11,83.3451740470322,69.82321437547121,000692,惠天热电,bottom_area,2025-12-16,3.47,2025-12-16,3.46,0.2890173410404691,4.624277456647403,27.46331236897274,False,-4.1436,5.195,1,1,1,100.0,26.08695652173914,26.08695652173914,19.710982658959534,0.2890173410404691,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
12,82.7965513197942,69.88688974238198,603030,全筑股份,bottom_area,2025-12-16,2.88,2025-12-16,2.86,0.6993006993007,3.1468531468531578,28.855721393034823,False,-1.7065,1.6545,1,1,1,100.0,21.243523316062173,21.243523316062173,19.3006993006993,0.6993006993007,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
13,81.66414108191309,69.31017383374454,002176,江特电机,bottom_area,2025-12-16,9.1,2025-12-16,9.01,0.998890122086569,3.995560488346276,29.99222999222999,False,-2.3605,3.3199,1,1,1,100.0,21.81528662420382,21.81528662420382,19.001109877913432,0.998890122086569,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
14,73.84960828539919,64.69305308020145,605228,神通科技,bottom_area,2025-12-16,14.3,2025-12-16,13.92,2.72988505747127,5.3160919540229905,28.247422680412367,False,1.3466,1.8209,1,2,1,50.0,47.56554307116105,47.56554307116105,17.270114942528732,2.72988505747127,历史1/2次成功; 当前距低点2.73%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
