rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.91865592811989,80.99346389076096,600048,保利发展,bottom_area,2025-12-23,6.27,2025-12-17,6.19,1.292407108239082,2.9079159935379595,27.60233918128655,False,-1.1041,0.6806,2,2,2,100.0,31.721247836269217,31.987577639751546,18.707592891760918,1.292407108239082,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
2,84.91612522902427,73.84567057985862,603072,天和磁材,bottom_area,2025-12-23,40.41,2025-12-17,39.49,2.329703722461369,4.482147379083302,27.05947543405984,False,-1.2705,2.2282,1,1,1,100.0,22.674167027260935,22.674167027260935,17.670296277538633,2.329703722461369,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
3,83.87373392901463,74.19960784313726,600708,光明地产,bottom_area,2025-12-23,3.16,2025-12-17,3.06,3.2679738562091534,6.209150326797384,27.65957446808511,False,-2.1672,0.8939,1,1,1,100.0,36.07843137254903,36.07843137254903,16.732026143790847,3.2679738562091534,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
4,81.8912351595704,73.91080096398225,003038,鑫铂股份,bottom_area,2025-12-23,15.3,2025-12-17,14.66,4.365620736698503,5.866302864938604,32.098193608151924,False,0.0,1.5418,1,1,1,100.0,25.507614213197975,25.507614213197975,15.634379263301499,4.365620736698503,历史1/1次成功; 当前距低点4.37%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,81.8518669673421,72.84714983496454,603030,全筑股份,bottom_area,2025-12-23,2.88,2025-12-17,2.78,3.5971223021582768,10.071942446043176,30.845771144278604,True,-2.7027,2.6889,5,7,5,71.42857142857143,35.553088162210365,51.87969924812029,16.402877697841724,3.5971223021582768,历史5/7次成功; 当前距低点3.60%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
6,81.75884536324007,71.90285452320552,603178,圣龙股份,bottom_area,2025-12-23,18.18,2025-12-05,17.66,2.9445073612684007,5.832389580973959,28.182187881252542,False,-1.8888,1.0311,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,17.0554926387316,2.9445073612684007,历史5/7次成功; 当前距低点2.94%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
7,79.45122922477339,69.79230495288749,300768,迪普科技,bottom_area,2025-12-23,18.57,2025-12-17,18.05,2.880886426592795,4.653739612188365,29.43706020328381,False,-0.2685,1.2828,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,17.11911357340721,2.880886426592795,历史2/3次成功; 当前距低点2.88%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
8,77.78476549651617,70.83868400953958,301024,霍普股份,bottom_area,2025-12-23,34.96,2025-12-17,33.34,4.8590281943611195,6.178764247150554,27.913513513513504,False,-0.1428,1.0893,1,1,1,100.0,37.51219512195122,37.51219512195122,15.14097180563888,4.8590281943611195,历史1/1次成功; 当前距低点4.86%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
9,77.75285815680671,70.06852221101582,300736,百邦科技,bottom_area,2025-12-23,15.1,2025-12-23,14.48,4.2817679558011,6.353591160220994,28.63479546574667,False,-5.0314,20.9844,1,1,1,100.0,36.51050080775442,36.51050080775442,15.718232044198901,4.2817679558011,历史1/1次成功; 当前距低点4.28%; 最新日涨幅-5.03%; 状态bottom_area; 底部未确认
10,77.5416843401669,68.67580263694441,603327,福蓉科技,bottom_area,2025-12-23,10.86,2025-12-19,10.51,3.3301617507136028,7.4215033301617455,29.651941097724226,False,-1.4519,3.3437,4,7,4,57.14285714285714,60.30969475756576,129.39632545931758,16.669838249286396,3.3301617507136028,历史4/7次成功; 当前距低点3.33%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
11,77.49272324092466,68.13613691774687,000692,惠天热电,bottom_area,2025-12-23,3.51,2025-12-17,3.41,2.9325513196480832,5.571847507331377,28.511530398322844,False,-1.4045,2.8717,3,5,3,60.0,36.0341608954005,59.042553191489375,17.06744868035192,2.9325513196480832,历史3/5次成功; 当前距低点2.93%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
12,74.93377961685016,65.45549543949252,688337,普源精电,bottom_area,2025-12-23,36.67,2025-12-04,35.75,2.573426573426578,6.545454545454556,28.499999999999996,False,-0.704,0.6799,3,6,3,50.0,38.886602295188766,54.46153846153845,17.426573426573423,2.573426573426578,历史3/6次成功; 当前距低点2.57%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
13,74.27644765591367,64.1930138829799,603038,华立股份,bottom_area,2025-12-23,15.89,2025-12-17,15.58,1.989730423620029,5.0064184852374805,29.661399548532724,False,-0.5009,1.5351,2,4,2,50.0,24.944081982976137,28.753412192902637,18.010269576379972,1.989730423620029,历史2/4次成功; 当前距低点1.99%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
14,70.05596489277976,61.62151182796168,300598,诚迈科技,bottom_area,2025-12-23,44.61,2025-12-17,43.33,2.9540733902607923,4.661897069005316,32.296875,False,-0.8667,1.7373,2,5,2,40.0,44.60644708471124,45.24950099800398,17.045926609739208,2.9540733902607923,历史2/5次成功; 当前距低点2.95%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
