rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.42219322743189,80.6133650736101,603277,银都股份,bottom_area,2026-04-28,13.03,17.69,2026-04-24,12.86,1.3219284603421457,3.0326594090202224,27.30356133408706,26.342566421707186,False,0.0768,0.2976,1,1,1,100.0,24.23312883435582,24.23312883435582,18.678071539657857,1.3219284603421457,历史1/1次成功; 当前距低点1.32%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
2,92.0946321459385,77.9661757105943,603787,新日股份,bottom_area,2026-04-28,11.71,17.11,2026-04-27,11.61,0.8613264427218038,3.7037037037037015,32.14494447691409,31.560490940970187,False,-1.9263,3.0698,2,2,2,100.0,56.730295566502456,92.85714285714283,19.138673557278196,0.8613264427218038,历史2/2次成功; 当前距低点0.86%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
3,86.21082351502078,73.12715031912738,688109,品茗科技,bottom_area,2026-04-28,92.87,128.0,2026-04-28,91.98,0.96760165253316,4.8162644053054935,28.140624999999996,27.445312499999996,False,-3.2302,1.5777,2,2,2,100.0,35.50151659625266,37.459584295612025,19.03239834746684,0.96760165253316,历史2/2次成功; 当前距低点0.97%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
4,84.93459791650403,74.61995983935743,600611,大众交通,bottom_area,2026-04-28,4.63,6.6,2026-04-07,4.5,2.8888888888888866,9.333333333333332,31.818181818181813,29.848484848484848,True,-1.4894,1.1087,1,1,1,100.0,24.497991967871478,24.497991967871478,17.111111111111114,2.8888888888888866,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.49%; 状态bottom_area; 底部已确认
5,84.10056419421164,74.2457260781349,601628,中国人寿,bottom_area,2026-04-28,36.63,50.7,2026-04-07,35.51,3.1540411151788357,7.885102787947069,29.960552268244584,27.75147928994083,True,-0.1091,0.0747,1,1,1,100.0,25.736235595390532,25.736235595390532,16.845958884821165,3.1540411151788357,历史1/1次成功; 当前距低点3.15%; 最新日涨幅-0.11%; 状态bottom_area; 底部已确认
6,79.79865749165654,67.23825559649072,002315,焦点科技,bottom_area,2026-04-28,30.01,44.42,2026-04-28,29.83,0.6034193764666553,4.827355011733159,32.845565060783436,32.440342188203516,False,-2.8174,3.4831,2,3,2,66.66666666666666,44.71712423746247,57.129586623316285,19.396580623533346,0.6034193764666553,历史2/3次成功; 当前距低点0.60%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
7,74.57474875318074,64.33415039363693,601808,中海油服,bottom_area,2026-04-28,15.09,20.55,2026-04-23,14.81,1.8906144496961468,3.646185010128286,27.931873479318735,26.569343065693435,False,0.869,0.714,1,2,1,50.0,35.34812547819435,35.34812547819435,18.109385550303855,1.8906144496961468,历史1/2次成功; 当前距低点1.89%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
8,72.09721026951763,63.961470028095,603000,人民网,bottom_area,2026-04-28,19.34,27.18,2026-03-23,18.7,3.4224598930481314,9.03743315508022,31.199411331861665,28.844738778513612,True,-2.3232,1.3303,3,6,3,50.0,32.068164431423405,48.493150684931514,16.577540106951872,3.4224598930481314,历史3/6次成功; 当前距低点3.42%; 最新日涨幅-2.32%; 状态bottom_area; 底部已确认
9,66.95496872309558,59.94798836645659,688232,新点软件,bottom_area,2026-04-28,21.44,30.57,2026-04-03,20.63,3.9263208919050037,9.743092583616102,32.51553810925745,29.865881583251554,True,-2.634,0.6245,1,2,1,50.0,51.87398153177622,51.87398153177622,16.073679108094996,3.9263208919050037,历史1/2次成功; 当前距低点3.93%; 最新日涨幅-2.63%; 状态bottom_area; 底部已确认
10,64.39436163087245,57.425508736256226,605337,李子园,bottom_area,2026-04-28,10.63,14.95,2026-03-23,10.25,3.707317073170739,8.97560975609756,31.438127090301,28.896321070234105,True,-4.1479,1.926,2,5,2,40.0,32.30210571551354,37.98882681564246,16.29268292682926,3.707317073170739,历史2/5次成功; 当前距低点3.71%; 最新日涨幅-4.15%; 状态bottom_area; 底部已确认
11,64.00894321694065,54.814081884755296,300766,每日互动,bottom_area,2026-04-28,29.33,42.54,2026-04-28,28.9,1.4878892733564004,6.989619377162641,32.06393982134462,31.053126469205456,False,-6.144,14.277,1,3,1,33.33333333333333,31.360946745562135,31.360946745562135,18.512110726643602,1.4878892733564004,历史1/3次成功; 当前距低点1.49%; 最新日涨幅-6.14%; 状态bottom_area; 底部未确认
12,63.018659647290725,53.21745863288828,000625,长安汽车,bottom_area,2026-04-28,9.73,13.84,2026-04-28,9.66,0.7246376811594233,1.656314699792962,30.20231213872832,29.69653179190751,False,-1.0173,0.7978,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,19.27536231884058,0.7246376811594233,历史1/3次成功; 当前距低点0.72%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
13,60.90634935296681,54.816054657597256,300760,迈瑞医疗,bottom_area,2026-04-28,161.11,214.12,2026-04-20,154.6,4.21086675291075,5.3686934023285975,27.79749673080516,24.757145525873337,False,1.9619,1.0465,1,3,1,33.33333333333333,32.06181462849697,32.06181462849697,15.789133247089252,4.21086675291075,历史1/3次成功; 当前距低点4.21%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
