rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.91669442317706,87.03708683828252,300355,蒙草生态,bottom_area,2026-06-09,3.03,4.38,2026-06-08,2.99,1.3377926421404545,4.682274247491628,31.735159817351594,30.82191780821918,False,0.3311258278145601,1.0874363456109826,3,3,3,100.0,25.63039818474601,33.201581027668,18.662207357859547,1.3377926421404545,历史3/3次成功; 当前距低点1.34%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
2,101.7834010385382,86.94941504073132,300641,正丹股份,bottom_area,2026-06-09,14.22,20.6,2026-06-09,14.03,1.354240912330729,2.1382751247327207,31.893203883495154,30.970873786407772,False,0.3528581510232831,0.8111201865147827,2,2,2,100.0,42.02733505830851,50.22522522522521,18.645759087669273,1.354240912330729,历史2/2次成功; 当前距低点1.35%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
3,100.9075537537911,86.95820580041953,300986,志特新材,bottom_area,2026-06-09,18.34,25.4,2026-06-08,18.01,1.8323153803442436,6.440866185452526,29.09448818897637,27.795275590551178,False,0.3831417624521105,2.529455154584439,2,2,2,100.0,47.93486487959358,54.76987447698747,18.16768461965576,1.8323153803442436,历史2/2次成功; 当前距低点1.83%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
4,98.16966183574884,84.45478260869568,603086,先达股份,bottom_area,2026-06-09,5.85,7.9,2026-06-08,5.75,1.7391304347826024,4.695652173913036,27.21518987341772,25.9493670886076,False,0.8620689655172376,0.8523662511235297,1,1,1,100.0,56.97115384615385,56.97115384615385,18.2608695652174,1.7391304347826024,历史1/1次成功; 当前距低点1.74%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
5,97.71056748986615,84.19645806451615,600615,鑫源智造,bottom_area,2026-06-09,9.47,12.98,2026-06-08,9.3,1.8279569892473109,7.204301075268815,28.351309707241906,27.041602465331277,False,0.0,1.2471916892730333,1,1,1,100.0,49.7,49.7,18.172043010752688,1.8279569892473109,历史1/1次成功; 当前距低点1.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,97.28045605331343,85.07185590490607,600192,长城电工,bottom_area,2026-06-09,7.01,9.88,2026-06-08,6.83,2.6354319180087806,5.85651537335286,30.87044534412956,29.048582995951428,False,0.28612303290413976,1.282201594535346,2,2,2,100.0,47.63785310734464,60.875706214689274,17.364568081991223,2.6354319180087806,历史2/2次成功; 当前距低点2.64%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
7,96.57585078749409,82.69861909538969,601800,中国交建,bottom_area,2026-06-09,6.15,8.55,2026-06-09,6.06,1.4851485148514976,1.8151815181518205,29.122807017543874,28.070175438596497,False,0.4901960784313708,0.2997412216100906,1,1,1,100.0,37.44493392070484,37.44493392070484,18.514851485148505,1.4851485148514976,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
8,95.7223862058503,83.18917688266203,301186,超达装备,bottom_area,2026-06-09,58.41,80.39,2026-06-09,57.1,2.294220665499116,3.3274956217162845,28.971265082721732,27.341709167806943,False,1.6356359839916346,1.5861789856837938,1,1,1,100.0,52.372994652406426,52.372994652406426,17.705779334500885,2.294220665499116,历史1/1次成功; 当前距低点2.29%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
9,95.26632169837225,80.87426765479371,001338,永顺泰,bottom_area,2026-06-09,9.98,13.72,2026-06-09,9.88,1.0121457489878507,4.65587044534412,27.98833819241982,27.259475218658892,False,-2.252693437806075,1.4294717940429331,2,2,2,100.0,27.64494603487102,31.442663378545017,18.987854251012152,1.0121457489878507,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
10,94.92974225956614,81.84697447323792,603062,麦加芯彩,bottom_area,2026-06-09,41.09,58.5,2026-06-08,40.34,1.8591968269707486,4.784333168071392,31.042735042735035,29.760683760683754,False,0.7354743809757425,1.0481993517084003,1,1,1,100.0,37.45130773511408,37.45130773511408,18.14080317302925,1.8591968269707486,历史1/1次成功; 当前距低点1.86%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
11,94.89335606372899,80.73016859153061,601186,中国铁建,bottom_area,2026-06-09,6.27,8.93,2026-05-28,6.2,1.1290322580645062,4.838709677419352,30.571108622620375,29.787234042553195,False,0.31999999999998696,0.2727117435123741,1,1,1,100.0,22.496570644718787,22.496570644718787,18.870967741935495,1.1290322580645062,历史1/1次成功; 当前距低点1.13%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
12,94.70272222222223,81.64027777777778,600429,三元股份,bottom_area,2026-06-09,4.4,6.11,2026-06-09,4.32,1.8518518518518534,2.77777777777778,29.296235679214398,27.986906710310965,False,0.2277904328018332,0.8713121199019069,1,1,1,100.0,36.25000000000001,36.25000000000001,18.148148148148145,1.8518518518518534,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
13,94.26177792171094,81.57722651553773,601019,山东出版,bottom_area,2026-06-09,6.92,9.43,2026-06-08,6.78,2.064896755162237,3.097345132743362,28.101802757158,26.617179215270415,False,0.727802037845704,0.26053955627964925,2,2,2,100.0,21.855866222084103,22.896281800391385,17.935103244837762,2.064896755162237,历史2/2次成功; 当前距低点2.06%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
