rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.2010636662443,83.83971342715522,002358,森源电气,bottom_area,2026-06-12,5.86,8.03,2026-06-11,5.72,2.4475524475524577,3.8461538461538574,28.767123287671232,27.023661270236605,False,1.559792027729645,1.7353698337928654,2,2,2,100.0,38.710392513843175,42.73127753303966,17.552447552447543,2.4475524475524577,历史2/2次成功; 当前距低点2.45%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
2,95.94817201489482,82.0864102790868,605158,华达新材,bottom_area,2026-06-12,6.36,9.04,2026-06-11,6.27,1.4354066985646052,3.3492822966507316,30.641592920353983,29.646017699115035,False,0.15748031496063408,0.7772085565679872,3,4,3,75.0,37.710416945237164,50.9433962264151,18.564593301435394,1.4354066985646052,历史3/4次成功; 当前距低点1.44%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
3,95.74607362261239,81.63381794970519,300959,线上线下,bottom_area,2026-06-12,163.82,234.87,2026-06-11,161.8,1.248454882571064,15.574783683559943,31.11082726614723,30.250777025588626,True,-1.3013616098325076,12.337325222092572,1,1,1,100.0,42.098360655737714,42.098360655737714,18.751545117428936,1.248454882571064,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
4,95.61888941569029,84.20281262366744,600192,长城电工,bottom_area,2026-06-12,6.83,9.88,2026-06-11,6.63,3.016591251885372,4.374057315233786,32.894736842105274,30.87044534412956,False,1.6369047619047672,1.0749114689874184,2,2,2,100.0,47.63785310734464,60.875706214689274,16.983408748114627,3.016591251885372,历史2/2次成功; 当前距低点3.02%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
5,95.29551644365371,81.23145695364238,603657,春光科技,bottom_area,2026-06-12,22.93,31.03,2026-06-10,22.65,1.2362030905077313,13.730684326710833,27.00612310667097,26.10377054463423,True,-10.007849293563586,5.466232709519935,1,1,1,100.0,120.64323111443534,120.64323111443534,18.76379690949227,1.2362030905077313,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-10.01%; 状态bottom_area; 底部已确认
6,94.92233391628326,81.79415221437158,603680,今创集团,bottom_area,2026-06-12,11.14,15.3,2026-06-11,10.94,1.8281535648994613,2.833638025594155,28.496732026143796,27.18954248366013,False,0.723327305605781,0.46081577606605373,1,1,1,100.0,36.78678678678678,36.78678678678678,18.171846435100537,1.8281535648994613,历史1/1次成功; 当前距低点1.83%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
7,94.84667779938297,82.71179808093447,600708,光明地产,bottom_area,2026-06-12,2.89,4.16,2026-06-11,2.82,2.4822695035461093,4.609929078014197,32.21153846153847,30.52884615384615,False,1.403508771929829,0.950991372004254,2,2,2,100.0,33.071895424836605,36.07843137254903,17.517730496453893,2.4822695035461093,历史2/2次成功; 当前距低点2.48%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
8,94.66615388235293,82.6142,600615,鑫源智造,bottom_area,2026-06-12,9.35,12.98,2026-06-11,9.12,2.5219298245614086,6.140350877192988,29.73805855161788,27.966101694915256,False,1.1904761904761862,1.1328380394575026,1,1,1,100.0,49.7,49.7,17.478070175438592,2.5219298245614086,历史1/1次成功; 当前距低点2.52%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
9,94.25115970698951,81.41817275747508,603890,春秋电子,bottom_area,2026-06-12,22.84,32.3,2026-06-11,22.4,1.9642857142857202,6.25000000000001,30.65015479876161,29.28792569659442,False,0.17543859649122862,14.155374030832393,1,1,1,100.0,36.434108527131784,36.434108527131784,18.03571428571428,1.9642857142857202,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
10,93.94808997828578,82.98254004391174,000919,金陵药业,bottom_area,2026-06-12,6.16,8.83,2026-06-11,5.97,3.1825795644891186,3.5175879396984917,32.389580973952434,30.237825594563983,False,1.9867549668874274,1.5095532965915925,3,3,3,100.0,26.44527661799429,31.2267657992565,16.817420435510883,3.1825795644891186,历史3/3次成功; 当前距低点3.18%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
11,93.5885119645383,83.14944418963829,300986,志特新材,bottom_area,2026-06-12,18.32,25.4,2026-06-11,17.7,3.5028248587570676,5.254237288135592,30.314960629921263,27.87401574803149,False,1.8909899888765347,3.332644197341142,2,2,2,100.0,47.93486487959358,54.76987447698747,16.497175141242934,3.5028248587570676,历史2/2次成功; 当前距低点3.50%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
