rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.69599707002216,75.56220379783444,688656,浩欧博,bottom_area,2026-01-07,158.17,209.43,2026-01-05,151.53,4.381970566884436,6.909522866759057,27.64646898725111,24.475958554170855,False,0.1456,1.0246,1,1,1,100.0,34.5865413458654,34.5865413458654,15.618029433115566,4.381970566884436,历史1/1次成功; 当前距低点4.38%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
2,83.50263294691123,71.47924542214568,000692,惠天热电,bottom_area,2026-01-07,3.46,4.77,2025-12-17,3.41,1.4662756598240416,6.744868035190615,28.511530398322844,27.46331236897274,False,-0.5747,2.6232,3,5,3,60.0,36.0341608954005,59.042553191489375,18.533724340175958,1.4662756598240416,历史3/5次成功; 当前距低点1.47%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
3,82.47211113599515,74.78611995201823,002910,庄园牧场,bottom_area,2026-01-07,11.54,16.01,2025-12-31,11.03,4.623753399818675,6.074342701722575,31.105559025609004,27.920049968769533,False,2.3957,14.5215,1,1,1,100.0,33.37783711615487,33.37783711615487,15.376246600181325,4.623753399818675,历史1/1次成功; 当前距低点4.62%; 最新日涨幅2.40%; 状态bottom_area; 底部未确认
4,75.41822785650444,67.8974352499137,601566,九牧王,bottom_area,2026-01-07,13.56,18.68,2026-01-06,13.01,4.227517294388937,5.764796310530362,30.35331905781585,27.408993576017128,False,1.573,5.51,2,3,2,66.66666666666666,30.373699002439853,38.914728682170555,15.772482705611063,4.227517294388937,历史2/3次成功; 当前距低点4.23%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
5,68.84345772130486,60.42001349860742,600250,南京商旅,bottom_area,2026-01-07,11.62,16.08,2025-12-31,11.3,2.8318584070796327,3.539823008849545,29.726368159203968,27.736318407960198,False,1.3962,7.1235,2,7,2,28.57142857142857,38.937445980985316,53.93258426966293,17.168141592920367,2.8318584070796327,历史2/7次成功; 当前距低点2.83%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
6,67.92842070509198,60.720491670736635,600325,华发股份,bottom_area,2026-01-07,4.33,5.74,2025-12-31,4.17,3.836930455635495,6.235011990407669,27.351916376306622,24.56445993031359,False,-1.3667,0.8054,2,4,2,50.0,28.917704890244938,32.553606237816766,16.163069544364504,3.836930455635495,历史2/4次成功; 当前距低点3.84%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
7,64.70828924134426,57.52754592074112,300705,九典制药,bottom_area,2026-01-07,15.51,20.66,2025-12-30,14.98,3.5380507343124123,4.205607476635508,27.49273959341723,24.927395934172313,False,-0.1931,1.5761,1,2,1,50.0,41.42097631706138,41.42097631706138,16.46194926568759,3.5380507343124123,历史1/2次成功; 当前距低点3.54%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
8,64.52325339453189,57.17250300781307,001330,博纳影业,bottom_area,2026-01-07,7.7,10.97,2026-01-06,7.45,3.3557046979865772,5.503355704697988,32.087511394712855,29.808568824065635,False,1.4493,7.7746,1,4,1,25.0,35.637149028077765,35.637149028077765,16.644295302013422,3.3557046979865772,历史1/4次成功; 当前距低点3.36%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
9,61.07334354431424,54.836980999296244,600104,上汽集团,bottom_area,2026-01-07,15.3,20.63,2025-11-21,14.7,4.081632653061234,8.299319727891161,28.74454677653902,25.836160930683466,True,-1.5444,0.5015,1,2,1,50.0,24.425287356321842,24.425287356321842,15.918367346938766,4.081632653061234,历史1/2次成功; 当前距低点4.08%; 最新日涨幅-1.54%; 状态bottom_area; 底部已确认
10,60.83399539153096,55.517457702314566,603322,超讯通信,bottom_area,2026-01-07,39.89,55.31,2025-12-26,38.0,4.973684210526317,5.736842105263157,31.29632977761707,27.87922617971434,False,-0.0251,4.942,3,7,3,42.857142857142854,30.354995327344025,39.45833333333333,15.026315789473685,4.973684210526317,历史3/7次成功; 当前距低点4.97%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
11,60.03944944593449,54.36643060064934,600161,天坛生物,bottom_area,2026-01-07,16.79,22.08,2025-12-24,16.06,4.5454545454545485,5.728518057285192,27.264492753623188,23.958333333333332,False,-0.4152,0.5448,1,2,1,50.0,36.77455357142857,36.77455357142857,15.454545454545453,4.5454545454545485,历史1/2次成功; 当前距低点4.55%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
12,58.49682064819097,53.35466787475447,600696,退市岩石,bottom_area,2026-01-07,2.76,3.62,2026-01-06,2.63,4.942965779467677,9.88593155893537,27.348066298342545,23.756906077348074,True,-1.7794,1.9976,1,3,1,33.33333333333333,46.45858343337334,46.45858343337334,15.057034220532323,4.942965779467677,历史1/3次成功; 当前距低点4.94%; 最新日涨幅-1.78%; 状态bottom_area; 底部已确认
