rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.50696822649756,79.06291139739976,300155,安居宝,bottom_area,2026-01-26,5.68,8.08,2026-01-26,5.57,1.9748653500897564,3.7701974865350083,31.064356435643564,29.702970297029708,False,0.0,10.235,1,1,1,100.0,23.90109890109889,23.90109890109889,18.025134649910246,1.9748653500897564,历史1/1次成功; 当前距低点1.97%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,89.49529271725228,76.89634644725889,000735,罗牛山,bottom_area,2026-01-26,7.91,11.38,2026-01-21,7.78,1.6709511568123379,3.856041131105396,31.634446397188054,30.492091388400706,False,-1.861,3.4301,3,4,3,75.0,35.16728540210225,44.303797468354425,18.32904884318766,1.6709511568123379,历史3/4次成功; 当前距低点1.67%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
3,86.13635897011035,74.55206789875591,688068,热景生物,bottom_area,2026-01-26,147.44,214.78,2026-01-26,144.45,2.0699203876774033,7.926618206992051,32.74513455629016,31.35301238476581,False,-4.6498,2.9635,3,4,3,75.0,37.669281627206416,49.133924799324014,17.930079612322597,2.0699203876774033,历史3/4次成功; 当前距低点2.07%; 最新日涨幅-4.65%; 状态bottom_area; 底部未确认
4,84.0048519098913,75.73703089563523,301687,新广益,bottom_area,2026-01-26,63.94,88.3,2026-01-14,61.3,4.306688417618272,5.660685154975528,30.577576443941112,27.58776896942242,False,0.8358,17.9785,1,1,1,100.0,34.60365853658537,34.60365853658537,15.69331158238173,4.306688417618272,历史1/1次成功; 当前距低点4.31%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
5,81.51902668213444,69.80840461137971,688246,嘉和美康,bottom_area,2026-01-26,27.29,39.0,2026-01-22,26.89,1.4875418371141635,9.259947936035696,31.051282051282048,30.025641025641026,True,-3.603,5.2722,2,4,2,50.0,53.820745366240445,58.0508474576271,18.512458162885835,1.4875418371141635,历史2/4次成功; 当前距低点1.49%; 最新日涨幅-3.60%; 状态bottom_area; 底部已确认
6,80.85211309299224,69.24928332118336,301489,思泉新材,bottom_area,2026-01-26,169.5,231.5,2026-01-20,167.0,1.4970059880239521,7.341317365269455,27.861771058315334,26.78185745140389,False,-2.0684,5.1788,2,4,2,50.0,46.08847835418263,71.56118143459918,18.50299401197605,1.4970059880239521,历史2/4次成功; 当前距低点1.50%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
7,75.11045136158266,64.92006468065787,600325,华发股份,bottom_area,2026-01-26,4.09,5.74,2026-01-19,4.01,1.9950124688279323,5.486284289276824,30.13937282229966,28.745644599303137,False,-2.1531,2.0806,2,4,2,50.0,28.917704890244938,32.553606237816766,18.004987531172066,1.9950124688279323,历史2/4次成功; 当前距低点2.00%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
8,71.47692663326303,61.17755006966101,603069,海汽集团,bottom_area,2026-01-26,22.94,31.58,2026-01-21,22.61,1.4595311808934182,4.643962848297217,28.404053198226727,27.359088030398983,False,-2.466,2.5432,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,18.540468819106586,1.4595311808934182,历史2/7次成功; 当前距低点1.46%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
9,70.80973269098246,61.41392679647848,000572,海马汽车,bottom_area,2026-01-26,7.02,10.2,2026-01-21,6.87,2.18340611353711,6.695778748180495,32.647058823529406,31.176470588235293,False,-4.0984,5.3522,3,8,3,37.5,49.67522975990913,95.5116696588869,17.816593886462893,2.18340611353711,历史3/8次成功; 当前距低点2.18%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
10,65.00363090689645,59.106552923767154,300629,新劲刚,bottom_area,2026-01-26,26.12,34.17,2026-01-22,24.93,4.773365423184923,13.517849979943847,27.041264266900793,23.558677202224175,True,-3.3309,13.3417,2,4,2,50.0,32.74100047649878,44.66926070038911,15.22663457681508,4.773365423184923,历史2/4次成功; 当前距低点4.77%; 最新日涨幅-3.33%; 状态bottom_area; 底部已确认
11,60.925150806896276,54.10681262995121,300418,昆仑万维,bottom_area,2026-01-26,54.12,72.09,2026-01-21,52.3,3.4799235181644366,10.917782026768645,27.45179636565405,24.92717436537662,True,-2.9064,8.2428,1,3,1,33.33333333333333,32.568306010928964,32.568306010928964,16.520076481835567,3.4799235181644366,历史1/3次成功; 当前距低点3.48%; 最新日涨幅-2.91%; 状态bottom_area; 底部已确认
12,55.082036513008454,46.61359125005099,600990,四创电子,bottom_area,2026-01-26,27.61,38.28,2026-01-26,27.38,0.8400292184075984,6.281957633308993,28.474399164054343,27.873563218390807,False,-5.283,4.7638,1,4,1,25.0,20.55837563451777,20.55837563451777,19.159970781592403,0.8400292184075984,历史1/4次成功; 当前距低点0.84%; 最新日涨幅-5.28%; 状态bottom_area; 底部未确认
13,51.96911844524966,47.11388234806477,300364,中文在线,bottom_area,2026-01-26,31.77,42.5,2026-01-21,30.37,4.609812314784321,13.36845571287454,28.54117647058823,25.24705882352941,True,-3.1107,13.6939,2,8,2,25.0,20.42609906329583,20.7773851590106,15.39018768521568,4.609812314784321,历史2/8次成功; 当前距低点4.61%; 最新日涨幅-3.11%; 状态bottom_area; 底部已确认
