rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.46458319922758,82.89692307692309,300878,维康药业,bottom_area,2026-01-29,26.29,35.66,2026-01-29,26.0,1.115384615384612,5.769230769230769,27.08917554683118,26.27593942793045,False,-3.1319,3.1802,2,2,2,100.0,52.183757400460976,82.807881773399,18.884615384615387,1.115384615384612,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
2,91.436654762561,78.8886467065868,600271,航天信息,bottom_area,2026-01-29,10.21,13.99,2026-01-29,10.02,1.8962075848303523,4.690618762475056,28.37741243745533,27.019299499642596,False,0.8893,2.5959,1,1,1,100.0,21.999999999999996,21.999999999999996,18.103792415169647,1.8962075848303523,历史1/1次成功; 当前距低点1.90%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
3,90.41202662592816,75.81816326193204,000973,佛塑科技,bottom_area,2026-01-29,11.71,16.11,2026-01-29,11.67,0.3427592116538211,3.68466152527849,27.560521415270017,27.31222842954686,False,-2.2538,3.3755,2,2,2,100.0,32.09491540055248,32.421875,19.65724078834618,0.3427592116538211,历史2/2次成功; 当前距低点0.34%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
4,85.69772786068849,71.8567522623995,301023,奕帆传动,bottom_area,2026-01-29,47.69,65.18,2026-01-29,47.53,0.33662949715968143,2.945508100147272,27.07885854556613,26.83338447376497,False,-1.4466,9.5906,1,1,1,100.0,27.388535031847127,27.388535031847127,19.66337050284032,0.33662949715968143,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
5,81.51389581172369,69.65732914820023,603169,兰石重装,bottom_area,2026-01-29,10.34,14.18,2026-01-29,10.2,1.372549019607849,5.294117647058833,28.067700987306072,27.08039492242595,False,-8.0889,5.9707,3,5,3,60.0,35.30505867153828,49.872122762148344,18.62745098039215,1.372549019607849,历史3/5次成功; 当前距低点1.37%; 最新日涨幅-8.09%; 状态bottom_area; 底部未确认
6,74.72961104170763,62.63492325518817,301489,思泉新材,bottom_area,2026-01-29,156.19,231.5,2026-01-29,155.7,0.314707771355176,7.052023121387295,32.74298056155508,32.53131749460043,False,-6.5849,9.7468,2,4,2,50.0,46.08847835418263,71.56118143459918,19.685292228644823,0.314707771355176,历史2/4次成功; 当前距低点0.31%; 最新日涨幅-6.58%; 状态bottom_area; 底部未确认
7,71.17761231409588,61.00550689573232,603069,海汽集团,bottom_area,2026-01-29,22.49,31.58,2026-01-27,22.15,1.534988713318284,4.650112866817161,29.860671310956306,28.78404053198227,False,-0.4867,1.539,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,18.46501128668172,1.534988713318284,历史2/7次成功; 当前距低点1.53%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
8,70.59380490542887,58.82817075452406,300561,汇金科技,confirmed_rebound,2026-01-29,16.65,22.93,2026-01-29,16.65,0.0,20.12012012012013,27.387701700828615,27.387701700828615,False,-19.9904,11.6982,2,3,2,66.66666666666666,24.79303273041607,27.62128325508607,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-19.99%; 状态confirmed_rebound; 底部未确认
9,70.2825328438518,58.95736422331939,300652,雷迪克,bottom_area,2026-01-29,52.85,74.21,2026-01-29,52.66,0.36080516521079536,3.6460311431826846,29.039213044064137,28.783182859452893,False,-2.1296,2.4714,1,2,1,50.0,54.41115272575945,54.41115272575945,19.639194834789205,0.36080516521079536,历史1/2次成功; 当前距低点0.36%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
10,69.01340916772948,59.804324890476956,002177,御银股份,bottom_area,2026-01-29,7.65,10.3,2026-01-29,7.49,2.1361815754339135,4.005340453938582,27.281553398058257,25.728155339805824,False,-0.3906,6.2604,2,6,2,33.33333333333333,39.25529865125241,48.84393063583816,17.863818424566087,2.1361815754339135,历史2/6次成功; 当前距低点2.14%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
11,66.54405814158666,60.25643060064934,600161,天坛生物,bottom_area,2026-01-29,16.79,22.08,2025-12-24,16.06,4.5454545454545485,9.464508094645078,27.264492753623188,23.958333333333332,True,0.4187,0.7666,1,2,1,50.0,36.77455357142857,36.77455357142857,15.454545454545453,4.5454545454545485,历史1/2次成功; 当前距低点4.55%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
