rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.33872842238837,81.53970194020059,001391,国货航,bottom_area,2026-03-10,5.72,7.73,2026-03-09,5.64,1.4184397163120581,2.3049645390070905,27.037516170763272,26.002587322121613,False,0.5272,0.7426,1,1,1,100.0,30.39647577092513,30.39647577092513,18.581560283687942,1.4184397163120581,历史1/1次成功; 当前距低点1.42%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
2,89.33980541501792,77.94185650653533,002739,儒意电影,bottom_area,2026-03-10,10.23,13.87,2026-03-09,9.98,2.5050100200400798,3.206412825651305,28.04614275414563,26.243691420331643,False,0.689,1.4897,1,1,1,100.0,24.37246963562753,24.37246963562753,17.49498997995992,2.5050100200400798,历史1/1次成功; 当前距低点2.51%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
3,85.1163380656275,76.88251220477638,001206,依依股份,bottom_area,2026-03-10,22.97,31.9,2026-03-04,22.0,4.409090909090904,4.909090909090901,31.034482758620683,27.993730407523508,False,2.5904,3.1639,1,1,1,100.0,42.01741654571844,42.01741654571844,15.590909090909097,4.409090909090904,历史1/1次成功; 当前距低点4.41%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
4,85.10216247970496,76.29278830321546,688317,之江生物,bottom_area,2026-03-10,20.3,28.58,2026-03-04,19.52,3.995901639344268,4.76434426229508,31.700489853044083,28.971308607417768,False,2.0101,0.9675,3,4,3,75.0,37.948623875916084,40.461049284578706,16.004098360655732,3.995901639344268,历史3/4次成功; 当前距低点4.00%; 最新日涨幅2.01%; 状态bottom_area; 底部未确认
5,84.68378570479122,75.85406340317923,002345,潮宏基,bottom_area,2026-03-10,10.79,14.25,2026-03-09,10.38,3.949903660886304,4.046242774566473,27.1578947368421,24.280701754385973,False,1.9849,1.5065,1,1,1,100.0,30.859375,30.859375,16.050096339113697,3.949903660886304,历史1/1次成功; 当前距低点3.95%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
6,81.15049754630938,73.7473441193041,688236,春立医疗,bottom_area,2026-03-10,20.76,27.56,2026-03-04,19.82,4.7426841574167575,5.095862764883945,28.084179970972418,24.67343976777938,False,1.9646,0.4096,3,4,3,75.0,33.4175483774963,48.33672776646301,15.257315842583244,4.7426841574167575,历史3/4次成功; 当前距低点4.74%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
7,80.56986042352887,71.50355968578643,601519,大智慧,bottom_area,2026-03-10,11.42,15.88,2026-03-09,11.04,3.442028985507254,5.072463768115947,30.478589420654924,28.085642317380355,False,0.7944,1.2196,2,3,2,66.66666666666666,40.13289841976505,40.138408304498256,16.557971014492747,3.442028985507254,历史2/3次成功; 当前距低点3.44%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
8,79.77431025283843,72.76289626577257,603758,秦安股份,bottom_area,2026-03-10,14.01,19.16,2026-03-09,13.35,4.9438202247191025,6.217228464419476,30.323590814196244,26.87891440501044,False,3.7778,1.5185,1,1,1,100.0,26.423690205011397,26.423690205011397,15.056179775280897,4.9438202247191025,历史1/1次成功; 当前距低点4.94%; 最新日涨幅3.78%; 状态bottom_area; 底部未确认
9,77.4884371111976,69.63431543067813,603130,云中马,bottom_area,2026-03-10,43.39,61.5,2026-03-09,41.67,4.127669786417084,5.591552675785933,32.24390243902439,29.447154471544714,False,1.5684,0.6567,2,3,2,66.66666666666666,38.48782729592695,52.76771857216763,15.872330213582917,4.127669786417084,历史2/3次成功; 当前距低点4.13%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
10,69.05858756024459,61.98807298535278,600693,东百集团,bottom_area,2026-03-10,12.8,17.5,2026-03-04,12.3,4.0650406504065035,7.317073170731696,29.714285714285708,26.85714285714285,True,-0.4666,2.5777,2,4,2,50.0,29.335299291825866,30.632090761750412,15.934959349593496,4.0650406504065035,历史2/4次成功; 当前距低点4.07%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
11,68.46718247418087,62.49162084235562,688318,财富趋势,bottom_area,2026-03-10,117.4,163.63,2026-03-09,111.83,4.980774389698657,6.858624698202631,31.656786652814272,28.252765385320533,False,1.786,0.8381,4,8,4,50.0,29.988099198218027,36.949152542372886,15.019225610301346,4.980774389698657,历史4/8次成功; 当前距低点4.98%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
