rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.27282373516917,80.57332264131463,688608,恒玄科技,bottom_area,2026-03-12,182.02,246.36,2026-03-09,179.54,1.381307786565678,6.104489250306344,27.122909563240793,26.116252638415325,False,-2.1398,1.3843,2,2,2,100.0,30.55217416496976,36.80636853195971,18.618692213434322,1.381307786565678,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
2,94.2156062745819,80.16433038659454,001206,依依股份,bottom_area,2026-03-12,22.25,31.9,2026-03-04,22.0,1.1363636363636365,6.045454545454538,31.034482758620683,30.250783699059557,False,-2.2408,2.795,1,1,1,100.0,42.01741654571844,42.01741654571844,18.863636363636367,1.1363636363636365,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
3,92.11088000803825,78.26365877890176,002345,潮宏基,bottom_area,2026-03-12,10.49,14.25,2026-03-09,10.38,1.05973025048169,4.335260115606929,27.1578947368421,26.385964912280702,False,-0.3799,1.1804,1,1,1,100.0,30.859375,30.859375,18.94026974951831,1.05973025048169,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
4,91.99164385553814,78.16821257849844,001391,国货航,bottom_area,2026-03-12,5.7,7.73,2026-03-09,5.64,1.0638297872340514,2.3049645390070905,27.037516170763272,26.26131953428202,False,-0.1751,1.0766,1,1,1,100.0,30.39647577092513,30.39647577092513,18.936170212765948,1.0638297872340514,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
5,88.47979056511882,76.55131289337939,688317,之江生物,bottom_area,2026-03-12,19.92,28.58,2026-03-04,19.52,2.0491803278688634,4.76434426229508,31.700489853044083,30.300909727081866,False,-0.8955,0.4996,3,4,3,75.0,37.948623875916084,40.461049284578706,17.95081967213114,2.0491803278688634,历史3/4次成功; 当前距低点2.05%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
6,88.31632111135256,75.33743793622857,301226,祥明智能,bottom_area,2026-03-12,35.71,50.0,2026-03-12,35.26,1.276233692569492,5.615428247305741,29.480000000000008,28.58,False,-4.0827,6.9621,1,1,1,100.0,27.995971802618342,27.995971802618342,18.72376630743051,1.276233692569492,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-4.08%; 状态bottom_area; 底部未确认
7,84.91493449262762,75.24648987608434,688680,海优新材,bottom_area,2026-03-12,51.07,70.0,2026-03-09,49.41,3.3596437968022745,8.56102003642988,29.41428571428572,27.04285714285714,True,-1.7885,3.2484,1,1,1,100.0,33.636977058029686,33.636977058029686,16.640356203197726,3.3596437968022745,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-1.79%; 状态bottom_area; 底部已确认
8,84.89708071971538,74.7333457039748,603758,秦安股份,bottom_area,2026-03-12,13.75,19.16,2026-03-09,13.35,2.996254681647943,8.38951310861424,30.323590814196244,28.235908141962422,True,-1.9957,0.8651,1,1,1,100.0,26.423690205011397,26.423690205011397,17.00374531835206,2.996254681647943,历史1/1次成功; 当前距低点3.00%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
9,83.8894303012732,71.01506359458163,688236,春立医疗,bottom_area,2026-03-12,19.99,27.56,2026-03-04,19.82,0.8577194752774883,5.247225025227039,28.084179970972418,27.46734397677794,False,-2.7251,0.7207,3,4,3,75.0,33.4175483774963,48.33672776646301,19.142280524722512,0.8577194752774883,历史3/4次成功; 当前距低点0.86%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
10,82.99638785952811,75.68813012304594,300879,大叶股份,bottom_area,2026-03-12,23.82,31.32,2026-03-04,22.7,4.93392070484582,6.343612334801768,27.522349936143044,23.946360153256705,False,0.1261,1.4484,2,2,2,100.0,25.362738333840962,29.057924888605967,15.06607929515418,4.93392070484582,历史2/2次成功; 当前距低点4.93%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
11,82.63209418875543,70.00716712777782,002739,儒意电影,bottom_area,2026-03-12,10.07,13.87,2026-03-09,9.98,0.9018036072144273,3.206412825651305,28.04614275414563,27.397260273972595,False,-0.7882,1.4335,1,1,1,100.0,24.37246963562753,24.37246963562753,19.098196392785574,0.9018036072144273,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
