rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.30109118833401,83.41160311386729,001206,依依股份,bottom_area,2026-03-13,22.34,31.9,2026-03-04,22.0,1.5454545454545447,6.045454545454538,31.034482758620683,29.968652037617556,False,0.4045,3.0247,1,1,1,100.0,42.01741654571844,42.01741654571844,18.454545454545457,1.5454545454545447,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,96.91084385553813,82.34821257849843,001391,国货航,bottom_area,2026-03-13,5.7,7.73,2026-03-09,5.64,1.0638297872340514,2.3049645390070905,27.037516170763272,26.26131953428202,False,0.0,1.0302,1,1,1,100.0,30.39647577092513,30.39647577092513,18.936170212765948,1.0638297872340514,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,96.00130189447476,81.79702763457797,688236,春立医疗,bottom_area,2026-03-13,20.04,27.56,2026-03-13,19.8,1.2121212121212042,2.474747474747467,28.156748911465883,27.28592162554427,False,0.2501,0.4958,3,4,3,75.0,33.4175483774963,48.33672776646301,18.787878787878796,1.2121212121212042,历史3/4次成功; 当前距低点1.21%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
4,92.19331285847942,79.16877281476073,688680,海优新材,bottom_area,2026-03-13,50.22,70.0,2026-03-09,49.41,1.6393442622950865,8.56102003642988,29.41428571428572,28.25714285714286,True,-1.6644,2.6124,1,1,1,100.0,33.636977058029686,33.636977058029686,18.360655737704914,1.6393442622950865,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-1.66%; 状态bottom_area; 底部已确认
5,89.35388751768569,77.01852600813352,688317,之江生物,bottom_area,2026-03-13,19.88,28.58,2026-03-04,19.52,1.8442622950819645,4.76434426229508,31.700489853044083,30.440867739678097,False,-0.2008,0.702,3,4,3,75.0,37.948623875916084,40.461049284578706,18.15573770491804,1.8442622950819645,历史3/4次成功; 当前距低点1.84%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
6,88.66918699075084,76.782783906222,603758,秦安股份,bottom_area,2026-03-13,13.63,19.16,2026-03-09,13.35,2.0973782771535667,8.38951310861424,30.323590814196244,28.862212943632564,True,-0.8727,0.6399,1,1,1,100.0,26.423690205011397,26.423690205011397,17.902621722846433,2.0973782771535667,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-0.87%; 状态bottom_area; 底部已确认
7,88.41750107344738,74.66398398340817,688608,恒玄科技,bottom_area,2026-03-13,178.29,246.36,2026-03-13,177.01,0.7231229874018424,3.2597028416473703,28.14986199058289,27.63029712615685,False,-2.0492,1.734,2,2,2,100.0,30.55217416496976,36.80636853195971,19.27687701259816,0.7231229874018424,历史2/2次成功; 当前距低点0.72%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
8,86.29548301571975,74.33528337352745,300663,科蓝软件,bottom_area,2026-03-13,15.19,20.71,2026-03-04,14.92,1.809651474530828,7.908847184986604,27.95750845002415,26.65379043940126,True,-2.0,1.4511,2,3,2,66.66666666666666,48.62700036984445,76.77304964539006,18.190348525469176,1.809651474530828,历史2/3次成功; 当前距低点1.81%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
9,85.81856268869876,72.15764862804876,002345,潮宏基,bottom_area,2026-03-13,10.3,14.25,2026-03-13,10.25,0.4878048780487874,2.6341463414634103,28.07017543859649,27.719298245614034,False,-1.8112,1.6993,1,1,1,100.0,30.859375,30.859375,19.512195121951216,0.4878048780487874,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
10,84.41630512314,70.92677566078737,002264,新华都,bottom_area,2026-03-13,8.97,12.29,2026-03-13,8.93,0.44792833146697564,2.1276595744680793,27.339300244100894,27.013832384052066,False,-0.9934,2.5141,1,1,1,100.0,23.752969121140143,23.752969121140143,19.552071668533024,0.44792833146697564,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
11,84.3273961897421,70.92099478308846,002739,儒意电影,bottom_area,2026-03-13,10.03,13.87,2026-03-09,9.98,0.5010020040080053,3.206412825651305,28.04614275414563,27.68565248738284,False,-0.3972,1.3829,1,1,1,100.0,24.37246963562753,24.37246963562753,19.498997995991996,0.5010020040080053,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
