rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.68939733074592,82.96522622493237,688608,恒玄科技,bottom_area,2026-03-18,175.5,246.36,2026-03-18,171.78,2.165560600768424,2.5905227616718993,30.272771553823674,28.762786166585492,False,0.2857,1.4796,2,2,2,100.0,30.55217416496976,36.80636853195971,17.834439399231577,2.165560600768424,历史2/2次成功; 当前距低点2.17%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
2,95.55423869394124,81.56672460427494,688236,春立医疗,bottom_area,2026-03-18,20.06,27.56,2026-03-13,19.8,1.313131313131303,4.292929292929282,28.156748911465883,27.2133526850508,False,0.6523,0.344,3,4,3,75.0,33.4175483774963,48.33672776646301,18.6868686868687,1.313131313131303,历史3/4次成功; 当前距低点1.31%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
3,94.79717139216557,80.4648285185995,001206,依依股份,bottom_area,2026-03-18,22.12,31.9,2026-03-18,21.9,1.0045662100456731,3.1963470319634832,31.347962382445143,30.658307210031342,False,-1.1176,3.2064,1,1,1,100.0,42.01741654571844,42.01741654571844,18.995433789954326,1.0045662100456731,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
4,93.29286822045201,80.72171919492452,688317,之江生物,bottom_area,2026-03-18,19.88,28.58,2026-03-18,19.48,2.0533880903490687,2.15605749486652,31.840447865640304,30.440867739678097,False,1.3768,0.9366,3,4,3,75.0,37.948623875916084,40.461049284578706,17.946611909650933,2.0533880903490687,历史3/4次成功; 当前距低点2.05%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
5,91.49660487279917,79.04674287066882,002264,新华都,bottom_area,2026-03-18,8.8,12.29,2026-03-18,8.63,1.9698725376593271,2.201622247972184,29.780309194467037,28.397070789259548,False,0.9174,2.3087,1,1,1,100.0,23.752969121140143,23.752969121140143,18.030127462340673,1.9698725376593271,历史1/1次成功; 当前距低点1.97%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
6,89.61535293546797,78.49790237504064,603861,白云电器,bottom_area,2026-03-18,16.96,22.63,2026-03-18,16.51,2.7256208358570517,3.9975772259236835,27.0437472381794,25.055236411842678,False,0.5931,3.614,1,1,1,100.0,30.06622516556292,30.06622516556292,17.27437916414295,2.7256208358570517,历史1/1次成功; 当前距低点2.73%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
7,88.02229898704273,77.69284964390963,002345,潮宏基,bottom_area,2026-03-18,10.5,14.25,2026-03-16,10.18,3.1434184675834995,4.125736738703339,28.56140350877193,26.31578947368421,False,2.6393,2.787,1,1,1,100.0,30.859375,30.859375,16.856581532416502,3.1434184675834995,历史1/1次成功; 当前距低点3.14%; 最新日涨幅2.64%; 状态bottom_area; 底部未确认
8,87.20444308106322,79.27525016530745,301283,聚胶股份,bottom_area,2026-03-18,47.53,63.52,2026-03-09,45.37,4.760855190654626,9.080890456248634,28.573677581863986,25.17317380352645,True,2.0614,1.013,1,1,1,100.0,73.6405529953917,73.6405529953917,15.239144809345376,4.760855190654626,历史1/1次成功; 当前距低点4.76%; 最新日涨幅2.06%; 状态bottom_area; 底部已确认
9,84.77128764130383,71.56672321679633,001391,国货航,bottom_area,2026-03-18,5.68,7.73,2026-03-09,5.64,0.7092198581560291,2.3049645390070905,27.037516170763272,26.52005174644244,False,-0.8726,1.4746,1,1,1,100.0,30.39647577092513,30.39647577092513,19.29078014184397,0.7092198581560291,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
10,84.76304294634707,72.43342738763899,000759,中百集团,bottom_area,2026-03-18,5.91,8.42,2026-03-18,5.83,1.3722126929674112,2.4013722126929617,30.76009501187648,29.80997624703088,False,-1.005,2.4153,2,3,2,66.66666666666666,42.233363768483954,49.78038067349927,18.62778730703259,1.3722126929674112,历史2/3次成功; 当前距低点1.37%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
11,83.46521088160853,70.4576455494098,002739,儒意电影,bottom_area,2026-03-18,10.01,13.87,2026-03-18,9.94,0.7042253521126789,1.1066398390342176,28.334534967555875,27.82984859408796,False,-0.1994,1.3504,1,1,1,100.0,24.37246963562753,24.37246963562753,19.295774647887324,0.7042253521126789,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
12,83.27728370204456,74.23646299819231,300663,科蓝软件,bottom_area,2026-03-18,15.47,20.71,2026-03-04,14.92,3.6863270777479937,7.908847184986604,27.95750845002415,25.301786576533075,True,1.1111,1.2875,2,3,2,66.66666666666666,48.62700036984445,76.77304964539006,16.313672922252007,3.6863270777479937,历史2/3次成功; 当前距低点3.69%; 最新日涨幅1.11%; 状态bottom_area; 底部已确认
13,83.01243907154051,73.21210471952405,301367,瑞迈特,bottom_area,2026-03-18,71.85,97.33,2026-03-18,69.69,3.099440378820486,3.3003300330032967,28.398232816192337,26.178978732148366,False,0.9696,2.3551,4,6,4,66.66666666666666,28.452484497677933,32.411969715178486,16.900559621179514,3.099440378820486,历史4/6次成功; 当前距低点3.10%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
14,78.09150881179559,70.70735426208495,601519,大智慧,bottom_area,2026-03-18,11.28,15.88,2026-03-16,10.79,4.541241890639483,7.32159406858203,32.05289672544082,28.967254408060462,True,0.1776,1.1361,2,3,2,66.66666666666666,40.13289841976505,40.138408304498256,15.458758109360518,4.541241890639483,历史2/3次成功; 当前距低点4.54%; 最新日涨幅0.18%; 状态bottom_area; 底部已确认
15,77.69530561531538,70.52296956198963,300725,药石科技,bottom_area,2026-03-18,37.6,51.15,2026-03-04,35.92,4.677060133630288,6.319599109131392,29.775171065493637,26.490713587487775,False,1.021,1.9377,2,3,2,66.66666666666666,51.70433867208061,60.139860139860126,15.322939866369712,4.677060133630288,历史2/3次成功; 当前距低点4.68%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
16,77.2628073377109,67.05157893172317,002855,捷荣技术,bottom_area,2026-03-18,12.45,16.72,2026-03-18,12.18,2.216748768472903,2.463054187192124,27.153110047846884,25.53827751196172,False,1.2195,1.0796,2,4,2,50.0,20.62239851527635,21.093749999999993,17.783251231527096,2.216748768472903,历史2/4次成功; 当前距低点2.22%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
17,71.45871291664214,62.2488588563844,603236,移远通信,bottom_area,2026-03-18,78.62,107.04,2026-03-16,76.76,2.423137050547159,5.497655028660759,28.28849028400598,26.550822122571,False,-0.3296,2.1023,2,5,2,40.0,41.47102866468776,43.55271994627266,17.576862949452842,2.423137050547159,历史2/5次成功; 当前距低点2.42%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
18,71.39776729671495,60.950386899624135,600415,小商品城,bottom_area,2026-03-18,13.85,19.01,2026-03-18,13.67,1.3167520117044602,2.4140453547915146,28.090478695423464,27.143608627038407,False,-0.7168,0.6496,1,2,1,50.0,32.59452411994785,32.59452411994785,18.68324798829554,1.3167520117044602,历史1/2次成功; 当前距低点1.32%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
19,69.08050401326408,60.2352241220526,000681,视觉中国,bottom_area,2026-03-18,22.35,30.5,2026-03-18,21.81,2.475928473177454,2.475928473177454,28.491803278688526,26.72131147540983,False,1.7296,3.0237,2,6,2,33.33333333333333,23.263482298730437,25.590062111801227,17.52407152682255,2.475928473177454,历史2/6次成功; 当前距低点2.48%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
